0,1,2,3,4,5,6,7,8,9,10,11,year
2011 Attendance,2011 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall,2011
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT,2011
1,Oakland,81,1476792,18232,52.0,81,30476,68.8,162,24354,61.4,2011
2,Tampa Bay,81,1529188,18878,55.4,81,28353,65.1,162,23616,60.8,2011
3,Florida,80,1520562,19007,48.8,80,30834,70.5,160,24920,60.3,2011
4,Kansas City,81,1724450,21289,56.2,81,29257,68.7,162,25273,62.8,2011
5,Baltimore,80,1755461,21943,48.3,81,27819,66.2,161,24899,56.9,2011
6,Toronto,81,1818103,22445,45.6,81,27656,64.6,162,25051,54.4,2011
7,Cleveland,81,1840835,22726,52.3,81,30671,72.4,162,26698,62.2,2011
8,Seattle,81,1896321,23411,48.9,81,27873,65.9,162,25642,56.9,2011
9,Pittsburgh,80,1940429,24255,63.2,80,30905,70.4,160,27580,67.1,2011
10,Chicago White Sox,81,2001117,24705,60.8,81,29256,68.2,162,26980,64.6,2011
11,Washington,78,1940478,24877,59.9,81,29484,67.0,159,27224,63.6,2011
12,Houston,81,2067016,25518,62.3,81,28588,65.0,162,27053,63.7,2011
13,Arizona,81,2105432,25992,53.4,81,30175,68.3,162,28084,60.5,2011
14,San Diego,81,2143018,26457,62.0,81,32929,72.8,162,29693,67.5,2011
15,Cincinnati,81,2213498,27327,64.6,80,33120,77.2,161,30205,70.9,2011
16,Atlanta,79,2372940,30037,60.4,81,31029,71.7,160,30539,65.7,2011
17,NY Mets,79,2378549,30108,72.0,80,33079,74.9,159,31603,73.5,2011
18,Detroit,81,2642045,32617,79.1,81,27629,65.3,162,30123,72.1,2011
19,Colorado,81,2909777,35923,71.1,80,30299,67.6,161,33128,69.5,2011
20,LA Dodgers,81,2935139,36236,64.7,80,32584,74.4,161,34421,68.9,2011
21,Texas,81,2946949,36382,74.0,80,28674,67.5,161,32552,71.0,2011
22,Chicago Cubs,81,3017966,37258,90.5,81,32797,76.4,162,35028,83.3,2011
23,Boston,81,3054001,37703,101.7,81,31999,73.3,162,34851,86.3,2011
24,Milwaukee,81,3071373,37918,90.5,78,30657,71.0,159,34356,80.8,2011
25,St. Louis,81,3093954,38196,86.9,81,30439,71.5,162,34318,79.3,2011
26,LA Angels,81,3166321,39090,86.1,81,26125,60.7,162,32608,73.8,2011
27,Minnesota,81,3168107,39112,99.0,81,28949,68.5,162,34031,83.3,2011
28,San Francisco,81,3387303,41818,99.8,81,32757,72.5,162,37287,85.6,2011
29,NY Yankees,81,3653680,45107,89.7,81,33228,78.9,162,39167,84.8,2011
30,Philadelphia,81,3680718,45440,104.1,81,33000,75.1,162,39220,89.6,2011
2012 Attendance,2012 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall,2012
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT,2012
1,Tampa Bay,81,1559681,19255,56.5,81,30403,69.2,162,24829,63.6,2012
2,Cleveland,81,1603596,19797,45.6,81,28285,68.2,162,24041,56.6,2012
3,Houston,81,1607733,19848,48.5,81,31119,72.1,162,25483,60.6,2012
4,Oakland,81,1679013,20728,60.6,81,29978,68.0,162,25353,64.8,2012
5,Seattle,81,1721920,21258,44.4,81,28262,67.0,162,24760,55.0,2012
6,Kansas City,80,1739859,21748,57.4,81,27447,64.7,161,24615,61.3,2012
7,Chicago White Sox,81,1965955,24271,59.8,81,29983,69.7,162,27127,64.9,2012
8,Toronto,81,2099663,25921,52.6,80,29075,69.8,161,27488,60.4,2012
9,Pittsburgh,80,2091918,26148,68.2,81,31307,71.7,161,28744,70.1,2012
10,San Diego,81,2123721,26218,61.4,81,31422,69.4,162,28820,65.5,2012
11,Baltimore,79,2102240,26610,58.6,81,29549,68.6,160,28098,63.5,2012
12,Arizona,81,2177617,26884,55.3,81,32292,72.2,162,29588,63.4,2012
13,Miami,81,2219444,27400,73.2,80,30986,70.9,161,29182,71.9,2012
14,NY Mets,80,2242803,28035,67.1,81,33720,76.6,161,30895,72.0,2012
15,Cincinnati,81,2347251,28978,68.5,81,30784,71.5,162,29881,70.0,2012
16,Atlanta,81,2420171,29878,60.1,81,31936,75.2,162,30907,67.0,2012
17,Washington,79,2370794,30010,72.3,81,33116,75.6,160,31582,74.0,2012
18,Colorado,81,2630458,32474,64.3,80,32301,72.0,161,32388,67.9,2012
19,Minnesota,81,2776354,34275,86.8,80,28306,66.5,161,31309,76.3,2012
20,Milwaukee,81,2831385,34955,83.4,81,30580,71.3,162,32767,77.3,2012
21,Chicago Cubs,81,2882756,35589,86.5,81,32485,75.2,162,34037,80.7,2012
22,Detroit,81,3028033,37383,90.6,81,30539,73.5,162,33961,82.0,2012
23,Boston,81,3043003,37567,101.4,81,31038,71.8,162,34303,85.5,2012
24,LA Angels,81,3061770,37799,83.3,81,30831,70.2,162,34315,76.8,2012
25,St. Louis,81,3262109,40272,91.6,81,31436,72.7,162,35854,82.2,2012
26,LA Dodgers,81,3324246,41040,73.3,80,32640,74.4,161,36866,73.8,2012
27,San Francisco,81,3377371,41695,99.5,80,32889,72.4,161,37320,85.5,2012
28,Texas,81,3460280,42719,86.9,80,28209,66.7,161,35509,77.6,2012
29,NY Yankees,81,3542406,43733,87.0,81,34154,82.0,162,38943,84.7,2012
30,Philadelphia,81,3565718,44021,100.8,81,31749,72.8,162,37885,86.9,2012
2013 Attendance,2013 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall,2013
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT,2013
1,Tampa Bay,81,1510300,18645,54.7,82,30154,67.6,163,24435,62.1,2013
2,Miami,81,1586322,19584,52.3,80,30091,68.9,161,24805,61.2,2013
3,Cleveland,80,1572926,19661,45.3,80,28234,67.8,160,23947,56.3,2013
4,Houston,81,1651883,20393,49.8,81,27574,64.0,162,23983,57.1,2013
5,Kansas City,81,1750754,21614,57.0,81,27433,64.7,162,24523,61.1,2013
6,Seattle,81,1761546,21747,45.4,81,28445,67.5,162,25096,55.8,2013
7,Chicago White Sox,80,1768413,22105,54.4,81,27333,65.0,161,24735,59.9,2013
8,Oakland,81,1809302,22337,63.7,81,29308,67.1,162,25822,65.6,2013
9,Arizona,81,2134795,26355,54.2,81,33054,73.8,162,29705,63.6,2013
10,NY Mets,80,2135657,26695,63.9,81,30628,69.9,161,28674,67.0,2013
11,San Diego,81,2166691,26749,62.7,81,32212,71.5,162,29480,67.2,2013
12,Pittsburgh,80,2256862,28210,73.5,81,33488,76.2,161,30865,75.0,2013
13,Baltimore,81,2357561,29105,64.1,81,28627,67.4,162,28866,65.7,2013
14,Minnesota,81,2477644,30588,77.4,81,27022,64.4,162,28805,70.7,2013
15,Milwaukee,81,2531105,31248,74.6,81,31094,71.8,162,31171,73.1,2013
16,Cincinnati,81,2534369,31288,73.9,80,32890,75.9,161,32084,74.9,2013
17,Toronto,81,2536562,31315,63.6,81,28039,66.0,162,29677,64.7,2013
18,Atlanta,81,2548679,31465,63.3,81,30845,72.2,162,31155,67.4,2013
19,Chicago Cubs,81,2642682,32625,79.3,81,32159,74.6,162,32392,76.9,2013
20,Washington,81,2652422,32745,78.9,81,30597,70.2,162,31671,74.4,2013
21,Colorado,81,2793828,34491,68.3,81,32669,72.5,162,33580,70.3,2013
22,Boston,81,2833333,34979,94.4,81,33045,74.8,162,34012,83.7,2013
23,Philadelphia,81,3012403,37190,85.2,81,30463,70.1,162,33826,77.7,2013
24,LA Angels,81,3019505,37277,82.1,81,27588,64.2,162,32432,73.4,2013
25,Detroit,81,3083397,38066,92.3,81,28024,67.2,162,33045,79.7,2013
26,Texas,82,3178273,38759,78.8,81,28121,66.5,163,33473,73.2,2013
27,NY Yankees,81,3279589,40488,80.5,80,33632,78.8,161,37082,79.7,2013
28,San Francisco,80,3326796,41584,99.2,81,34977,76.6,161,38260,87.3,2013
29,St. Louis,81,3369769,41602,94.6,80,32374,75.9,161,37016,85.4,2013
30,LA Dodgers,81,3743527,46216,82.5,81,35348,79.3,162,40782,81.1,2013
2014 Attendance,2014 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall,2014
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT,2014
1,Tampa Bay,81,1446464,17857,52.4,81,28685,65.8,162,23271,59.9,2014
2,Cleveland,78,1437393,18428,42.4,81,29107,68.9,159,23868,55.7,2014
