,college,st
0,LSU,LA
1,Penn St.,PA
2,North Carolina St.,NC
3,Arizona St.,AZ
4,Georgia Tech,GA
5,USC,SC
6,Fresno St.,CA
7,Kansas St.,KA
8,Boston Col.,MA
9,Idaho St.,ID
10,West. Michigan,MI
11,Virginia Tech,VA
12,Miami (FL),FL
13,UCLA,CA
14,East. Illinois,IL
15,Ala-Birmingham,AL
16,John Carroll,OH
17,East. Michigan,MI
18,Texas A&M;,TX
19,Miami (OH),OH
20,Oregon St.,OR
21,TCU,TX
22,Oklahoma St.,OK
23,South Carolina St.,SC
24,Miss. Valley St.,MS
25,Kent St.,OH
26,Iowa St.,IA
27,La-Lafayette,LA
28,Florida St.,FL
29,Cal Poly-San Luis Obispo,CA
30,Manitoba,canada
31,Coe College,IA
32,San Diego St.,CA
33,BYU,UT
34,Ohio St.,OH
35,McNeese St.,LA
36,Nicholls St.,LA
37,SE Missouri St.,MO
38,Mississippi St.,MS
39,Colorado St.,CO
40,Arkansas St.,AK
41,Saginaw Valley St.,MI
42,Texas-El Paso,TX
43,San Jose St.,CA
44,Michigan St.,MI
45,East. Washington,WA
46,Tiffin,OH
47,Boise St.,ID
48,NW State (LA),LA
49,Alabama A&M;,AL
50,Utah St.,UT
51,Illinois St.,IL
52,Middle Tenn. St.,TN
53,UNLV,NV
54,S.F. Austin,TX
55,East. Kentucky,KY
56,Grand Valley St.,MI
57,West. Carolina,NC
58,Hampton,VA
59,Texas A&M-Kingsville;,TX
60,Abilene Christian,TX
61,West. Ontario,canada
62,North Dakota St.,ND
63,East Tennessee St.,TN
64,Grambling St.,LA
65,Texas Southern,TX
66,Alcorn St.,MS
67,Tenn-Chattanooga,TN
68,Heidelberg,OH
69,SMU,TX
70,Tennessee St.,TN
71,Chadron St.,NE
72,Michigan Tech,MI
73,William & Mary,VA
74,Weber St.,UT
75,Texas-San Antonio,TX
76,Morgan St.,MD
77,South Dakota St.,SD
78,Langston,OK
79,Washington St.,WA
80,Montana,MT
81,NW Oklahoma St.,OK
82,Montana St.,MT
83,La-Monroe,LA
84,Stillman,AL
85,Appalachian St.,NA
86,Pittsburg St.,PA
87,Bowie St.,MY
88,Regina (Canada),canada
89,West. Illinois,IL
90,Portland St.,OR
91,American Int.,MA
92,New Mexico St.,NM
93,Bentley College,MA
94,West. Kentucky,KY
95,California-Davis,CA
96,Winston-Salem St.,NC
97,Youngstown St.,OH
98,West. Washington,WA
99,Nebraska-Omaha,NE
100,none,
101,Jackson St.,MS
102,NW Missouri St.,MO
103,Ohio Northern,OH
104,Central Missouri St.,MO
105,West Texas A&M;,TX
106,Southern Connecticut St.,CN
107,Alabama St.,AL
108,Valdosta St.,GA
109,Texas St.,TX
110,Deakin (Australia),australia
111,Concordia (QB),canada
112,SW Missouri St.,MO
113,Delaware St.,DE
114,California (PA),CA
115,Murray St.,OK
116,Boston Univ.,MA
117,Fort Valley St.,GA
118,Navy,MD
119,Indiana (PA),IN
120,Sacramento St.,PA
121,North Carolina Central,NC
122,Salisbury,MD
123,Tarleton St.,TX
124,Nebraska-Kearney,NE
125,Long Beach CC,CA
126,Norfolk St.,VA
127,Ball St.,IN
128,Air Force,CO
129,Jacksonville St.,AL
130,Fisk,TN
131,Fayetteville St.,NC
132,Lindenwood,MO
133,Walla Walla CC (WA),WA
134,Wisc-Whitewater,WI
135,Trinity (TX),TX
136,Manchester,MO
137,Midwestern St.,TX
138,Wayne State (MI),MI
139,Central College (IA),IA
140,Missouri Western St.,MO
141,Virginia St.,VA
142,Morehouse,GA
143,St. Paul's,VA
144,Georgia St.,GA
145,Florida A&M;,FL
146,Bishop,canada
147,Northwood College,MI
148,Allen,SC
149,Tenn-Martin,TN
150,Albion,MI
151,Cal State-Fullerton,CA
152,Henderson St.,AK
153,Army,KS
154,SE Louisiana,LA
155,Ark-Pine Bluff,AK
156,Humboldt St.,CA
157,East Central (OK),OK
158,Marist,NY
159,Concordia-St.Paul (MN),MN
160,Minnesota St.,MN
161,Morris Brown,GA
162,Wisc-Milwaukee,WI
163,Colorado State-Pueblo,CO
164,Bemidji St.,MN
165,McGill,canada
166,Rensselaer Polytechnic Institute,NY
167,Findlay,OH
168,North Carolina A&T;,NC
169,Adams St.,CO
170,Central State (OH),OH
171,Albany,NY
172,Mississippi Col.,MS
173,West Georgia,GA
174,Sam Houston St.,TX
175,Ferris St.,MI
176,Southern Oregon,OR
177,Albany State (GA),GA
178,St. Francis (PA),PA
