RK,TEAM,GMS,TOTAL,AVG,PCT,year,sport
1,Oakland,81,1476792,18232,52.0,2011,mlb
2,Tampa Bay,81,1529188,18878,55.4,2011,mlb
3,Florida,80,1520562,19007,48.8,2011,mlb
4,Kansas City,81,1724450,21289,56.2,2011,mlb
5,Baltimore,80,1755461,21943,48.3,2011,mlb
6,Toronto,81,1818103,22445,45.6,2011,mlb
7,Cleveland,81,1840835,22726,52.3,2011,mlb
8,Seattle,81,1896321,23411,48.9,2011,mlb
9,Pittsburgh,80,1940429,24255,63.2,2011,mlb
10,Chicago White Sox,81,2001117,24705,60.8,2011,mlb
11,Washington,78,1940478,24877,59.9,2011,mlb
12,Houston,81,2067016,25518,62.3,2011,mlb
13,Arizona,81,2105432,25992,53.4,2011,mlb
14,San Diego,81,2143018,26457,62.0,2011,mlb
15,Cincinnati,81,2213498,27327,64.6,2011,mlb
16,Atlanta,79,2372940,30037,60.4,2011,mlb
17,NY Mets,79,2378549,30108,72.0,2011,mlb
18,Detroit,81,2642045,32617,79.1,2011,mlb
19,Colorado,81,2909777,35923,71.1,2011,mlb
20,LA Dodgers,81,2935139,36236,64.7,2011,mlb
21,Texas,81,2946949,36382,74.0,2011,mlb
22,Chicago Cubs,81,3017966,37258,90.5,2011,mlb
23,Boston,81,3054001,37703,101.7,2011,mlb
24,Milwaukee,81,3071373,37918,90.5,2011,mlb
25,St. Louis,81,3093954,38196,86.9,2011,mlb
26,LA Angels,81,3166321,39090,86.1,2011,mlb
27,Minnesota,81,3168107,39112,99.0,2011,mlb
28,San Francisco,81,3387303,41818,99.8,2011,mlb
29,NY Yankees,81,3653680,45107,89.7,2011,mlb
30,Philadelphia,81,3680718,45440,104.1,2011,mlb
1,Tampa Bay,81,1559681,19255,56.5,2012,mlb
2,Cleveland,81,1603596,19797,45.6,2012,mlb
3,Houston,81,1607733,19848,48.5,2012,mlb
4,Oakland,81,1679013,20728,60.6,2012,mlb
5,Seattle,81,1721920,21258,44.4,2012,mlb
6,Kansas City,80,1739859,21748,57.4,2012,mlb
7,Chicago White Sox,81,1965955,24271,59.8,2012,mlb
8,Toronto,81,2099663,25921,52.6,2012,mlb
9,Pittsburgh,80,2091918,26148,68.2,2012,mlb
10,San Diego,81,2123721,26218,61.4,2012,mlb
11,Baltimore,79,2102240,26610,58.6,2012,mlb
12,Arizona,81,2177617,26884,55.3,2012,mlb
13,Miami,81,2219444,27400,73.2,2012,mlb
14,NY Mets,80,2242803,28035,67.1,2012,mlb
15,Cincinnati,81,2347251,28978,68.5,2012,mlb
16,Atlanta,81,2420171,29878,60.1,2012,mlb
17,Washington,79,2370794,30010,72.3,2012,mlb
18,Colorado,81,2630458,32474,64.3,2012,mlb
19,Minnesota,81,2776354,34275,86.8,2012,mlb
20,Milwaukee,81,2831385,34955,83.4,2012,mlb
21,Chicago Cubs,81,2882756,35589,86.5,2012,mlb
22,Detroit,81,3028033,37383,90.6,2012,mlb
23,Boston,81,3043003,37567,101.4,2012,mlb
24,LA Angels,81,3061770,37799,83.3,2012,mlb
25,St. Louis,81,3262109,40272,91.6,2012,mlb
26,LA Dodgers,81,3324246,41040,73.3,2012,mlb
27,San Francisco,81,3377371,41695,99.5,2012,mlb
28,Texas,81,3460280,42719,86.9,2012,mlb
29,NY Yankees,81,3542406,43733,87.0,2012,mlb
30,Philadelphia,81,3565718,44021,100.8,2012,mlb
1,Tampa Bay,81,1510300,18645,54.7,2013,mlb
2,Miami,81,1586322,19584,52.3,2013,mlb
3,Cleveland,80,1572926,19661,45.3,2013,mlb
4,Houston,81,1651883,20393,49.8,2013,mlb
5,Kansas City,81,1750754,21614,57.0,2013,mlb
6,Seattle,81,1761546,21747,45.4,2013,mlb
7,Chicago White Sox,80,1768413,22105,54.4,2013,mlb
8,Oakland,81,1809302,22337,63.7,2013,mlb
9,Arizona,81,2134795,26355,54.2,2013,mlb
10,NY Mets,80,2135657,26695,63.9,2013,mlb
11,San Diego,81,2166691,26749,62.7,2013,mlb
12,Pittsburgh,80,2256862,28210,73.5,2013,mlb
13,Baltimore,81,2357561,29105,64.1,2013,mlb
14,Minnesota,81,2477644,30588,77.4,2013,mlb
15,Milwaukee,81,2531105,31248,74.6,2013,mlb
16,Cincinnati,81,2534369,31288,73.9,2013,mlb
17,Toronto,81,2536562,31315,63.6,2013,mlb
18,Atlanta,81,2548679,31465,63.3,2013,mlb
19,Chicago Cubs,81,2642682,32625,79.3,2013,mlb
20,Washington,81,2652422,32745,78.9,2013,mlb
21,Colorado,81,2793828,34491,68.3,2013,mlb
22,Boston,81,2833333,34979,94.4,2013,mlb
23,Philadelphia,81,3012403,37190,85.2,2013,mlb
24,LA Angels,81,3019505,37277,82.1,2013,mlb
25,Detroit,81,3083397,38066,92.3,2013,mlb
26,Texas,82,3178273,38759,78.8,2013,mlb
27,NY Yankees,81,3279589,40488,80.5,2013,mlb
28,San Francisco,80,3326796,41584,99.2,2013,mlb
29,St. Louis,81,3369769,41602,94.6,2013,mlb
30,LA Dodgers,81,3743527,46216,82.5,2013,mlb
1,Tampa Bay,81,1446464,17857,52.4,2014,mlb
2,Cleveland,78,1437393,18428,42.4,2014,mlb
3,Chicago White Sox,79,1650821,20896,51.5,2014,mlb
4,Miami,81,1732283,21386,57.1,2014,mlb
5,Houston,81,1751829,21627,52.8,2014,mlb
6,Kansas City,81,1956482,24154,63.7,2014,mlb
7,Oakland,80,2003628,25045,71.4,2014,mlb
8,Seattle,81,2064334,25485,53.2,2014,mlb
9,Arizona,81,2073730,25601,54.0,2014,mlb
10,NY Mets,80,2148808,26860,64.3,2014,mlb
11,San Diego,81,2195373,27103,63.5,2014,mlb
12,Minnesota,81,2250606,27785,70.3,2014,mlb
13,Atlanta,81,2354305,29065,58.4,2014,mlb
14,Toronto,81,2375525,29327,59.5,2014,mlb
15,Philadelphia,81,2423852,29924,68.6,2014,mlb
16,Pittsburgh,81,2442564,30155,78.6,2014,mlb
17,Cincinnati,81,2476664,30576,72.3,2014,mlb
18,Baltimore,80,2464473,30805,67.8,2014,mlb
19,Washington,81,2579389,31844,76.7,2014,mlb
20,Chicago Cubs,81,2652113,32742,79.6,2014,mlb
21,Colorado,81,2680329,33090,65.5,2014,mlb
22,Texas,81,2718733,33564,68.3,2014,mlb
23,Milwaukee,81,2797384,34535,82.4,2014,mlb
24,Detroit,81,2917209,36014,87.3,2014,mlb
25,Boston,81,2956089,36494,98.5,2014,mlb
26,LA Angels,81,3095935,38221,84.2,2014,mlb
27,San Francisco,81,3368697,41588,99.2,2014,mlb
28,NY Yankees,80,3401624,42520,85.7,2014,mlb
29,St. Louis,81,3540649,43711,99.4,2014,mlb
30,LA Dodgers,81,3782337,46695,83.4,2014,mlb
1,Tampa Bay,81,1247668,15403,45.2,2015,mlb
2,Cleveland,78,1388905,17806,41.0,2015,mlb
3,Miami,81,1752235,21632,57.8,2015,mlb
4,Oakland,81,1768175,21829,62.3,2015,mlb
5,Chicago White Sox,80,1755810,21947,54.0,2015,mlb
6,Philadelphia,78,1831080,23475,53.8,2015,mlb
7,Atlanta,80,2001392,25017,50.3,2015,mlb
8,Arizona,81,2080145,25680,52.8,2015,mlb
9,Houston,81,2153585,26587,64.9,2015,mlb
10,Seattle,81,2193581,27081,56.6,2015,mlb
11,Minnesota,81,2220054,27408,69.4,2015,mlb
12,Baltimore,79,2320590,29374,65.3,2015,mlb
