Player,Season,PER,percentile_per,state
Sim Bhullar,2014-15,44.3,99,NM
Anthony Brown,2017-18,41.9,99,IL
Eric Moreland,2014-15,40.8,99,OR
David Stockton,2017-18,33.9,99,WA
Orien Greene,2010-11,33.0,99,LA
Rakeem Christmas,2015-16,32.0,99,NY
Jarnell Stokes,2016-17,31.5,99,TN
Stephen Curry,2015-16,31.5,99,NC
Tyrus Thomas,2014-15,31.4,99,LA
Tony Mitchell,2013-14,30.9,99,IN
Anthony Davis,2014-15,30.8,99,TX
Demetrius Jackson,2016-17,30.8,99,IN
Russell Westbrook,2016-17,30.6,99,CA
James Harden,2017-18,29.8,99,AZ
Kevin Durant,2013-14,29.8,99,TX
Henry Sims,2012-13,29.2,99,DC
Russell Westbrook,2014-15,29.1,99,CA
Anthony Davis,2017-18,28.9,99,TX
Kevin Durant,2012-13,28.3,99,TX
Stephen Curry,2017-18,28.2,99,NC
Kevin Durant,2015-16,28.2,99,TX
Stephen Curry,2014-15,28.0,99,NC
Kevin Durant,2016-17,27.6,99,TX
Kawhi Leonard,2016-17,27.6,99,CA
Kevin Durant,2014-15,27.6,99,TX
Russell Westbrook,2015-16,27.6,99,CA
Anthony Davis,2016-17,27.5,99,TX
James Harden,2016-17,27.4,98,AZ
Chris Paul,2011-12,27.0,98,NC
Kevin Love,2013-14,26.9,98,CA
James Harden,2014-15,26.7,98,AZ
Isaiah Thomas,2016-17,26.5,98,IN
Anthony Davis,2013-14,26.5,98,TX
Chris Paul,2012-13,26.4,98,NC
Dwyane Wade,2011-12,26.3,98,WI
Chris Paul,2015-16,26.2,98,NC
Kevin Durant,2011-12,26.2,98,TX
Chris Paul,2016-17,26.2,98,NC
Hassan Whiteside,2014-15,26.2,98,WV
MarShon Brooks,2017-18,26.1,98,RI
DeMarcus Cousins,2013-14,26.1,98,KY
Josh Huestis,2016-17,26.1,98,CA
Chris Paul,2014-15,26.0,98,NC
Kawhi Leonard,2015-16,26.0,98,CA
Kevin Durant,2017-18,26.0,98,TX
Kawhi Leonard,2017-18,26.0,98,CA
Chris Paul,2013-14,25.9,98,NC
Karl-Anthony Towns,2016-17,25.9,98,KY
DeMarcus Cousins,2016-17,25.8,98,KY
Hassan Whiteside,2015-16,25.7,98,WV
Dwyane Wade,2010-11,25.6,98,WI
Jonathan Gibson,2017-18,25.4,98,NM
Brook Lopez,2013-14,25.4,98,CA
Kevin Love,2011-12,25.4,98,CA
James Harden,2015-16,25.3,98,AZ
DeMarcus Cousins,2014-15,25.2,97,KY
JaVale McGee,2016-17,25.2,97,NV
Damian Lillard,2017-18,25.2,97,UT
Jimmy Butler,2016-17,25.1,97,WI
Kyrie Irving,2017-18,25.0,97,NC
LaMarcus Aldridge,2017-18,25.0,97,TX
Anthony Davis,2015-16,25.0,97,TX
Karl-Anthony Towns,2017-18,24.9,97,KY
Carmelo Anthony,2012-13,24.8,97,NY
Brook Lopez,2012-13,24.7,97,CA
Russell Westbrook,2017-18,24.7,97,CA
Montrezl Harrell,2017-18,24.7,97,KY
Russell Westbrook,2013-14,24.7,97,CA
Stephen Curry,2016-17,24.6,97,NC
Chris Paul,2017-18,24.4,97,NC
Tim Duncan,2012-13,24.4,97,NC
Carmelo Anthony,2013-14,24.4,97,NY
Kevin Love,2010-11,24.3,97,CA
Stephen Curry,2013-14,24.1,97,NC
Joel Embiid,2016-17,24.1,97,KS
Damian Lillard,2016-17,24.1,97,UT
Shawn Long,2016-17,24.1,97,LA
Hassan Whiteside,2017-18,24.1,97,WV
DeMar DeRozan,2016-17,24.0,97,CA
Dwyane Wade,2012-13,24.0,97,WI
Coty Clarke,2015-16,23.9,97,AR
Blake Griffin,2013-14,23.9,97,OK
Russell Westbrook,2012-13,23.9,97,CA
Jimmy Butler,2017-18,23.7,97,WI
Chris Paul,2010-11,23.7,97,NC
Russell Westbrook,2010-11,23.6,96,CA
Kevin Durant,2010-11,23.6,96,TX
DeMarcus Cousins,2015-16,23.6,96,KY
Derrick Rose,2010-11,23.5,96,TN
Brandan Wright,2013-14,23.5,96,CA
James Harden,2013-14,23.5,96,AZ
Blake Griffin,2011-12,23.4,96,OK
Mike Conley,2016-17,23.2,96,OH
John Wall,2016-17,23.2,96,KY
Victor Oladipo,2017-18,23.1,96,IN
Kyrie Irving,2016-17,23.0,96,NC
Derrick Rose,2011-12,23.0,96,TN
James Harden,2012-13,23.0,96,AZ
Russell Westbrook,2011-12,22.9,96,CA
Kyle Lowry,2016-17,22.9,96,PA
Andre Drummond,2017-18,22.9,96,CT
Joel Embiid,2017-18,22.9,96,KS
Arinze Onuaku,2014-15,22.8,96,NY
LaMarcus Aldridge,2014-15,22.8,96,TX
Blake Griffin,2014-15,22.8,96,OK
Brook Lopez,2014-15,22.7,96,CA
LaMarcus Aldridge,2011-12,22.7,96,TX
Andre Drummond,2013-14,22.6,96,CT
DeMarcus Cousins,2017-18,22.6,96,KY
Zach Randolph,2010-11,22.6,96,MI
Hassan Whiteside,2016-17,22.6,96,WV
Blake Griffin,2016-17,22.6,96,OK
Tim Duncan,2014-15,22.6,96,NC
Karl-Anthony Towns,2015-16,22.5,95,KY
Michael Beasley,2015-16,22.5,95,KS
Tim Duncan,2011-12,22.5,95,NC
Kevin Love,2017-18,22.4,95,CA
Carl Landry,2015-16,22.4,95,IN
LaMarcus Aldridge,2015-16,22.4,95,TX
Blake Griffin,2012-13,22.4,95,OK
JaVale McGee,2017-18,22.3,95,NV
Kyle Lowry,2015-16,22.2,95,PA
Damian Lillard,2015-16,22.2,95,UT
Gordon Hayward,2016-17,22.2,95,IN
Blake Griffin,2015-16,22.1,95,OK
Greg Monroe,2011-12,22.0,95,DC
Dwyane Wade,2013-14,22.0,95,WI
Al Horford,2013-14,22.0,95,FL
Kawhi Leonard,2014-15,22.0,95,CA
Tim Duncan,2010-11,21.9,95,NC
Blake Griffin,2010-11,21.9,95,OK
Kenneth Faried,2011-12,21.9,95,KY
Brook Lopez,2011-12,21.9,95,CA
Paul Millsap,2011-12,21.8,95,LA
Greg Monroe,2015-16,21.8,95,DC
LaMarcus Aldridge,2013-14,21.8,95,TX
Derrick Favors,2014-15,21.8,95,GA
DeAndre Jordan,2016-17,21.8,95,TX
