,Player,Year,Tm,AV,percentile_av,state
0,Aaron Rodgers,2011,GNB,23.0,100,CA
1,Tom Brady,2011,NWE,21.0,99,MI
2,Drew Brees,2011,NOR,20.0,99,IN
3,Patrick Peterson,2011,ARI,20.0,99,LA
4,Jahri Evans,2011,NOR,19.0,99,PA
5,Cam Newton,2011,CAR,19.0,99,AL
6,Cam Newton,2011,CAR,19.0,99,SC
7,Carl Nicks,2011,NOR,19.0,99,NE
8,NaVorro Bowman,2011,SFO,18.0,99,PA
9,Haloti Ngata,2011,BAL,18.0,99,OR
10,Justin Smith,2011,SFO,18.0,99,IN
11,Justin Smith,2011,SFO,18.0,99,MO
12,Philip Rivers,2011,SDG,17.0,99,NC
13,Terrell Suggs,2011,BAL,17.0,99,AZ
14,Wes Welker,2011,NWE,17.0,99,TX
15,Ray Rice,2011,BAL,16.0,99,NJ
16,Matthew Stafford,2011,DET,16.0,99,GA
17,Scott Wells,2011,GNB,16.0,99,TN
18,Patrick Willis,2011,SFO,16.0,99,MS
19,Calvin Johnson,2011,DET,15.0,99,GA
20,Derrick Johnson,2011,KAN,15.0,99,WA
21,Derrick Johnson,2011,KAN,15.0,99,TX
22,Ryan Kalil,2011,CAR,15.0,99,SC
23,Logan Mankins,2011,NWE,15.0,99,CA
24,Eli Manning,2011,NYG,15.0,99,MS
25,Jordy Nelson,2011,GNB,15.0,99,KA
26,Troy Polamalu,2011,PIT,15.0,99,SC
27,Darrelle Revis,2011,NYJ,15.0,99,PA
28,Matt Ryan,2011,ATL,15.0,99,MA
29,DeMarcus Ware,2011,DAL,15.0,99,AL
30,Jared Allen,2011,MIN,14.0,98,ID
31,Geno Atkins,2011,CIN,14.0,98,GA
32,Brian Cushing,2011,HOU,14.0,98,SC
33,Rob Gronkowski,2011,NWE,14.0,98,AZ
34,Jason Pierre-Paul,2011,NYG,14.0,98,FL
35,Carlos Rogers,2011,SFO,14.0,98,AL
36,Steve Smith,2011,CAR,14.0,98,MI
37,Steve Smith,2011,CAR,14.0,98,UT
38,Steve Smith,2011,CAR,14.0,98,OR
39,Steve Smith,2011,CAR,14.0,98,SC
40,Steve Smith,2011,CAR,14.0,98,PA
41,Jason Babin,2011,PHI,13.0,97,MI
42,Duane Brown,2011,HOU,13.0,97,VA
43,Jermon Bushrod,2011,NOR,13.0,97,MD
44,Victor Cruz,2011,NYG,13.0,97,MA
45,Arian Foster,2011,HOU,13.0,97,TN
46,Jimmy Graham,2011,NOR,13.0,97,FL
47,Maurice Jones-Drew,2011,JAX,13.0,97,CA
48,Johnathan Joseph,2011,HOU,13.0,97,SC
49,Ryan Mathews,2011,SDG,13.0,97,CA
50,Jason Peters,2011,PHI,13.0,97,AR
51,Tony Romo,2011,DAL,13.0,97,IL
52,Alex Smith,2011,SFO,13.0,97,UT
53,Alex Smith,2011,SFO,13.0,97,CA
54,Darren Sproles,2011,NOR,13.0,97,KA
55,Joe Staley,2011,SFO,13.0,97,MI
56,Michael Vick,2011,PHI,13.0,97,VA
57,Cameron Wake,2011,MIA,13.0,97,PA
58,Brian Waters,2011,NWE,13.0,97,TX
59,Roddy White,2011,ATL,13.0,97,AL
60,Vince Wilfork,2011,NWE,13.0,97,FL
61,Joe Flacco,2011,BAL,12.0,97,PA
62,London Fletcher,2011,WAS,12.0,97,OH
63,Tamba Hali,2011,KAN,12.0,97,PA
