Year,Winning team,Manager,Games,Losing team,Manager.1,Ref.
1903,"Boston Americans (1, 1–0)",Jimmy Collins,5–3[V],"Pittsburgh Pirates (1, 0–1)",Fred Clarke,[8]
1904,No World Series,No World Series,No World Series,No World Series,No World Series,[1]
1905,"New York Giants (1, 1–0)",John McGraw,4–1,"Philadelphia Athletics (1, 0–1)",Connie Mack,[9]
1906,"Chicago White Sox (1, 1–0)",Fielder Jones,4–2,"Chicago Cubs (1, 0–1)",Frank Chance,[10]
1907,"Chicago Cubs (2, 1–1)",Frank Chance,4–0–(1)[T],"Detroit Tigers (1, 0–1)",Hugh Jennings,[11]
1908,"Chicago Cubs (3, 2–1)",Frank Chance,4–1,"Detroit Tigers (2, 0–2)",Hugh Jennings,[12]
1909,"Pittsburgh Pirates (2, 1–1)",Fred Clarke,4–3,"Detroit Tigers (3, 0–3)",Hugh Jennings,[13]
1910,"Philadelphia Athletics (2, 1–1)",Connie Mack,4–1,"Chicago Cubs (4, 2–2)",Frank Chance,[14]
1911,"Philadelphia Athletics (3, 2–1)",Connie Mack,4–2,"New York Giants (2, 1–1)",John McGraw,[15]
1912,"Boston Red Sox (2, 2–0)",Jake Stahl,4–3–(1)[T],"New York Giants (3, 1–2)",John McGraw,[16]
1913,"Philadelphia Athletics (4, 3–1)",Connie Mack,4–1,"New York Giants (4, 1–3)",John McGraw,[17]
1914,"Boston Braves (1, 1–0)",George Stallings,4–0,"Philadelphia Athletics (5, 3–2)",Connie Mack,[18]
1915,"Boston Red Sox (3, 3–0)",Bill Carrigan,4–1,"Philadelphia Phillies (1, 0–1)",Pat Moran,[19]
1916,"Boston Red Sox (4, 4–0)",Bill Carrigan,4–1,"Brooklyn Robins (1, 0–1)",Wilbert Robinson,[20]
1917,"Chicago White Sox (2, 2–0)",Pants Rowland,4–2,"New York Giants (5, 1–4)",John McGraw,[21]
1918,"Boston Red Sox (5, 5–0)",Ed Barrow,4–2,"Chicago Cubs (5, 2–3)",Fred Mitchell,[22]
1919,"Cincinnati Reds (1, 1–0)",Pat Moran,5–3[V],"Chicago White Sox (3, 2–1)",Kid Gleason,[23]
1920,"Cleveland Indians (1, 1–0)",Tris Speaker,5–2[V],"Brooklyn Robins (2, 0–2)",Wilbert Robinson,[24]
1921,"New York Giants (6, 2–4)",John McGraw,5–3[V],"New York Yankees (1, 0–1)",Miller Huggins,[25]
1922,"New York Giants (7, 3–4)",John McGraw,4–0–(1)[T],"New York Yankees (2, 0–2)",Miller Huggins,[26]
1923,"New York Yankees (3, 1–2)",Miller Huggins,4–2,"New York Giants (8, 3–5)",John McGraw,[27]
1924,"Washington Senators (1, 1–0)",Bucky Harris,4–3,"New York Giants (9, 3–6)",John McGraw,[28]
1925,"Pittsburgh Pirates (3, 2–1)",Bill McKechnie,4–3,"Washington Senators (2, 1–1)",Bucky Harris,[29]
1926,"St. Louis Cardinals (1, 1–0)",Rogers Hornsby,4–3,"New York Yankees (4, 1–3)",Miller Huggins,[30]
1927,"New York Yankees (5, 2–3)",Miller Huggins,4–0,"Pittsburgh Pirates (4, 2–2)",Donie Bush,[31]
1928,"New York Yankees (6, 3–3)",Miller Huggins,4–0,"St. Louis Cardinals (2, 1–1)",Bill McKechnie,[32]
1929,"Philadelphia Athletics (6, 4–2)",Connie Mack,4–1,"Chicago Cubs (6, 2–4)",Joe McCarthy,[33]
1930,"Philadelphia Athletics (7, 5–2)",Connie Mack,4–2,"St. Louis Cardinals (3, 1–2)",Gabby Street,[34]
1931,"St. Louis Cardinals (4, 2–2)",Gabby Street,4–3,"Philadelphia Athletics (8, 5–3)",Connie Mack,[35]
1932,"New York Yankees (7, 4–3)",Joe McCarthy,4–0,"Chicago Cubs (7, 2–5)",Charlie Grimm,[36]
1933,"New York Giants (10, 4–6)",Bill Terry,4–1,"Washington Senators (3, 1–2)",Joe Cronin,[37]
1934,"St. Louis Cardinals (5, 3–2)",Frank Frisch,4–3,"Detroit Tigers (4, 0–4)",Mickey Cochrane,[38]
1935,"Detroit Tigers (5, 1–4)",Mickey Cochrane,4–2,"Chicago Cubs (8, 2–6)",Charlie Grimm,[39]
