Year,RD,Pick,Team,Pos,Player,School,Type,ST,Signed,Bonus
2013,1,1,Astros,RHP,Mark Appel,Stanford,4YR,CA,Y,"$6,350,000"
2013,1,2,Cubs,3B,Kris Bryant,San Diego,4YR,CA,Y,"$6,708,400"
2013,1,3,Rockies,RHP,Jon Gray,Oklahoma,4YR,OK,Y,"$4,800,000"
2013,1,4,Twins,RHP,Kohl Stewart,"St. Pius X HS, Houston",HS,TX,Y,"$4,544,400"
2013,1,5,Indians,OF,Clint Frazier,Loganville (Ga.) HS,HS,GA,Y,"$3,500,000"
2013,1,6,Marlins,3B,Colin Moran,North Carolina,4YR,NC,Y,"$3,516,500"
2013,1,7,Red Sox,LHP,Trey Ball,New Castle (Ind.) HS,HS,IN,Y,"$2,750,000"
2013,1,8,Royals,SS,Hunter Dozier,Stephen F. Austin State,4YR,TX,Y,"$2,200,000"
2013,1,9,Pirates,OF,Austin Meadows,"Grayson HS, Loganville, Ga.",HS,GA,Y,"$3,029,600"
2013,1,10,Blue Jays,RHP,Phil Bickford,"Oaks Christian HS, Westlake Village, Calif.",HS,CA,N,
2013,1,11,Mets,1B,Dominic Smith,"Serra HS, Gardena, Calif.",HS,CA,Y,"$2,600,000"
2013,1,12,Mariners,3B,D.J. Peterson,New Mexico,4YR,NM,Y,"$2,759,100"
2013,1,13,Padres,OF,Hunter Renfroe,Mississippi State,4YR,MS,Y,"$2,678,000"
2013,1,14,Pirates,C,Reese McGuire,"Kentwood HS, Covington, Wash.",HS,WA,Y,"$2,369,800"
2013,1,15,Diamondbacks,RHP,Braden Shipley,Nevada,4YR,NV,Y,"$2,250,000"
2013,1,16,Phillies,SS,J.P. Crawford,Lakewood (Calif.) HS,HS,CA,Y,"$2,299,300"
2013,1,17,White Sox,SS,Tim Anderson,East Central (Miss.) JC,JC,MS,Y,"$2,164,000"
2013,1,18,Dodgers,RHP,Chris Anderson,Jacksonville,4YR,FL,Y,"$2,109,900"
2013,1,19,Cardinals,LHP,Marco Gonzales,Gonzaga,4YR,WA,Y,"$1,850,000"
2013,1,20,Tigers,RHP,Jonathon Crawford,Florida,4YR,FL,Y,"$2,001,700"
2013,1,21,Rays,C,Nick Ciuffo,Lexington (S.C.) HS,HS,SC,Y,"$1,972,200"
2013,1,22,Orioles,RHP,Hunter Harvey,"Bandys HS, Catawba, N.C.",HS,NC,Y,"$1,947,600"
2013,1,23,Rangers,RHP,Chi Chi Gonzalez,Oral Roberts,4YR,OK,Y,"$2,215,000"
2013,1,24,Athletics,OF,Billy McKinney,Plano (Texas) West HS,HS,TX,Y,"$1,800,000"
2013,1,25,Giants,SS,Christian Arroyo,"Hernando HS, Brooksville, Fla.",HS,FL,Y,"$1,866,500"
2013,1,26,Yankees,3B,Eric Jagielo,Notre Dame,4YR,IN,Y,"$1,839,400"
2013,1,27,Reds,OF,Phillip Ervin,Samford,4YR,AL,Y,"$1,812,400"
2013,1,28,Cardinals,LHP,Rob Kaminsky,"Saint Joseph Regional HS, Montvale, N.J.",HS,NJ,Y,"$1,785,300"
2013,1,29,Rays,RHP,Ryne Stanek,Arkansas,4YR,AR,Y,"$1,755,800"
2013,1,30,Rangers,SS,Travis Demeritte,"Winder-Barrow HS, Winder, Ga.",HS,GA,Y,"$1,900,000"
2013,1,31,Braves,RHP,Jason Hursh,Oklahoma State,4YR,OK,Y,"$1,704,200"
2013,1,32,Yankees,OF,Aaron Judge,Fresno State,4YR,CA,Y,"$1,800,000"
2013,1,33,Yankees,LHP,Ian Clarkin,"Madison HS, San Diego",HS,CA,Y,"$1,650,100"
2013,1s,34,Royals,LHP,Sean Manaea,Indiana State,4YR,IN,Y,"$3,550,000"
2013,1s,35,Marlins,LHP,Matt Krook,"St. Ignatius HS, San Francisco",HS,CA,N,
2013,1s,36,Diamondbacks,RHP,Aaron Blair,Marshall,4YR,WV,Y,"$1,435,000"
2013,1s,37,Orioles,OF,Josh Hart,"Parkview HS, Lilburn, Ga.",HS,GA,Y,"$1,450,000"
2013,1s,38,Reds,RHP,Michael Lorenzen,Cal State Fullerton,4YR,CA,Y,"$1,500,000"
2013,1s,39,Tigers,RHP,Corey Knebel,Texas,4YR,TX,Y,"$1,433,400"
2013,2,40,Astros,RHP,Andrew Thurman,UC Irvine,4YR,CA,Y,"$1,397,200"
