k,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
1401,Joel De La Cruz\delacjo01,0.0,2016,2016,27-27,21,18,16,0,3,0,0,0,1,0,0,8,0,2,0,1,0,0,.188,.188,.188,.375,/*1,ATL
1402,Abel De Los Santos\delosab01,0.0,2015,2016,22-23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,WSN-CIN
1403,Scott Diamond\diamosc01,0.0,2011,2016,24-29,6,15,14,1,2,0,0,0,0,0,0,7,0,1,0,0,0,0,.143,.143,.143,.286,/*1,MIN-TOR
1404,Andrew Faulkner\faulkan01,0.0,2015,2016,22-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX
1405,Steve Geltz\geltzst01,0.0,2012,2016,24-28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,LAA-TBR
1406,Chad Girodo\girodch01,0.0,2016,2016,25-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR
1407,J.R. Graham\grahajr01,0.0,2015,2016,25-26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIN
1408,Mayckol Guaipe\guaipma01,0.0,2015,2016,24-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SEA
1409,Cody Hall\hallco01,0.0,2015,2016,27-28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SFG-MIA
1410,Steve Hathaway\hathast01,0.0,2016,2016,25-25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ARI
1411,Jim Henderson\hendeji01,0.0,2012,2016,29-33,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,MIL-NYM
1412,Frank Herrmann\herrmfr01,0.0,2011,2016,27-32,15,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,.000,/*1,CLE-PHI
1413,Dalier Hinojosa\hinojda01,0.0,2015,2016,29-30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PHI-BOS
1414,David Huff\huffda01,0.0,2011,2016,26-31,19,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250,.250,.250,.500,/*1H,CLE-NYY-SFG-LAD-LAA
1415,Kyle Jensen\jenseky01,0.0,2016,2016,28-28,17,34,31,5,6,0,1,2,7,2,0,13,1,0,0,1,0,0,.194,.265,.452,.716,/*H37D9,ARI
1416,Steve Johnson\johnsst02,0.0,2012,2016,24-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,BAL-SEA
1417,Logan Kensing\kensilo01,0.0,2013,2016,30-33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,COL-SEA-DET
1418,Michael Kirkman\kirkmmi01,0.0,2011,2016,24-29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX-SDP-MIL
1419,Pat Light\lightpa01,0.0,2016,2016,25-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIN-BOS
1420,Mark Lowe\lowema01,0.0,2011,2016,28-33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TEX-LAA-CLE-TOR-SEA-DET
1421,Greg Mahle\mahlegr01,0.0,2016,2016,23-23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAA
1422,Michael Mariot\mariomi01,0.0,2014,2016,25-27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,KCR-PHI
1423,Matt Marksberry\marksma01,0.0,2015,2016,24-25,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ATL
1424,Kelvin Marte\marteke02,0.0,2016,2016,28-28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PIT
