pick,team,player,pos,height,weight,country,college,years,dollars,year cap hit,year
1,PHI ,Ben Simmons,PG,"6' 10""",230,Australia,Louisiana State,2,"$12,072,000","$5,903,160",2016
2,LAL ,Brandon Ingram,SF,"6' 9""",190,United States,Duke,2,"$10,801,080","$5,281,680",2016
3,BOS  from BKN,Jaylen Brown,SG,"6' 7""",220,United States,California,2,"$9,699,480","$4,743,000",2016
4,PHX ,Dragan Bender,PF,"7' 1""",225,Croatia,,2,"$8,745,120","$4,276,320",2016
5,MIN *Traded to CHI,Kris Dunn,PG,"6' 4""",205,United States,Providence,2,"$7,919,280","$3,872,520",2016
6,NOP *Traded to SAC,Buddy Hield,SG,"6' 4""",214,The Bahamas,Oklahoma,2,"$7,192,680","$3,517,200",2016
7,DEN  from NYK,Jamal Murray,PG,"6' 4""",207,United States,Kentucky,2,"$6,566,160","$3,210,840",2016
8,SAC *Traded to HOU,Marquese Chriss,PF,"6' 10""",240,United States,Washington,2,"$6,015,240","$2,941,440",2016
9,TOR  from NYK via DEN*Traded to SAS,Jakob Poeltl,C,"7' 0""",230,Austria,Utah,2,"$5,529,600","$2,703,960",2016
10,MIL ,Thon Maker,C,"7' 1""",221,Australia,,2,"$5,252,760","$2,568,600",2016
11,ORL *Traded to IND,Domantas Sabonis,C,"6' 11""",240,Lithuania,Gonzaga,2,"$4,990,200","$2,440,200",2016
12,UTH *Traded to ATL,Taurean Prince,SF,"6' 8""",220,United States,Baylor,2,"$4,740,840","$2,318,280",2016
13,PHX *Traded to POR,Georgios Papagiannis,C,"7' 1""",240,Greece,,2,"$4,503,600","$2,202,240",2016
14,CHI ,Denzel Valentine,SG,"6' 6""",210,United States,Michigan State,2,"$4,278,600","$2,092,200",2016
15,DEN  from HOU,Juan Hernangomez,PF,"6' 9""",230,Spain,,2,"$4,064,280","$1,987,440",2016
16,BOS  from DAL,Guerschon Yabusele,PF,"6' 8""",260,France,,2,"$4,915,080",-,2016
17,MEM *Traded to POR,Wade Baldwin,PG,"6' 4""",202,United States,Vanderbilt,2,"$3,668,160","$1,793,760",2016
18,DET ,Henry Ellenson,PF,"6' 11""",245,United States,Marquette,2,"$3,484,920","$1,704,120",2016
19,DEN  from POR,Malik Beasley,SG,"6' 5""",195,United States,Florida State,2,"$3,327,960","$1,627,320",2016
20,IND *Traded to BKN,Caris LeVert,SG,"6' 7""",204,United States,Michigan,2,"$3,194,760","$1,562,280",2016
21,ATL ,DeAndre' Bembry,SF,"6' 6""",210,United States,Saint Joseph's,2,"$3,066,960","$1,499,760",2016
22,CHA *Traded to TOR,Malachi Richardson,SG,"6' 6""",205,United States,Syracuse,2,"$2,944,440","$1,439,880",2016
