Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3301,Wesley Johnson\johnswe01,2011-12,24,MIN,NBA,8.0,65,64,1469,158,397,105,228,53,169,24,34,24,153,177,59,35,48,60,115,393,.398,.461,.314,.465,.706,.477
3302,Troy Murphy\murphtr01,2010-11,30,TOT,NBA,8.0,35,4,466,42,114,37,81,5,33,20,30,22,91,113,23,15,3,20,47,109,.368,.457,.152,.390,.667,.428
3303,Josh Powell\poweljo01,2010-11,28,ATL,NBA,8.0,54,0,653,94,208,94,207,0,1,36,45,49,86,135,22,5,5,53,78,224,.452,.454,.000,.452,.800,.492
3304,Tony Snell\snellto01,2013-14,22,CHI,NBA,8.0,77,12,1231,129,336,72,158,57,178,31,41,19,105,124,68,29,15,44,84,346,.384,.456,.320,.469,.756,.489
3305,Lance Thomas\thomala01,2014-15,26,TOT,NBA,8.0,62,37,1490,182,442,175,420,7,22,72,99,65,130,195,69,37,8,74,101,443,.412,.417,.318,.420,.727,.456
3306,Henry Walker\walkebi01,2014-15,27,MIA,NBA,8.0,24,13,628,58,168,13,36,45,132,14,18,7,75,82,29,24,9,24,76,175,.345,.361,.341,.479,.778,.497
3307,Norris Cole\coleno01,2011-12,23,MIA,NBA,7.9,65,2,1260,177,450,156,374,21,76,66,85,21,70,91,133,44,2,105,124,441,.393,.417,.276,.417,.776,.452
3308,Norris Cole\coleno01,2012-13,24,MIA,NBA,7.9,80,4,1590,179,425,144,327,35,98,52,80,18,112,130,164,57,7,104,155,445,.421,.440,.357,.462,.650,.483
3309,Kim English\engliki01,2012-13,24,DET,NBA,7.9,41,0,407,42,112,28,62,14,50,21,29,8,29,37,26,16,3,19,46,119,.375,.452,.280,.438,.724,.477
3310,Willie Green\greenwi01,2014-15,33,ORL,NBA,7.9,52,2,951,118,306,76,185,42,121,28,34,14,65,79,68,26,5,48,81,306,.386,.411,.347,.454,.824,.477
3311,Corey Maggette\maggeco01,2012-13,33,DET,NBA,7.9,18,0,257,27,76,22,55,5,21,36,48,5,20,25,19,6,2,17,42,95,.355,.400,.238,.388,.750,.489
3312,Elijah Millsap\millsel01,2014-15,27,UTA,NBA,7.9,47,5,924,81,238,53,148,28,90,58,86,28,122,150,58,56,16,67,124,248,.340,.358,.311,.399,.674,.450
3313,Greg Smith\smithgr02,2015-16,25,MIN,NBA,7.9,18,0,192,18,32,18,32,0,0,7,17,12,30,42,6,4,1,7,28,43,.563,.563,,.563,.412,.545
3314,Hollis Thompson\thompho01,2016-17,25,TOT,NBA,7.9,40,9,752,77,200,45,105,32,95,19,29,19,93,112,35,20,6,11,69,205,.385,.429,.337,.465,.655,.482
3315,Mike Bibby\bibbymi01,2011-12,33,NYK,NBA,7.8,39,4,557,35,124,8,39,27,85,6,8,5,54,59,80,21,3,20,45,103,.282,.205,.318,.391,.750,.404
