rank,team,name,salary,year
1,,"
Stephen Curry
Point Guard
","$37,457,154  ",2018
2,,"
LeBron James
Small Forward
","$35,654,150  ",2018
,,"
Chris Paul
Point Guard
","$35,654,150  ",2018
,,"
Russell Westbrook
Point Guard
","$35,654,150  ",2018
5,,"
Kyle Lowry
Point Guard
","$32,700,000  ",2018
6,,"
Blake Griffin
Power Forward
","$32,088,932  ",2018
7,,"
Gordon Hayward
Small Forward
","$31,214,295  ",2018
8,,"
Paul George
Small Forward
","$30,560,700  ",2018
9,,"
Mike Conley
Point Guard
","$30,521,115  ",2018
10,,"
James Harden
Shooting Guard
","$30,421,854  ",2018
11,,"
Kevin Durant
Small Forward
","$30,000,000  ",2018
12,,"
Paul Millsap
Power Forward
","$29,380,769  ",2018
13,,"
Al Horford
Center
","$28,928,709  ",2018
14,,"
Damian Lillard
Point Guard
","$27,977,689  ",2018
15,,"
DeMar DeRozan
Shooting Guard
","$27,739,975  ",2018
16,,"
Jrue Holiday
Point Guard
","$26,261,111  ",2018
17,,"
Otto Porter Jr.
Small Forward
","$26,011,913  ",2018
18,,"
C.J. McCollum
Shooting Guard
","$25,759,766  ",2018
19,,"
Nikola Jokic
Center
","$25,467,251  ",2018
20,,"
Andrew Wiggins
Small Forward
","$25,467,250  ",2018
,,"
Joel Embiid
Center
","$25,467,250  ",2018
22,,"
Hassan Whiteside
Center
","$25,434,263  ",2018
,,"
Andre Drummond
Center
","$25,434,263  ",2018
,,"
Anthony Davis
Power Forward
","$25,434,263  ",2018
,,"
Bradley Beal
Shooting Guard
","$25,434,263  ",2018
26,,"
Harrison Barnes
Small Forward
","$24,793,702  ",2018
27,,"
Giannis Antetokounmpo
Power Forward
","$24,157,303  ",2018
,,"
Steven Adams
Center
","$24,157,303  ",2018
29,,"
Kevin Love
Center
","$24,119,025  ",2018
,,"
Marc Gasol
Center
","$24,119,025  ",2018
31,,"
Chandler Parsons
Small Forward
","$24,107,258  ",2018
32,,"
Nicolas Batum
Shooting Guard
","$24,000,000  ",2018
33,,"
Rudy Gobert
Center
","$23,491,573  ",2018
34,,"
Kawhi Leonard
Small Forward
","$23,114,066  ",2018
35,,"
DeAndre Jordan
Center
","$22,897,200  ",2018
36,,"
LaMarcus Aldridge
Power Forward
","$22,347,015  ",2018
37,,"
Serge Ibaka
Power Forward
","$21,666,667  ",2018
38,,"
Aaron Gordon
Power Forward
","$21,590,909  ",2018
39,,"
Danilo Gallinari
Small Forward
","$21,587,579  ",2018
40,,"
Victor Oladipo
Shooting Guard
","$21,000,000  ",2018
41,,"
Jimmy Butler
Shooting Guard
","$20,445,779  ",2018
42,,"
Ryan Anderson
Power Forward
","$20,421,546  ",2018
43,,"
Kyrie Irving
Point Guard
","$20,099,188  ",2018
44,,"
Jabari Parker
Power Forward
","$20,000,000  ",2018
45,,"
Zach LaVine
Shooting Guard
","$19,500,000  ",2018
46,,"
Tyler Johnson
Shooting Guard
","$19,245,370  ",2018
