,school,state
0,Acadia University,PA
1,Alliance College,india
2,American International College,MA
3,Augusta State University,GA
4,Augustana College (SD),SD
5,Aurora University,IL
6,Averett University,VA
7,Brigham Young University Hawaii,HI
8,"California State Polytechnic University, Pomona",CA
9,"California State University, Bakersfield",CA
10,"California State University, Fresno",CA
11,"California State University, Fullerton",CA
12,"California State University, Long Beach",CA
13,"California State University, Los Angeles",CA
14,"California State University, Northridge",CA
15,California University of Pennslyvania,CA
16,Cheyney University of Pennsylvania,PA
17,Christopher Newport University,VA
18,City College of New York,NY
19,Clark Atlanta University,GA
20,College of Saint Rose,NY
21,College of William & Mary,VA
22,Coppin State University,MY
23,Drexel University,PA
24,East Texas State University,TX
25,Eastern Washington University,WA
26,Elizabeth City State University,NC
27,Fort Valley State University,GA
28,Friendship Junior College,SC
29,Hampton University,VA
30,Huntington University,IN
31,Indiana University,IN
32,Indiana University-Purdue University Indianapolis,IN
33,Johnson C. Smith University,NC
34,King's College,PA
35,La Salle University,LA
36,Lawrence Technological University,MI
37,Lincoln University of Missouri,MI
38,Long Island University,NY
39,Loyola University of Chicago,IL
40,Marist College,NY
41,Master's College,CA
42,Miami University,FL
43,Midwestern State University,TX
44,Mississippi Valley State University,MS
45,North Carolina Agricultural and Technical State University,NC
46,North Carolina Central University,NC
47,North Park University,IL
48,Northeast Mississippi Community College,MS
49,Northwestern State University,LA
50,Ohio State University,OH
51,Okaloosa-Walton Community College,FL
52,Phillips University,OK
53,Pikeville College,KY
54,Robert Morris University (IL),IL
55,Rutgers University,NJ
56,Saint Augustine's College,NC
57,Saint Francis University,PA
58,Saint Joseph's University,PA
59,Saint Louis University,MI
60,Saint Mary's College of California,CA
61,Saint Mary's University of Minnesota,MN
62,Saint Peter's College,NJ
63,Saint Vincent College,PA
64,Seward County Community College,KA
65,Southern Illinois University,IL
66,St. Francis College,IL
67,State University of New York College at Buffalo,NY
68,State University of New York at Potsdam,NY
69,Stephen F. Austin State University,TX
70,Texas Southern University,TX
71,Trenton State University,NJ
72,Trinity Valley Community College,TX
73,University of California,CA
74,University of Hawaii,HI
75,University of Maine,ME
76,University of Minnesota Duluth,MN
77,University of Missouri,MI
78,University of Missouri-Kansas City,MI
79,University of Montana,MT
80,University of Nebraska,NE
81,"University of Nevada, Las Vegas",NV
82,"University of Nevada, Reno",NV
83,University of North Carolina,CA
84,University of Southern Colorado,CO
85,University of Tennessee at Martin,TN
86,University of Texas at San Antonio,TX
87,University of Texas-Pan American,TX
88,University of Wisconsin,WI
89,University of Wisconsin-Eau Claire,WI
90,University of Wisconsin-Green Bay,WI
91,University of Wisconsin-Parkside,WI
92,University of Wisconsin-River Falls,WI
93,University of Wisconsin-Stevens Point,WI
94,University of the District of Columbia,DC
95,Utah Valley State College,UT
96,Virginia Union University,VA
97,Voorhees College,SC
98,Walsh University,OH
99,Washington & Jefferson College,PA
100,Weber State University,UT
101,West Virginia University Institute of Technology,WV
102,Westchester CC,PA
103,Whitworth,WA
104,Xavier University of Louisiana,LA
