Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
4301,Konrad Reuland\ReulKo00,2012,2015,,TOT,NFL,30,4,4,0,0,1
4302,Dominic Rhodes\RhodDo00,2010,2010,,CLT,NFL,3,0,1,0,0,1
4303,Patrick Ricard\RicaPa00,2017,2018,,RAV,NFL,26,2,2,0,0,1
4304,Denzel Rice\RiceDe00,2015,2018,,TOT,NFL,20,0,3,0,0,1
4305,Mike Richardson\RichMi99,2009,2010,6-202,TOT,NFL,12,1,2,0,0,1
4306,Sean Richardson\RichSe00,2012,2015,,GNB,NFL,30,1,4,0,0,1
4307,Cody Riggs\RiggCo00,2015,2016,,OTI,NFL,14,0,2,0,0,1
4308,Christian Ringo\RingCh00,2016,2018,6-210,TOT,NFL,20,0,3,0,0,1
4309,Mike Rivera\RiveMi00,2012,2012,,2TM,NFL,11,1,1,0,0,1
4310,Derek Rivers\RiveDe00,2018,2018,3-83,NWE,NFL,6,0,1,0,0,1
4311,David Roach\RoacDa00,2009,2009,,RAM,NFL,15,0,1,0,0,1
4312,Michael Roberts\RobeMi01,2017,2018,4-127,DET,NFL,23,5,2,0,0,1
4313,Travian Robertson\RobeTr00,2012,2014,7-249,TOT,NFL,14,0,3,0,0,1
4314,Adrian Robinson\RobiAd01,2012,2013,,TOT,NFL,22,0,2,0,0,1
4315,DelJuan Robinson\RobiDe22,2009,2009,,HTX,NFL,11,0,1,0,0,1
4316,Gijon Robinson\RobiGi21,2009,2010,,CLT,NFL,24,12,2,0,0,1
4317,Ryan Robinson\RobiRy01,2013,2014,,TOT,NFL,11,0,2,0,0,1
4318,William Robinson\RobiWi20,2009,2012,,TOT,NFL,7,1,2,0,0,1
4319,Courtney Roby\RobyCo00,2009,2014,3-68,TOT,NFL,61,0,5,0,0,1
4320,Jumal Rolle\RollJu00,2014,2015,,TOT,NFL,18,0,2,0,0,1
4321,Brett Romberg\RombBr20,2009,2011,,ATL,NFL,11,0,2,0,0,1
4322,Jordan Roos\RoosJo00,2017,2017,,SEA,NFL,7,0,1,0,0,1
4323,Robert Royal\RoyaRo00,2009,2010,5-160,CLE,NFL,28,15,2,0,0,1
4324,Travis Rudolph\RudoTr00,2017,2017,,NYG,NFL,7,1,1,0,0,1
4325,Jon Runyan\RunyJo20,2009,2009,4-109,SDG,NFL,5,0,1,0,0,1
4326,T.J. Rushing\RushT.20,2009,2009,7-238,CLT,NFL,15,0,1,0,0,1
4327,Brian Russell\RussBr20,2009,2009,,2TM,NFL,12,1,1,0,0,1
4328,Gary Russell\RussGa00,2009,2009,,RAI,NFL,12,4,1,0,0,1
4329,Sean Ryan\RyanSe00,2009,2009,5-144,KAN,NFL,10,8,1,0,0,1
4330,Brandon Saine\SainBr00,2011,2012,,GNB,NFL,14,0,2,0,0,1
4331,James Sample\SampJa00,2015,2015,4-104,JAX,NFL,4,2,1,0,0,1
4332,Josh Samuda\SamuJo00,2012,2014,,TOT,NFL,16,0,2,0,0,1
4333,Zack Sanchez\SancZa00,2016,2016,5-141,CAR,NFL,5,1,1,0,0,1
4334,Brian Sanford\SanfBr00,2011,2013,,TOT,NFL,12,1,3,0,0,1
4335,Tom Santi\SantTo00,2009,2009,6-196,CLT,NFL,3,2,1,0,0,1
4336,Ricky Sapp\SappRi99,2012,2014,5-134,TOT,NFL,17,0,3,0,0,1
4337,Tyler Sash\SashTy00,2011,2012,6-198,NYG,NFL,23,0,2,0,0,1
4338,Dantrell Savage\SavaDa20,2009,2009,,KAN,NFL,5,0,1,0,0,1
4339,J.K. Schaffer\SchaJ.00,2012,2014,,CIN,NFL,9,0,3,0,0,1
4340,Caleb Schlauderaff\SchlCa00,2011,2013,6-179,NYJ,NFL,12,1,3,0,0,1
4341,Owen Schmitt\SchmOw00,2009,2012,5-163,TOT,NFL,59,15,4,0,0,1
4342,Nick Schommer\SchoNi99,2010,2010,7-242,OTI,NFL,13,0,1,0,0,1
4343,Derek Schouman\SchoDe00,2009,2010,7-222,TOT,NFL,6,2,2,0,0,1
4344,Dalton Schultz\SchuDa00,2018,2018,4-137,DAL,NFL,11,7,1,0,0,1
4345,Da'Rel Scott\ScotDa01,2011,2013,7-221,NYG,NFL,20,1,3,0,0,1
4346,Trenton Scott\ScotTr01,2018,2018,,SDG,NFL,9,1,1,0,0,1
4347,Greg Scruggs\ScruGr00,2012,2016,7-232,TOT,NFL,18,0,4,0,0,1
4348,Junior Seau*\SeauJu00,2009,2009,1-5,NWE,NFL,7,0,1,0,0,1
4349,Mohammed Seisay\SeisMo00,2014,2014,,DET,NFL,13,0,1,0,0,1
4350,Mark Setterstrom\SettMa20,2009,2009,7-242,RAM,NFL,9,3,1,0,0,1
4351,Tim Settle\SettTi00,2018,2018,5-163,WAS,NFL,16,0,1,0,0,1
4352,Adam Shaheen\ShahAd00,2017,2018,2-45,CHI,NFL,19,11,2,0,0,1
4353,David Sharpe\SharDa02,2017,2018,4-129,TOT,NFL,15,2,2,0,0,1
4354,Cameron Sheffield\ShefCa99,2011,2012,5-142,KAN,NFL,17,1,2,0,0,1
4355,Austin Shepherd\ShepAu00,2015,2015,7-228,MIN,NFL,14,0,1,0,0,1
4356,JaCorey Shepherd\ShepJa00,2016,2016,6-191,SFO,NFL,11,0,1,0,0,1
4357,Malcolm Sheppard\ShepMa00,2010,2011,,TOT,NFL,17,1,2,0,0,1
4358,Trent Sherfield\SherTr00,2018,2018,,CRD,NFL,13,2,1,0,0,1
4359,Trent Sieg\SiegTr00,2018,2018,,RAI,NFL,15,0,1,0,0,1
4360,Jamie Silva\SilvJa99,2009,2009,,CLT,NFL,14,0,1,0,0,1
4361,Kendall Simmons\SimmKe20,2009,2009,1-30,2TM,NFL,4,3,1,0,0,1
4362,Matt Simms\SimmMa00,2013,2014,,NYJ,NFL,4,0,2,0,0,1
4363,Scott Simonson\SimoSc00,2014,2018,,TOT,NFL,34,5,4,0,0,1
4364,David Sims\SimsDa01,2012,2012,,PHI,NFL,15,1,1,0,0,1
4365,Deontae Skinner\SkinDe00,2014,2017,,TOT,NFL,14,1,3,0,0,1
4366,Shayne Skov\SkovSh00,2014,2016,,TOT,NFL,24,0,3,0,0,1
4367,Chad Slade\SladCh01,2017,2017,,HTX,NFL,5,3,1,0,0,1
4368,Alex Smith\SmitAl02,2009,2015,3-71,TOT,NFL,66,14,7,0,0,1
4369,Bryan Smith\SmitBr96,2009,2009,3-80,JAX,NFL,6,2,1,0,0,1
4370,C.J. Smith\SmitC.00,2016,2017,,TOT,NFL,13,0,2,0,0,1
4371,D'Anthony Smith\SmitDA99,2012,2015,3-74,TOT,NFL,14,0,4,0,0,1
4372,DeAngelo Smith\SmitDe98,2009,2009,5-143,DET,NFL,7,1,1,0,0,1
4373,Devin Smith\SmitDe04,2015,2016,2-37,NYJ,NFL,14,3,2,0,0,1
4374,Garrison Smith\SmitGa01,2014,2018,,TOT,NFL,13,0,4,0,0,1
4375,Hunter Smith\SmitHu21,2009,2010,7-210,WAS,NFL,22,0,2,0,0,1
4376,Keith Smith\SmitKe03,2014,2018,,TOT,NFL,63,7,5,0,0,1
4377,Quanterus Smith\SmitQu00,2014,2014,5-146,DEN,NFL,15,0,1,0,0,1
4378,Rusty Smith\SmitRu01,2010,2012,6-176,OTI,NFL,3,1,2,0,0,1
4379,Tremon Smith\SmitTr04,2018,2018,6-196,KAN,NFL,14,1,1,0,0,1
4380,Tye Smith\SmitTy01,2015,2017,5-170,TOT,NFL,19,1,2,0,0,1
4381,Vyncint Smith\SmitVy00,2018,2018,,HTX,NFL,7,1,1,0,0,1
4382,David Snow\SnowDa00,2012,2012,,BUF,NFL,5,2,1,0,0,1
4383,Vic So'oto\SootVi00,2011,2013,,TOT,NFL,14,1,3,0,0,1
4384,Dezmen Southward\SoutDe00,2014,2017,3-68,TOT,NFL,20,0,3,0,0,1
4385,Matt Spaeth\SpaeMa00,2009,2015,3-77,TOT,NFL,93,54,7,0,0,1
4386,Quinton Spears\SpeaQu00,2011,2011,,CLE,NFL,13,0,1,0,0,1
4387,Kory Sperry\SperKo00,2009,2013,,TOT,NFL,40,8,5,0,0,1
4388,Taylor Stallworth\StalTa00,2018,2018,,NOR,NFL,14,0,1,0,0,1
4389,Montavious Stanley\StanMo20,2009,2009,6-182,JAX,NFL,15,0,1,0,0,1
4390,Justin Staples\StapJu00,2014,2016,,OTI,NFL,21,0,3,0,0,1
4391,Jerramy Stevens\StevJe00,2009,2010,1-28,TAM,NFL,21,9,2,0,0,1
4392,Tony Steward\StewTo01,2015,2015,6-188,BUF,NFL,7,0,1,0,0,1
4393,ArDarius Stewart\StewAr00,2017,2017,3-79,NYJ,NFL,15,2,1,0,0,1
4394,Jeremy Stewart\StewJe00,2012,2014,,TOT,NFL,23,0,3,0,0,1
4395,Devin Street\StreDe00,2014,2016,5-146,TOT,NFL,35,2,3,0,0,1
4396,Jonathan Stupar\StupJo00,2009,2010,,BUF,NFL,30,5,2,0,0,1
4397,Nate Sudfeld\SudfNa00,2017,2018,6-187,PHI,NFL,3,0,2,0,0,1
4398,Zach Sudfeld\SudfZa00,2013,2014,,TOT,NFL,30,5,2,0,0,1
4399,Chandon Sullivan\SullCh00,2018,2018,,PHI,NFL,5,1,1,0,0,1
4400,Tre Sullivan\SullTr01,2018,2018,,PHI,NFL,12,1,1,0,0,1
