,Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
0,1,Tom Brady\BradTo00,2009,2018,6-199,NWE,NFL,156.0,156.0,10,10,2,165
1,2,Drew Brees\BreeDr00,2009,2018,2-32,NOR,NFL,157.0,157.0,10,9,0,161
2,3,Aaron Rodgers\RodgAa00,2009,2018,1-24,GNB,NFL,142.0,142.0,10,7,2,155
3,4,Matt Ryan\RyanMa00,2009,2018,1-3,ATL,NFL,158.0,158.0,10,4,1,152
4,5,Philip Rivers\RivePh00,2009,2018,1-4,SDG,NFL,160.0,160.0,10,7,0,143
5,6,Ben Roethlisberger\RoetBe00,2009,2018,1-11,PIT,NFL,144.0,143.0,10,5,0,128
6,7,Cam Newton\NewtCa00,2011,2018,1-1,CAR,NFL,123.0,122.0,8,3,1,122
7,8,Eli Manning\MannEl00,2009,2018,1-1,NYG,NFL,159.0,159.0,10,3,0,116
8,9,Calais Campbell\CampCa99,2009,2018,2-50,TOT,NFL,154.0,152.0,10,4,1,114
9,10,Jahri Evans\EvanJa21,2009,2017,4-108,TOT,NFL,135.0,135.0,9,6,4,114
10,11,Russell Wilson\WilsRu00,2012,2018,3-75,SEA,NFL,112.0,112.0,7,5,0,114
11,12,Andrew Whitworth\WhitAn20,2009,2018,2-55,TOT,NFL,157.0,157.0,10,4,2,112
12,13,Alex Smith\SmitAl03,2009,2018,1-1,TOT,NFL,134.0,131.0,10,3,0,111
13,14,Matthew Stafford\StafMa00,2009,2018,1-1,DET,NFL,141.0,141.0,10,1,0,110
14,15,J.J. Watt\WattJ.00,2011,2018,1-11,HTX,NFL,104.0,104.0,8,5,5,108
15,16,Von Miller\MillVo00,2011,2018,1-2,DEN,NFL,120.0,120.0,8,7,3,106
16,17,Julius Peppers\PeppJu99,2009,2018,1-2,TOT,NFL,160.0,134.0,10,5,1,103
17,18,Antonio Brown\BrowAn04,2010,2018,6-195,PIT,NFL,130.0,103.0,9,7,4,102
18,19,Joe Flacco\FlacJo00,2009,2018,1-18,RAV,NFL,147.0,147.0,10,0,0,102
19,20,Julio Jones\JoneJu02,2011,2018,1-6,ATL,NFL,111.0,110.0,8,6,2,102
20,21,LeSean McCoy\McCoLe01,2009,2018,2-53,TOT,NFL,147.0,132.0,10,6,2,98
21,22,Haloti Ngata\NgatHa20,2009,2018,1-12,TOT,NFL,132.0,126.0,10,5,2,98
22,23,Ndamukong Suh\SuhxNd99,2010,2018,1-2,TOT,NFL,142.0,142.0,9,5,3,98
23,24,Bobby Wagner\WagnBo00,2012,2018,2-47,SEA,NFL,103.0,102.0,7,5,4,98
24,25,Clay Matthews\MattCl99,2009,2018,1-26,GNB,NFL,143.0,137.0,10,6,1,97
25,26,Patrick Peterson\PetePa00,2011,2018,1-5,CRD,NFL,128.0,128.0,8,8,3,97
26,27,Luke Kuechly\KuecLu00,2012,2018,1-9,CAR,NFL,102.0,102.0,7,6,5,96
27,28,Geno Atkins\AtkiGe99,2010,2018,4-120,CIN,NFL,137.0,120.0,9,7,2,95
28,29,Josh Sitton\SittJo20,2009,2018,4-135,TOT,NFL,137.0,136.0,10,4,0,95
29,30,Eric Weddle\WeddEr99,2009,2018,2-37,TOT,NFL,154.0,154.0,10,6,2,94
30,31,Cameron Wake\WakeCa00,2009,2018,,MIA,NFL,146.0,126.0,10,5,1,93
31,32,Marshal Yanda\YandMa20,2009,2018,3-86,RAV,NFL,141.0,134.0,10,7,2,92
32,33,Andy Dalton\DaltAn00,2011,2018,2-35,CIN,NFL,120.0,120.0,8,3,0,91
33,34,Jason Peters\PeteJa21,2009,2018,,PHI,NFL,127.0,127.0,10,7,2,91
34,35,Adrian Peterson\PeteAd01,2009,2018,1-7,TOT,NFL,119.0,115.0,10,5,3,91
35,36,Richard Sherman\SherRi00,2011,2018,5-154,TOT,NFL,119.0,113.0,8,4,3,91
36,37,Duane Brown\BrowDu20,2009,2018,1-26,TOT,NFL,142.0,142.0,10,4,1,89
37,38,David Harris\HarrDa99,2009,2017,2-47,TOT,NFL,137.0,133.0,9,0,0,89
38,39,Matt Forte\FortMa00,2009,2017,2-44,TOT,NFL,130.0,121.0,9,2,0,88
39,40,Darrelle Revis\ReviDa99,2009,2017,1-14,TOT,NFL,113.0,110.0,9,6,4,88
40,41,Terrell Suggs\SuggTe99,2009,2018,1-10,RAV,NFL,133.0,133.0,10,4,1,88
41,42,Joe Staley\StalJo20,2009,2018,1-28,SFO,NFL,142.0,142.0,10,6,0,87
42,43,Frank Gore\GoreFr00,2009,2018,3-65,TOT,NFL,151.0,150.0,10,4,0,86
43,44,Alex Mack\MackAl20,2009,2018,1-21,TOT,NFL,149.0,149.0,10,6,0,86
44,45,Carson Palmer\PalmCa00,2009,2017,1-1,TOT,NFL,117.0,116.0,9,1,0,86
45,46,Joe Thomas\ThomJo28,2009,2017,1-3,CLE,NFL,135.0,135.0,9,8,6,86
46,47,Peyton Manning\MannPe00,2009,2015,1-1,TOT,NFL,90.0,89.0,6,5,3,85
47,48,Earl Thomas\ThomEa99,2010,2018,1-14,SEA,NFL,125.0,125.0,9,6,3,85
48,49,Lawrence Timmons\TimmLa99,2009,2017,1-15,TOT,NFL,140.0,138.0,9,1,0,84
49,50,Ryan Kalil\KaliRy20,2009,2018,2-59,CAR,NFL,130.0,130.0,10,5,2,83
50,51,Logan Mankins\MankLo20,2009,2015,1-32,TOT,NFL,97.0,97.0,7,6,1,83
51,52,Tyron Smith\SmitTy00,2011,2018,1-9,DAL,NFL,118.0,118.0,8,6,2,83
52,53,Rob Gronkowski\GronRo00,2010,2018,2-42,NWE,NFL,115.0,100.0,9,5,4,82
53,54,Jordy Nelson\NelsJo00,2009,2018,2-36,TOT,NFL,135.0,100.0,9,1,0,82
54,55,DeSean Jackson\JackDe00,2009,2018,2-49,TOT,NFL,137.0,131.0,10,3,0,81
55,56,Max Unger\UngeMa20,2009,2018,2-49,TOT,NFL,130.0,130.0,10,3,1,81
56,57,Kyle Williams\WillKy20,2009,2018,5-134,BUF,NFL,135.0,135.0,10,6,0,81
57,58,Ryan Fitzpatrick\FitzRy00,2009,2018,7-250,TOT,NFL,122.0,111.0,10,0,0,80
58,59,A.J. Green\GreeA.00,2011,2018,1-4,CIN,NFL,111.0,111.0,8,7,0,80
59,60,Derrick Johnson\JohnDe25,2009,2018,1-15,TOT,NFL,129.0,112.0,10,4,1,80
60,61,Maurkice Pouncey\PounMa20,2010,2018,1-18,PIT,NFL,108.0,108.0,8,7,2,80
61,62,DeMarcus Ware\WareDe99,2009,2016,1-11,TOT,NFL,114.0,109.0,8,6,2,80
62,63,Jay Cutler\CutlJa00,2009,2017,1-11,TOT,NFL,116.0,116.0,9,0,0,79
63,64,Cameron Jordan\JordCa00,2011,2018,1-24,NOR,NFL,128.0,127.0,8,4,1,79
64,65,Andrew Luck\LuckAn00,2012,2018,1-1,CLT,NFL,86.0,86.0,6,4,0,79
65,66,Brandon Marshall\MarsBr00,2009,2018,4-119,TOT,NFL,133.0,126.0,10,5,1,79
66,67,Demaryius Thomas\ThomDe03,2010,2018,1-22,TOT,NFL,132.0,118.0,9,4,0,78
67,68,Trent Williams\WillTr21,2010,2018,1-4,WAS,NFL,120.0,119.0,9,7,0,78
68,69,Fletcher Cox\CoxxFl00,2012,2018,1-12,PHI,NFL,109.0,103.0,7,4,1,77
69,70,Karlos Dansby\DansKa20,2009,2017,2-33,TOT,NFL,138.0,127.0,9,0,0,77
70,71,Calvin Johnson\JohnCa00,2009,2015,1-2,DET,NFL,104.0,104.0,7,6,3,77
71,72,Tony Romo\RomoTo00,2009,2016,,DAL,NFL,89.0,88.0,8,2,0,77
72,73,Patrick Willis\WillPa98,2009,2014,1-11,SFO,NFL,80.0,80.0,6,5,4,77
73,74,Aaron Donald\DonaAa00,2014,2018,1-13,RAM,NFL,78.0,74.0,5,5,4,76
74,75,Larry Fitzgerald\FitzLa00,2009,2018,1-3,CRD,NFL,158.0,156.0,10,8,0,76
75,76,Gerald McCoy\McCoGe99,2010,2018,1-3,TAM,NFL,123.0,123.0,9,6,1,76
76,77,Aqib Talib\TaliAq99,2009,2018,1-20,TOT,NFL,128.0,127.0,10,5,1,76
77,78,Vince Wilfork\WilfVi20,2009,2016,1-21,TOT,NFL,112.0,112.0,8,4,1,76
78,79,NaVorro Bowman\BowmNa99,2010,2017,3-91,TOT,NFL,99.0,84.0,8,3,4,75
79,80,Jurrell Casey\CaseJu00,2011,2018,3-77,OTI,NFL,125.0,123.0,8,4,0,75
80,81,Domata Peko\PekoDo20,2009,2018,4-123,TOT,NFL,153.0,153.0,10,0,0,74
81,82,Justin Smith\SmitJu20,2009,2014,1-4,SFO,NFL,94.0,94.0,6,5,1,74
82,83,Jermon Bushrod\BushJe20,2009,2018,4-125,TOT,NFL,142.0,128.0,10,2,0,73
83,84,Tamba Hali\HaliTa20,2009,2017,1-20,KAN,NFL,130.0,110.0,9,5,0,73
84,85,T.J. Lang\LangT.20,2009,2018,4-109,TOT,NFL,138.0,113.0,10,2,0,73
85,86,Marshawn Lynch\LyncMa00,2009,2018,1-12,TOT,NFL,120.0,107.0,9,4,1,73
86,87,Donald Penn\PennDo20,2009,2018,,TOT,NFL,146.0,146.0,10,3,0,73
87,88,Roddy White\WhitRo00,2009,2015,1-27,ATL,NFL,107.0,106.0,7,3,1,73
88,89,T.Y. Hilton\HiltT.00,2012,2018,3-92,CLT,NFL,108.0,87.0,7,4,0,72
89,90,Chris Johnson\JohnCh04,2009,2017,1-24,TOT,NFL,115.0,97.0,9,2,1,72
90,91,Johnathan Joseph\JoseJo20,2009,2018,1-24,TOT,NFL,147.0,145.0,10,2,0,72
91,92,Muhammad Wilkerson\WilkMu00,2011,2018,1-30,TOT,NFL,108.0,104.0,8,1,0,72
92,93,Dez Bryant\BryaDe01,2010,2017,1-24,DAL,NFL,113.0,99.0,8,3,1,71
93,94,Wes Welker\WelkWe00,2009,2015,,TOT,NFL,96.0,72.0,7,4,2,71
94,95,Malcolm Jenkins\JenkMa99,2009,2018,1-14,TOT,NFL,151.0,143.0,10,3,0,70
95,96,Ryan Kerrigan\KerrRy00,2011,2018,1-16,WAS,NFL,128.0,128.0,8,4,0,70
