Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2006 Cap,year
1  ,HOU , Mario Williams ,DE,21,North Carolina State,6,"$54,000,000",-,"$2,900,000",2006
2  ,NO , Reggie Bush ,RB,21,Southern California,6,"$52,500,000",-,"$6,200,000",2006
3  ,TEN , Vince Young ,QB,22,Texas,6,"$58,000,000",-,"$6,740,000",2006
4  ,NYJ , D'Brickashaw Ferguson ,LT,22,Virginia,6,"$37,500,000",-,"$2,350,000",2006
5  ,GB , A.J. Hawk ,OLB,22,Ohio State,6,"$37,500,000",-,"$2,185,000",2006
6  ,SF , Vernon Davis ,TE,22,Maryland,5,"$23,000,000",-,"$5,835,000",2006
7  ,OAK , Michael Huff ,S,23,Texas,5,"$43,200,000",-,"$2,000,000",2006
8  ,BUF , Donte Whitner ,SS,20,Ohio State,5,"$29,000,000","$1,500,000","$5,023,000",2006
9  ,DET , Ernie Sims ,OLB,21,Florida State,5,"$16,650,000",-,"$3,175,000",2006
10  ,ARI , Matt Leinart ,QB,22,Southern California,6,"$50,460,000",-,"$1,500,000",2006
11  ,DEN , Jay Cutler ,QB,23,Vanderbilt,6,"$48,000,000",-,"$1,550,000",2006
12  ,BAL , Haloti Ngata ,DT,22,Oregon,5,"$13,950,000",-,"$3,140,000",2006
13  ,CLE , Kamerion Wimbley ,OLB,22,Florida State,6,"$23,601,250",-,"$2,215,000",2006
14  ,PHI , Brodrick Bunkley ,DT,22,Florida State,6,"$17,500,000",-,"$1,316,000",2006
15  ,STL , Tye Hill ,CB,23,Clemson,5,"$12,600,000",-,"$1,354,000",2006
16  ,MIA , Jason Allen ,CB,22,Tennessee,6,"$12,586,175",-,"$1,306,175",2006
17  ,MIN , Chad Greenway ,OLB,23,Iowa,5,"$10,750,000",-,"$1,310,000",2006
18  ,DAL , Bobby Carpenter ,LB,22,Ohio State,5,"$10,800,000",-,"$1,220,000",2006
19  ,SD , Antonio Cromartie ,CB,22,Florida State,5,"$12,500,000",-,"$1,150,000",2006
20  ,KC , Tamba Hali ,OLB,22,Penn State,5,"$12,150,000",-,"$1,160,000",2006
21  ,NE , Laurence Maroney ,RB,21,Minnesota,5,"$9,000,000",-,"$1,150,000",2006
22  ,SF , Manny Lawson ,OLB,21,North Carolina State,5,"$13,900,000",-,"$1,110,000",2006
23  ,TB , Davin Joseph ,G,22,Oklahoma,5,"$11,275,000","$1,000,000","$1,060,000",2006
24  ,CIN , Johnathan Joseph ,CB,22,South Carolina,5,"$8,200,000",-,"$1,090,000",2006
25  ,PIT , Santonio Holmes ,WR,22,Ohio State,5,"$8,110,000",-,"$1,440,000",2006
26  ,BUF , John McCargo ,DT,22,North Carolina State,5,"$8,000,000",-,"$1,050,000",2006
27  ,CAR , DeAngelo Williams ,RB,23,Memphis,5,"$10,425,000",-,"$980,000",2006
28  ,JAC , Marcedes Lewis ,TE,21,California-Los Angeles,5,"$7,425,000",-,"$990,000",2006
29  ,NYJ , Nick Mangold ,C,22,Ohio State,5,"$10,518,000","$1,000,000","$1,034,000",2006
30  ,IND , Joseph Addai ,RB,22,Louisiana State,5,"$11,650,000","$500,000","$440,000",2006
31  ,SEA , Kelly Jennings ,CB,23,Miami (FL),5,"$9,700,000",-,"$1,025,000",2006
32  ,NYG , Mathias Kiwanuka ,DE,23,Boston College,5,"$6,960,000",-,"$1,605,000",2006
33  ,HOU , DeMeco Ryans ,ILB,21,Alabama,6,"$46,800,000","$7,500,000","$1,281,250",2006
34  ,CLE , D'Qwell Jackson ,ILB,22,Maryland,4,"$3,690,000","$1,900,000","$750,000",2006
35  ,WAS , Rocky McIntosh ,OLB,23,Miami (FL),4,"$4,150,000","$1,820,000","$730,000",2006
36  ,NE , Chad Jackson ,WR,21,Florida,4,"$4,000,000",-,"$727,500",2006
37  ,ATL , Jimmy Williams ,S,22,Virginia Tech,4,"$3,170,000","$1,560,000","$1,415,000",2006
38  ,OAK , Thomas Howard ,LB,22,Texas-El Paso,4,"$3,810,000",-,"$825,000",2006
39  ,PHI , Winston Justice ,LT,21,Southern California,4,"$3,710,000","$795,000","$758,750",2006
40  ,DET , Daniel Bullocks ,S,23,Nebraska,4,"$3,702,500",-,"$851,250",2006
41  ,ARI , Taitusi Lutui ,G,22,Southern California,4,"$3,595,000","$1,985,000","$771,250",2006
42  ,CHI , Danieal Manning ,S,23,Abilene Christian,4,"$3,530,000","$820,000","$605,000",2006
43  ,NO , Roman Harper ,SS,23,Alabama,4,"$3,554,500","$880,000","$1,199,500",2006
44  ,NYG , Sinorice Moss ,WR,22,Miami (FL),4,"$3,510,000","$700,000","$1,006,000",2006
45  ,TEN , Lendale White ,RB,21,Southern California,4,"$3,710,000","$1,300,000","$1,100,000",2006
46  ,STL , Joe Klopfenstein ,TE,22,Colorado,4,"$3,370,000","$1,300,000","$1,060,000",2006
47  ,GB , Daryn Colledge ,G,24,Boise State,4,"$2,915,000","$1,300,000","$990,000",2006
48  ,MIN , Cedric Griffin ,CB,23,Texas,4,"$3,230,000","$1,300,000","$920,000",2006
49  ,NYJ , Kellen Clemens ,QB,22,Oregon,4,"$3,220,000","$1,610,000","$677,500",2006
50  ,SD , Marcus McNeill ,T,22,Auburn,4,"$2,389,000","$1,224,000","$581,000",2006
51  ,MIN , Ryan Cook ,C,22,New Mexico,4,"$3,116,385","$1,200,000","$575,000",2006
52  ,GB , Greg Jennings ,WR,22,Western Michigan,4,"$2,850,000","$1,240,000","$830,000",2006
53  ,DAL , Anthony Fasano ,TE,22,Notre Dame,4,"$3,070,000","$1,150,000","$872,500",2006
54  ,KC , Bernard Pollard ,S,21,Purdue,4,"$2,670,000","$1,060,000","$540,000",2006
55  ,CIN , Andrew Whitworth ,LT,24,Louisiana State,4,"$2,965,000","$1,100,000","$550,000",2006
56  ,BAL , Chris Chester ,G,23,Oklahoma,4,"$2,920,000","$1,060,000","$540,000",2006
57  ,CHI , Devin Hester ,WR,23,Miami (FL),4,"$6,630,000","$5,000,000","$1,525,000",2006
58  ,CAR , Richard Marshall ,CB,21,Fresno State,4,"$2,862,756",-,"$612,756",2006
59  ,TB , Jeremy Trueblood ,RT,22,Boston College,4,"$2,840,000","$1,230,000","$582,500",2006
60  ,JAC , Maurice Jones-Drew ,RB,21,California-Los Angeles,4,"$2,785,000","$400,000","$730,000",2006
61  ,DEN , Tony Scheffler ,TE,23,Western Michigan,4,"$2,607,000","$992,000","$523,000",2006
62  ,IND , Tim Jennings ,CB,22,Georgia,4,"$1,291,000","$820,000","$295,500",2006
63  ,SEA , Darryl Tapp ,DE,21,Virginia Tech,4,"$1,875,000","$260,000","$525,000",2006
64  ,MIN , Tarvaris Jackson ,QB,23,Alabama State,4,"$2,665,000","$820,000","$715,000",2006
65  ,HOU , Charles Spencer ,T,24,Pittsburgh,4,"$2,220,000","$610,000","$427,500",2006
66  ,HOU , Eric Winston ,RT,22,Miami (FL),4,"$2,218,000","$608,000","$427,000",2006
67  ,GB , Abdul Hodge ,LB,23,Iowa,4,"$2,418,000","$808,000","$477,000",2006
68  ,STL , Claude Wroten ,T,22,Louisiana Tech,4,"$2,415,000","$805,000","$476,250",2006
69  ,OAK , Paul McQuistan ,LT,22,Weber State,4,"$2,405,000","$795,000","$473,750",2006
70  ,BUF , Ashton Youboty ,CB,21,Ohio State,4,"$2,395,000","$785,000","$471,250",2006
71  ,PHI , Chris Gocong ,LB,22,Cal Poly,4,"$2,865,000","$775,000","$468,750",2006
72  ,ARI , Leonard Pope ,TE,22,Georgia,3,"$1,658,000","$578,000","$467,667",2006
73  ,CHI , Dusty Dvoracek ,DT,23,Oklahoma,4,"$2,364,500","$754,500","$368,625",2006
74  ,DET , Brian Calhoun ,RB,21,Wisconsin,4,"$2,363,000","$753,000","$463,250",2006
75  ,GB , Jason Spitz ,G,23,Louisville,4,"$2,352,250","$742,250","$460,562",2006
76  ,NYJ , Anthony Schlegel ,LB,25,Ohio State,4,"$2,344,000","$734,000","$458,500",2006
77  ,STL , Jon Alston ,LB,22,Stanford,3,"$1,630,000","$550,000","$458,333",2006
78  ,CLE , Travis Wilson ,WR,22,Oklahoma,4,"$2,334,000","$724,000","$456,000",2006
79  ,ATL , Jerious Norwood ,RB,22,Mississippi State,4,"$2,330,500",-,"$437,000",2006
80  ,JAC , Clint Ingram ,LB,23,Oklahoma,4,"$2,325,000","$715,000","$453,750",2006
81  ,SD , Charlie Whitehurst ,QB,23,Clemson,4,"$2,381,000","$708,000","$452,000",2006
82  ,MIA , Derek Hagan ,WR,21,Arizona State,4,"$2,317,000","$707,000","$451,750",2006
83  ,PIT , Anthony Smith ,S,22,Syracuse,3,"$1,601,500","$521,500","$448,833",2006
84  ,SF , Brandon Williams ,WR,22,Wisconsin,4,"$2,285,000","$675,000","$443,750",2006
85  ,KC , Brodie Croyle ,QB,23,Alabama,4,"$2,280,000",-,"$430,000",2006
86  ,NE , David Thomas ,TE,22,Texas,4,"$2,507,500","$64,075","$291,018",2006
