Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2014 Cap,year
1  ,HOU , Jadeveon Clowney ,OLB,21,South Carolina,4,"$22,272,998","$14,518,544","$4,049,636",2014
2  ,STL  from WAS, Greg Robinson ,LT,21,Auburn,4,"$21,284,098","$13,799,344","$3,869,836",2014
3  ,JAC , Blake Bortles ,QB,22,Central Florida,4,"$20,654,810","$13,341,680","$3,755,420",2014
4  ,BUF  from CLE, Sammy Watkins ,WR,20,Clemson,4,"$19,935,603","$12,818,620","$3,624,655",2014
5  ,OAK , Khalil Mack ,OLB,23,Buffalo,4,"$18,676,999","$11,903,272","$3,395,818",2014
6  ,ATL , Jake Matthews ,LT,22,Texas A&M,4,"$16,429,501","$10,268,728","$2,987,182",2014
7  ,TB , Mike Evans ,WR,20,Texas A&M,4,"$14,631,502","$8,961,092","$2,660,273",2014
8  ,CLE  from MIN, Justin Gilbert ,CB,22,Oklahoma State,4,"$12,833,502","$7,653,456","$2,333,364",2014
9  ,MIN  from BUF via CLE, Anthony Barr ,OLB,22,California-Los Angeles,4,"$12,743,500","$7,588,000","$2,317,000",2014
10  ,DET , Eric Ebron ,TE,21,North Carolina,4,"$12,249,149","$7,228,472","$2,227,118",2014
11  ,TEN , Taylor Lewan ,LT,22,Michigan,4,"$11,485,004","$6,672,730","$2,088,183",2014
12  ,NYG ," Odell Beckham, Jr. ",WR,21,Louisiana State,4,"$10,406,198","$5,888,144","$1,892,036",2014
13  ,STL , Aaron Donald ,DE,22,Pittsburgh,4,"$10,136,500","$5,692,000","$1,843,000",2014
14  ,CHI , Kyle Fuller ,CB,22,Virginia Tech,4,"$9,687,002","$5,365,092","$1,761,273",2014
15  ,PIT , Ryan Shazier ,ILB,21,Ohio State,4,"$9,507,212","$5,234,336","$1,728,584",2014
16  ,DAL , Zack Martin ,G,23,Notre Dame,4,"$8,967,800","$4,842,036","$1,630,509",2014
17  ,BAL , C.J. Mosley ,ILB,21,Alabama,4,"$8,788,002","$4,711,272","$1,597,818",2014
