rank,team,name,salary,year
1,,"
Eli Manning
Quarterback
","$24,200,000  ",2016
2,,"
Ben Roethlisberger
Quarterback
","$23,950,000  ",2016
3,,"
Matt Ryan
Quarterback
","$23,750,000  ",2016
4,,"
Joe Flacco
Quarterback
","$22,550,000  ",2016
5,,"
Matthew Stafford
Quarterback
","$22,500,000  ",2016
6,,"
Tony Romo
Quarterback
","$20,835,000  ",2016
7,,"
Kirk Cousins
Quarterback
","$19,953,000  ",2016
8,,"
Cam Newton
Quarterback
","$19,500,000  ",2016
9,,"
Aaron Rodgers
Quarterback
","$19,250,000  ",2016
10,,"
Russell Wilson
Quarterback
","$18,542,000  ",2016
11,,"
Andrew Luck
Quarterback
","$18,400,000  ",2016
12,,"
Carson Palmer
Quarterback
","$18,375,000  ",2016
13,,"
Alex Smith
Quarterback
","$17,800,000  ",2016
14,,"
Drew Brees
Quarterback
","$17,250,000  ",2016
15,,"
Jay Cutler
Quarterback
","$17,000,000  ",2016
,,"
Darrelle Revis
Cornerback
","$17,000,000  ",2016
17,,"
Colin Kaepernick
Quarterback
","$16,765,753  ",2016
18,,"
Philip Rivers
Quarterback
","$16,500,000  ",2016
19,,"
Julio Jones
Wide Receiver
","$15,900,000  ",2016
20,,"
Larry Fitzgerald
Wide Receiver
","$15,850,000  ",2016
21,,"
Calais Campbell
Defensive End
","$15,250,000  ",2016
22,,"
Demaryius Thomas
Wide Receiver
","$15,200,000  ",2016
23,,"
Lawrence Timmons
Inside Linebacker
","$15,131,250  ",2016
24,,"
Richard Sherman
Cornerback
","$14,769,000  ",2016
25,,"
J.J. Watt
Defensive End
","$14,500,000  ",2016
26,,"
Trumaine Johnson
Cornerback
","$13,952,000  ",2016
27,,"
Tom Brady
Quarterback
","$13,764,705  ",2016
28,,"
Clay Matthews
Outside Linebacker
","$13,750,000  ",2016
29,,"
Joe Haden
Cornerback
","$13,400,000  ",2016
30,,"
Kelechi Osemele
Guard
","$13,200,000  ",2016
31,,"
Justin Houston
Outside Linebacker
","$13,100,000  ",2016
,,"
Andy Dalton
Quarterback
","$13,100,000  ",2016
33,,"
Olivier Vernon
Defensive End
","$13,000,000  ",2016
,,"
Gerald McCoy
Defensive Tackle
","$13,000,000  ",2016
,,"
Dez Bryant
Wide Receiver
","$13,000,000  ",2016
,,"
A.J. Green
Wide Receiver
","$13,000,000  ",2016
37,,"
Marcell Dareus
Defensive Tackle
","$12,691,176  ",2016
38,,"
Ndamukong Suh
Defensive Tackle
","$12,600,000  ",2016
39,,"
Bruce Irvin
Outside Linebacker
","$12,500,000  ",2016
40,,"
Jeremy Maclin
Wide Receiver
","$12,400,000  ",2016
41,,"
Vincent Jackson
Wide Receiver
","$12,209,777  ",2016
42,,"
Sam Shields
Cornerback
","$12,000,000  ",2016
,,"
Brock Osweiler
Quarterback
","$12,000,000  ",2016
,,"
Adrian Peterson
Running Back
","$12,000,000  ",2016
45,,"
Antonio Brown
Wide Receiver
","$11,883,333  ",2016
46,,"
Ryan Kalil
Center
","$11,829,000  ",2016
47,,"
Ryan Tannehill
Quarterback
","$11,640,000  ",2016
48,,"
Von Miller
Outside Linebacker
","$11,500,000  ",2016
49,,"
Alshon Jeffery
Wide Receiver
","$11,163,940  ",2016
50,,"
Robert Quinn
Outside Linebacker
","$11,157,374  ",2016
51,,"
Matt Kalil
Left Tackle
","$11,096,000  ",2016
52,,"
Stephon Gilmore
Cornerback
","$11,082,000  ",2016
