Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
3901,Keary Colbert\ColbKe00,2011,2011,2-62,KAN,NFL,7,0,1,0,0,1
3902,Justin Cole\ColeJu00,2011,2012,,RAM,NFL,20,0,2,0,0,1
3903,Davon Coleman\ColeDa00,2014,2015,,DAL,NFL,4,1,2,0,0,1
3904,Derrick Coleman\ColeDe00,2012,2018,,TOT,NFL,63,18,6,0,0,1
3905,Tyler Conklin\ConkTy00,2018,2018,5-157,MIN,NFL,16,3,1,0,0,1
3906,T.J. Conley\ConlT.00,2011,2011,,NYJ,NFL,16,0,1,0,0,1
3907,Matt Conrath\ConrMa00,2012,2014,,RAM,NFL,9,0,3,0,0,1
3908,Erik Cook\CookEr00,2011,2011,7-229,WAS,NFL,6,2,1,0,0,1
3909,Jon Cooper\CoopJo21,2009,2010,,MIN,NFL,13,1,2,0,0,1
3910,Josh Cooper\CoopJo00,2012,2013,,CLE,NFL,11,0,2,0,0,1
3911,Austin Corbett\CorbAu00,2018,2018,2-33,CLE,NFL,11,1,1,0,0,1
3912,Brad Cottam\CottBr00,2009,2009,3-76,KAN,NFL,8,1,1,0,0,1
3913,Mike Cox\Cox_Mi20,2009,2012,,TOT,NFL,40,24,4,0,0,1
3914,Torrie Cox\CoxxTo21,2009,2009,6-205,TAM,NFL,11,1,1,0,0,1
3915,Richard Crawford\CrawRi00,2012,2014,7-213,TOT,NFL,10,0,2,0,0,1
3916,Juron Criner\CrinJu00,2012,2014,5-168,TOT,NFL,13,0,3,0,0,1
3917,Keion Crossen\CrosKe00,2018,2018,7-243,NWE,NFL,11,0,1,0,0,1
3918,Brodie Croyle\CroyBr00,2009,2010,3-85,KAN,NFL,5,2,2,0,0,1
3919,Dane Cruikshank\CruiDa00,2018,2018,5-152,OTI,NFL,12,0,1,0,0,1
3920,Jerome Cunningham\CunnJe00,2014,2018,,TOT,NFL,12,3,3,0,0,1
3921,Rennie Curran\CurrRe99,2010,2010,3-97,OTI,NFL,9,0,1,0,0,1
3922,Kevin Curtis\CurtKe00,2009,2010,3-74,TOT,NFL,5,1,2,0,0,1
3923,Jacob Cutrera\CutrJa00,2010,2012,,TOT,NFL,24,0,3,0,0,1
3924,Amara Darboh\DarbAm00,2017,2017,3-106,SEA,NFL,16,0,1,0,0,1
3925,Marcus Davenport\DaveMa00,2018,2018,1-14,NOR,NFL,13,0,1,0,0,1
3926,Akeem Davis\DaviAk00,2014,2016,,TOT,NFL,21,0,3,0,0,1
3927,Andre' Davis\DaviAn01,2009,2009,2-47,HTX,NFL,14,1,1,0,0,1
3928,C.J. Davis\DaviC.20,2010,2012,,TOT,NFL,14,0,2,0,0,1
3929,Dexter Davis\DaviDe99,2010,2012,7-236,SEA,NFL,16,0,3,0,0,1
3930,James Davis\DaviJa03,2009,2010,6-195,TOT,NFL,9,0,2,0,0,1
3931,Trevor Davis\DaviTr03,2016,2018,5-163,GNB,NFL,29,0,3,0,0,1
3932,Paul Dawson\DawsPa00,2015,2017,3-99,TOT,NFL,16,0,3,0,0,1
3933,James Dearth\DearJa00,2009,2009,6-191,NYJ,NFL,16,0,1,0,0,1
