Rank,Team,Signed,Avg Age,Active Cap,Dead Cap,Total Cap,Lux Tax Space,Cap Space*,PracticalCap Space**,year
1,Sacramento Kings,13,23.9,"$36,583,409",,"$36,652,311","$33,654,689","$21,391,689","$21,391,689",2011
2,Indiana Pacers,14,25.2,"$44,413,746",,"$44,413,746","$25,893,254","$13,630,254","$13,630,254",2011
3,New Jersey Nets,20,25.2,"$47,830,030","$92,387","$47,922,417","$22,384,583","$10,121,583","$10,121,583",2011
4,Houston Rockets,15,25.1,"$43,714,664","$5,804,040","$49,625,800","$20,681,200","$8,418,200","$8,418,200",2011
5,Toronto Raptors,15,25.2,"$50,803,700","$2,083,644","$53,148,082","$17,158,918*","$4,895,918","$4,895,918",2011
6,Minnesota Timberwolves,15,23.8,"$55,406,532",,"$55,406,532","$14,900,468","$2,637,468","$2,637,468",2011
7,Golden State Warriors,17,24.9,"$57,198,850","$186,509","$57,385,359","$12,921,641","$658,641","$658,641",2011
8,Utah Jazz,15,26.0,"$58,114,489",,"$58,183,391","$12,123,609*","$-139,391","$-139,391",2011
9,New Orleans Hornets,20,24.9,"$55,116,884","$3,263,394","$58,480,742","$11,826,258","$-436,742","$-436,742",2011
10,Cleveland Cavaliers,15,25.1,"$48,030,927","$2,134,028","$60,086,899","$19,843,826","$-2,042,899","$7,580,826",2011
11,New York Knicks,14,26.4,"$59,695,415","$1,675,000","$61,370,415","$8,936,585","$-3,326,415","$-3,326,415",2011
12,Oklahoma City Thunder,15,25.7,"$56,856,253","$4,975,000","$61,831,253","$8,475,747","$-3,787,253","$-3,787,253",2011
13,Detroit Pistons,13,26.0,"$55,626,387","$8,430,293","$64,056,680","$6,250,320","$-6,012,680","$-6,012,680",2011
14,Philadelphia 76ers,14,23.7,"$58,022,021","$6,745,204","$64,767,225","$5,539,775","$-6,723,225","$-6,723,225",2011
15,Phoenix Suns,13,28.1,"$56,292,681","$8,617,223","$64,909,904","$5,397,096*","$-6,865,904","$-6,865,904",2011
16,Charlotte Bobcats,16,25.9,"$57,917,825","$7,693,548","$65,611,373","$4,695,627","$-7,567,373","$-7,567,373",2011
