k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
101,Jahlil Okafor\okafoja01,2015-16,20,PHI,NBA,17.1,53,48,1591,9.0,17.7,9.0,17.5,0.0,0.1,3.0,4.4,2.8,5.7,8.4,1.5,0.5,1.4,2.8,3.2,21.0,.508,.511,.167,.509,.686,.536
102,Marreese Speights\speigma01,2015-16,28,GSW,NBA,17.1,72,0,832,8.5,19.7,7.5,17.0,1.0,2.7,4.1,4.9,3.3,7.0,10.3,2.6,0.8,1.5,2.9,5.1,22.2,.432,.439,.387,.458,.825,.506
103,Dewayne Dedmon\dedmode01,2015-16,26,ORL,NBA,17.0,58,20,705,5.1,9.0,5.1,9.0,0.0,0.0,2.9,3.9,3.4,8.2,11.6,0.7,1.1,2.3,1.6,5.6,13.0,.559,.559,,.559,.750,.606
104,Aaron Gordon\gordoaa01,2015-16,20,ORL,NBA,17.0,78,37,1863,5.3,11.2,4.5,8.4,0.8,2.7,2.5,3.7,3.0,6.8,9.8,2.5,1.1,1.1,1.3,3.0,13.9,.473,.531,.296,.509,.668,.541
105,Tim Duncan\duncati01,2015-16,39,SAS,NBA,16.9,61,60,1536,5.0,10.3,5.0,10.3,0.0,0.0,2.2,3.1,2.7,7.8,10.5,3.8,1.1,1.8,2.1,2.9,12.2,.488,.490,.000,.488,.702,.523
106,Michael Kidd-Gilchrist\kiddgmi01,2015-16,22,CHO,NBA,16.9,7,7,205,5.8,10.7,5.3,9.5,0.5,1.2,3.5,5.1,2.1,5.8,7.9,1.6,0.5,0.5,1.4,1.6,15.6,.541,.556,.429,.566,.690,.603
107,Rajon Rondo\rondora01,2015-16,29,SAC,NBA,16.9,72,72,2537,5.0,11.1,4.2,8.7,0.9,2.4,1.2,2.1,1.1,5.1,6.2,11.9,2.0,0.1,3.9,2.5,12.2,.454,.479,.365,.494,.580,.506
108,J.J. Hickson\hicksjj01,2015-16,27,TOT,NBA,16.8,35,9,436,6.6,12.8,6.6,12.7,0.0,0.1,3.8,8.5,3.2,7.7,10.9,1.9,1.2,1.2,2.1,3.9,17.0,.516,.519,.000,.516,.447,.514
109,Nene Hilario\hilarne01,2015-16,33,WAS,NBA,16.8,57,11,1094,6.9,12.6,6.9,12.5,0.0,0.1,3.5,6.1,1.7,6.8,8.5,3.2,1.8,0.9,2.5,5.1,17.3,.544,.549,.000,.544,.578,.564
110,Salah Mejri\mejrisa01,2015-16,29,DAL,NBA,16.8,34,6,397,4.4,7.1,4.4,7.0,0.0,0.1,2.4,4.2,3.7,7.4,11.2,0.9,0.7,3.3,2.1,4.9,11.3,.628,.636,.000,.628,.587,.636
