,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1001,Wallace Gilberry\GilbWa00,2016,32,,2TM,NFL,9,1,1,0,0,2
1002,Eddie Goldman\GoldEd00,2016,22,2-39,CHI,NFL,6,5,1,0,0,2
1003,Adam Gotsis\GotsAd00,2016,24,2-63,DEN,NFL,16,0,1,0,0,2
1004,Robbie Gould\gouldrob01,2016,34,,NYG,NFL,10,0,1,0,0,2
1005,Gino Gradkowski\GradGi00,2016,28,4-98,CAR,NFL,10,3,1,0,0,2
1006,T.J. Green\GreeT.00,2016,21,2-57,IND,NFL,15,4,1,0,0,2
1007,Virgil Green\GreeVi00,2016,28,7-204,DEN,NFL,12,11,1,0,0,2
1008,Rodney Gunter\GuntRo00,2016,24,4-116,ARI,NFL,16,1,1,0,0,2
1009,Ra'Shede Hageman\HageRa00,2016,26,2-37,ATL,NFL,12,4,1,0,0,2
1010,Leon Hall\HallLe98,2016,32,1-18,NYG,NFL,12,2,1,0,0,2
1011,Cobi Hamilton\HamiCo00,2016,26,6-197,PIT,NFL,11,8,1,0,0,2
1012,Justin Hardy\HardJu00,2016,25,4-107,ATL,NFL,16,3,1,0,0,2
1013,Duron Harmon\HarmDu00,2016,25,3-91,NWE,NFL,16,4,1,0,0,2
1014,Roman Harper\HarpRo21,2016,34,2-43,NOR,NFL,16,4,1,0,0,2
1015,Anthony Harris\HarrAn01,2016,25,,MIN,NFL,16,3,1,0,0,2
1016,DuJuan Harris\HarrDu01,2016,28,,SFO,NFL,10,1,1,0,0,2
1017,Stephen Hauschka\HausSt00,2016,31,,SEA,NFL,16,0,1,0,0,2
1018,Andrew Hawkins\HawkAn00,2016,30,,CLE,NFL,16,5,1,0,0,2
1019,Erin Henderson\HendEr99,2016,30,,NYJ,NFL,5,4,1,0,0,2
1020,Troy Hill\HillTr01,2016,25,,LAR,NFL,12,4,1,0,0,2
1021,Ronnie Hillman\HillRo00,2016,25,3-67,2TM,NFL,8,1,1,0,0,2
1022,Dustin Hopkins\HopkDu00,2016,26,6-177,WAS,NFL,16,0,1,0,0,2
1023,Davon House\HousDa00,2016,27,4-131,JAX,NFL,16,4,1,0,0,2
1024,Tracy Howard\HowaTr02,2016,22,,CLE,NFL,15,3,1,0,0,2
1025,Xavien Howard\HowaXa00,2016,23,2-38,MIA,NFL,7,6,1,0,0,2
1026,Josh Huff\HuffJo00,2016,25,3-86,2TM,NFL,10,2,1,0,0,2
1027,Mike Hull\HullMi01,2016,25,,MIA,NFL,16,1,1,0,0,2
1028,Justin Hunter\HuntJu00,2016,25,2-34,2TM,NFL,13,5,1,0,0,2
1029,James Hurst\HursJa00,2016,25,,BAL,NFL,16,3,1,0,0,2
1030,Kemal Ishmael\IshmKe00,2016,25,7-243,ATL,NFL,13,4,1,0,0,2
1031,Jarvis Jenkins\JenkJa01,2016,28,2-41,2TM,NFL,16,1,1,0,0,2
1032,Ryan Jensen\JensRy00,2016,25,6-203,BAL,NFL,7,3,1,0,0,2
1033,Luke Joeckel\JoecLu00,2016,25,1-2,JAX,NFL,4,4,1,0,0,2
