0,1,2,3,4,5,6,7,8,9,10,11,year
2011 Attendance,2011 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall,2011
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT,2011
1,Pacers,41,555077,13538,74.5,41,16844,87.0,82,15191,81.0,2011
2,Kings,41,569496,13890,80.2,41,17400,91.2,82,15645,86.0,2011
3,Nets,41,581378,14179,80.6,41,17098,88.4,82,15639,84.7,2011
4,Grizzlies,41,600687,14650,80.9,41,16441,86.4,82,15546,83.7,2011
5,Pelicans,41,603088,14709,86.1,41,17179,89.9,82,15944,88.1,2011
6,76ers,41,604823,14751,72.6,41,17155,89.5,82,15953,80.8,2011
7,Timberwolves,41,624960,15242,78.8,41,16885,88.5,82,16064,83.6,2011
8,Bucks,41,631910,15412,82.3,41,16911,87.4,82,16162,84.9,2011
9,Hawks,41,641596,15648,83.6,41,16957,87.9,82,16303,85.7,2011
10,Hornets,41,649694,15846,83.1,41,16473,85.5,82,16159,84.3,2011
11,Rockets,41,663839,16191,89.7,41,16943,88.9,82,16567,89.3,2011
12,Raptors,41,679208,16566,83.7,41,16855,91.9,82,16710,87.6,2011
13,Pistons,41,683080,16660,75.5,41,16732,87.5,82,16696,81.1,2011
14,Wizards,41,688466,16791,83.2,41,17192,89.2,82,16992,86.1,2011
15,Nuggets,41,692968,16901,88.2,41,17285,90.8,82,17093,89.5,2011
16,Suns,41,720249,17567,95.4,41,17462,91.6,82,17514,93.5,2011
17,Clippers,41,727462,17742,93.1,41,17614,92.7,82,17678,92.9,2011
18,Thunder,41,744068,18148,99.7,41,17774,93.4,82,17961,96.5,2011
19,Spurs,41,750879,18314,98.6,41,17389,91.1,82,17851,94.8,2011
20,Celtics,41,763584,18624,100.0,41,18964,98.0,82,18794,99.0,2011
21,Warriors,41,766398,18692,95.4,41,17049,89.6,82,17871,92.5,2011
22,Magic,41,777852,18972,102.6,41,17428,90.5,82,18200,96.4,2011
23,Lakers,41,778877,18997,99.7,41,19087,100.2,82,19042,99.9,2011
24,Jazz,41,799982,19511,98.0,41,17331,91.2,82,18421,94.7,2011
25,NY Knicks,41,808879,19728,99.8,41,18044,93.9,82,18886,96.9,2011
26,Heat,41,810930,19778,100.9,41,19447,100.9,82,19612,100.9,2011
27,Mavericks,41,824162,20101,104.7,41,16657,87.7,82,18379,96.2,2011
28,Cavaliers,41,824595,20112,97.8,41,16200,84.1,82,18156,91.2,2011
29,Trail Blazers,41,840924,20510,102.7,41,16333,86.0,82,18422,94.5,2011
30,Bulls,41,893462,21791,104.2,41,18431,96.1,82,20111,100.3,2011
2012 Attendance,2012 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall,2012
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT,2012
1,Nets,33,460719,13961,75.5,33,17081,87.9,66,15521,81.8,2012
2,Pacers,33,467561,14168,78.0,33,16597,85.9,66,15382,82.1,2012
3,Pistons,33,475638,14413,65.3,33,16342,85.3,66,15378,74.6,2012
4,Kings,33,478764,14508,83.8,33,16905,87.9,66,15706,85.9,2012
5,Bucks,33,485717,14718,78.6,33,16661,85.4,66,15689,82.1,2012
6,Hornets,33,486984,14757,77.4,33,16534,85.5,66,15645,81.5,2012
7,Pelicans,33,498618,15109,88.4,33,16717,87.9,66,15913,88.1,2012
8,Hawks,33,501593,15199,81.2,33,16820,87.1,66,16010,84.2,2012
9,Rockets,33,506994,15363,85.1,33,17733,93.2,66,16548,89.3,2012
10,Suns,33,514718,15597,84.7,33,17806,94.5,66,16702,89.6,2012
11,Grizzlies,33,518256,15704,86.7,33,17068,89.9,66,16386,88.3,2012
12,Cavaliers,33,525577,15926,77.5,33,16723,86.5,66,16324,81.9,2012
13,Wizards,33,552038,16728,82.9,33,16361,84.8,66,16544,83.8,2012
14,Raptors,33,555584,16835,85.0,33,16732,86.3,66,16784,85.6,2012
15,Nuggets,33,561966,17029,88.9,33,17228,91.1,66,17128,90.0,2012
16,Timberwolves,33,577197,17490,90.4,33,16310,86.6,66,16900,88.5,2012
17,76ers,33,577597,17502,86.1,33,16764,86.8,66,17133,86.5,2012
18,Thunder,33,600699,18203,100.0,33,18031,95.4,66,18117,97.6,2012
19,Spurs,33,607095,18396,99.0,33,16990,89.8,66,17693,94.4,2012
20,Celtics,33,614592,18624,100.0,33,18288,94.3,66,18456,97.1,2012
21,Warriors,33,622311,18857,96.2,33,16364,86.1,66,17611,91.2,2012
22,Magic,33,623587,18896,102.1,33,17161,88.6,66,18028,95.2,2012
23,Lakers,33,626901,18997,99.7,33,19034,100.1,66,19015,99.9,2012
24,Clippers,33,634237,19219,100.8,33,18342,96.8,66,18781,98.8,2012
25,Jazz,33,637124,19306,97.0,33,16929,89.8,66,18118,93.5,2012
26,NY Knicks,33,652179,19763,100.0,33,18407,95.6,66,19085,97.8,2012
27,Heat,33,657855,19935,101.7,33,19399,99.7,66,19667,100.7,2012
28,Mavericks,33,671050,20334,105.9,33,17712,93.0,66,19023,99.5,2012
29,Trail Blazers,33,676384,20496,102.6,33,17164,90.7,66,18830,96.8,2012
30,Bulls,33,731326,22161,105.9,33,17989,93.5,66,20075,100.0,2012
2013 Attendance,2013 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall,2013
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT,2013
1,East,0,0,0,--,1,0,--,0,0,--,2013
,West,1,16101,0,--,0,0,--,0,0,--,2013
3,Kings,41,563743,13749,79.4,41,17305,90.3,82,15527,85.1,2013
4,Pelicans,41,565930,13803,80.3,41,17254,90.1,82,15528,85.5,2013
5,Pistons,41,606094,14782,67.0,41,16885,87.9,82,15834,76.7,2013
6,Bucks,41,616469,15035,80.3,41,16919,87.5,82,15977,84.0,2013
7,Hawks,41,620146,15125,80.8,41,17165,89.0,82,16145,84.9,2013
8,Pacers,41,626069,15269,84.1,40,17061,87.9,81,16154,86.0,2013
9,Hornets,41,628293,15324,80.3,41,16502,85.6,82,15913,83.0,2013
10,Suns,41,632913,15436,83.8,41,17152,89.7,82,16294,86.8,2013
11,Cavaliers,41,663882,16192,78.7,41,16780,87.3,82,16486,82.9,2013
12,Timberwolves,41,669956,16340,84.4,41,17034,89.3,82,16687,86.9,2013
13,Wizards,41,670070,16343,80.6,41,16193,84.1,82,16268,82.3,2013
14,Grizzlies,41,681613,16624,91.8,41,17194,90.0,82,16909,90.9,2013
15,Rockets,41,683564,16672,92.4,41,17982,94.0,82,17327,93.2,2013
16,76ers,41,685412,16717,82.2,41,17323,90.2,82,17020,86.1,2013
17,Nets,41,704702,17187,94.9,41,17239,89.1,82,17213,91.9,2013
18,Magic,41,721414,17595,93.4,41,16821,86.8,82,17208,90.0,2013
19,Nuggets,41,730616,17819,93.0,41,17401,91.1,82,17610,92.1,2013
20,Raptors,41,743936,18144,91.6,41,16313,84.8,82,17229,88.3,2013
21,Thunder,41,746323,18203,100.0,41,18335,95.7,82,18269,97.8,2013
22,Spurs,41,755700,18431,99.2,41,17290,90.6,82,17861,94.9,2013
23,Celtics,40,744960,18624,100.0,41,17768,91.8,81,18191,95.8,2013
24,Jazz,41,765915,18680,93.8,41,16769,88.3,82,17724,91.1,2013
25,Lakers,41,778877,18997,99.7,41,18866,99.0,82,18931,99.4,2013
26,NY Knicks,41,780353,19033,96.3,41,18271,94.6,82,18652,95.4,2013
27,Clippers,41,788293,19226,100.9,41,17806,93.4,82,18516,97.1,2013
28,Warriors,41,794320,19373,98.9,41,17204,90.5,82,18288,94.7,2013
29,Trail Blazers,41,813012,19829,95.4,41,16727,88.0,82,18278,91.9,2013
30,Heat,41,819290,19982,102.0,41,19090,99.1,82,19536,100.5,2013
31,Mavericks,41,821490,20036,104.4,41,17613,92.5,82,18824,98.5,2013
32,Bulls,41,896944,21876,104.6,41,18144,94.4,82,20010,99.7,2013
2014 Attendance,2014 Attendance,Home,Home,Home,Home,Road,Road,Road,Overall,Overall,Overall,2014
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT,2014
1,East,0,0,0,--,1,0,--,0,0,--,2014
,West,1,14727,0,--,0,0,--,0,0,--,2014
3,Bucks,41,552967,13487,72.1,41,17013,87.7,82,15250,80.0,2014
4,76ers,41,568632,13869,68.2,41,17441,90.5,82,15655,79.1,2014
5,Hawks,41,587927,14339,76.6,41,17274,89.5,82,15807,83.2,2014
