0,1,2,3,4,5,6,7,8,9,10,11,12,13,year
2011 Attendance,2011 Attendance,Home,Home,Home,Home,Road,Road,Road,Road,Overall,Overall,Overall,Overall,2011
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,2011
1,Cincinnati,8,394009,49251,75.2,8,528996,66124,95.5,16,923005,57687,85.6,2011
2,Los Angeles,8,451153,56394,86.3,8,550898,68862,95.9,16,1002051,62628,91.4,2011
3,Tampa Bay,7,396300,56614,86.2,8,545969,68246,97.2,15,942269,62817,92.3,2011
4,Oakland,8,473938,59242,94.0,8,544691,68086,93.8,16,1018629,63664,93.9,2011
5,Miami,8,487089,60886,81.0,8,577292,72161,94.9,16,1064381,66523,88.0,2011
6,Arizona,8,489455,61181,96.5,8,512208,64026,91.1,16,1001663,62603,93.6,2011
7,Chicago,8,497166,62145,101.0,7,479196,68456,99.6,15,976362,65090,100.3,2011
8,Jacksonville,8,498655,62331,92.8,8,551000,68875,96.8,16,1049655,65603,94.9,2011
9,Buffalo,7,438864,62694,85.8,8,542166,67770,90.0,15,981030,65402,88.0,2011
10,Minnesota,8,502529,62816,98.0,8,545056,68132,93.4,16,1047585,65474,95.5,2011
11,Pittsburgh,8,504279,63034,97.0,8,545236,68154,98.4,16,1049515,65594,97.7,2011
12,Detroit,8,509940,63742,98.8,8,531640,66455,95.6,16,1041580,65098,97.1,2011
13,Indianapolis,8,518627,64828,102.9,8,532063,66507,96.5,16,1050690,65668,99.6,2011
14,Los Angeles,8,523143,65392,91.7,8,541749,67718,96.7,16,1064892,66555,94.2,2011
15,Cleveland,8,526874,65859,90.0,8,504118,63014,94.7,16,1030992,64437,92.2,2011
16,Seattle,8,531311,66413,99.1,8,539645,67455,96.2,16,1070956,66934,97.6,2011
17,New England,8,550048,68756,100.0,8,564643,70580,95.0,16,1114691,69668,97.4,2011
18,Atlanta,8,551892,68986,96.8,8,521529,65191,96.7,16,1073421,67088,96.8,2011
19,Tennessee,8,553144,69143,100.0,8,524553,65569,94.1,16,1077697,67356,97.0,2011
20,Philadelphia,8,553152,69144,102.3,8,576019,72002,95.0,16,1129171,70573,98.5,2011
21,San Francisco,8,557856,69732,99.3,8,507440,63430,91.3,16,1065296,66581,95.3,2011
22,Green Bay,8,564097,70512,96.7,8,558926,69865,98.8,16,1123023,70188,97.7,2011
23,Baltimore,8,569792,71224,100.3,8,514110,64263,94.6,16,1083902,67743,97.5,2011
24,Houston,8,571969,71496,100.6,8,487733,60966,88.7,16,1059702,66231,94.8,2011
25,Kansas City,8,576659,72082,93.9,8,530547,66318,96.3,16,1107206,69200,95.1,2011
26,Carolina,8,578342,72292,98.0,8,520245,65030,97.5,16,1098587,68661,97.8,2011
27,New Orleans,8,584336,73042,100.1,8,521599,65199,94.9,16,1105935,69120,97.6,2011
28,Denver,8,602618,75327,99.0,8,506992,63374,89.6,16,1109610,69350,94.5,2011
29,Washington,8,615368,76921,83.9,7,491394,70199,96.1,15,1106762,73784,88.9,2011
30,NY Jets,8,631888,78986,95.7,8,555504,69438,94.7,16,1187392,74212,95.3,2011
31,NY Giants,8,635800,79475,96.3,8,596357,74544,99.9,16,1232157,77009,98.0,2011
32,Dallas,8,684096,85512,106.9,8,574875,71859,97.1,16,1258971,78685,102.2,2011
2012 Attendance,2012 Attendance,Home,Home,Home,Home,Road,Road,Road,Road,Overall,Overall,Overall,Overall,2012
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,2012
1,Oakland,8,433732,54216,86.0,8,542499,67812,93.4,16,976231,61014,90.0,2012
2,Tampa Bay,8,440819,55102,83.9,8,563638,70454,96.6,16,1004457,62778,90.6,2012
3,Los Angeles,7,396925,56703,86.8,8,494896,61862,91.6,15,891821,59454,89.4,2012
4,Miami,8,459033,57379,76.3,8,546084,68260,97.9,16,1005117,62819,86.7,2012
5,Los Angeles,8,479716,59964,84.1,8,542350,67793,94.3,16,1022066,63879,89.2,2012
6,Minnesota,8,485802,60725,94.7,8,533900,66737,95.9,16,1019702,63731,95.3,2012
7,Arizona,8,487125,60890,96.0,8,541116,67639,96.3,16,1028241,64265,96.2,2012
8,Pittsburgh,8,489135,61141,94.1,8,589439,73679,101.5,16,1078574,67410,98.0,2012
9,Cincinnati,8,489504,61188,93.4,8,531910,66488,91.1,16,1021414,63838,92.2,2012
10,Chicago,8,498633,62329,101.3,8,557829,69728,101.2,16,1056462,66028,101.2,2012
11,Detroit,8,510158,63769,98.9,8,528293,66036,98.6,16,1038451,64903,98.7,2012
12,Buffalo,7,454653,64950,88.9,8,537840,67230,94.8,15,992493,66166,92.0,2012
13,Jacksonville,8,519872,64984,96.8,8,490698,61337,89.0,16,1010570,63160,92.8,2012
14,Indianapolis,8,521518,65189,103.5,8,541127,67640,96.4,16,1062645,66415,99.7,2012
15,Cleveland,8,533058,66632,91.0,8,532210,66526,94.0,16,1065268,66579,92.5,2012
16,Seattle,8,543570,67946,101.4,7,432689,61812,91.3,15,976259,65083,96.7,2012
17,Kansas City,8,548070,68508,89.3,8,491973,61496,87.8,16,1040043,65002,88.6,2012
18,New England,8,550044,68755,100.0,7,500686,71526,99.1,15,1050730,70048,99.6,2012
19,Tennessee,8,553144,69143,100.0,8,517557,64694,92.8,16,1070701,66918,96.4,2012
20,Philadelphia,8,553152,69144,102.3,8,573741,71717,96.5,16,1126893,70430,99.3,2012
21,San Francisco,8,557856,69732,99.3,8,537052,67131,96.4,16,1094908,68431,97.9,2012
22,Atlanta,8,560773,70096,98.4,8,541625,67703,92.7,16,1102398,68899,95.5,2012
23,Green Bay,8,564062,70507,96.7,8,542048,67756,100.6,16,1106110,69131,98.5,2012
24,Baltimore,8,570229,71278,100.4,8,539175,67396,92.6,16,1109404,69337,96.5,2012
25,Houston,8,573321,71665,100.9,8,550654,68831,99.6,16,1123975,70248,100.3,2012
26,New Orleans,8,583107,72888,99.9,8,580589,72573,99.2,16,1163696,72731,99.5,2012
27,Carolina,8,586347,73293,99.3,8,522108,65263,90.2,16,1108455,69278,94.8,2012
28,Denver,8,613062,76632,100.7,8,544717,68089,97.0,16,1157779,72361,98.9,2012
29,NY Jets,8,632704,79088,95.9,8,509620,63702,92.5,16,1142324,71395,94.4,2012
30,Washington,8,637236,79654,86.9,8,552466,69058,96.5,16,1189702,74356,91.1,2012
31,NY Giants,8,643964,80495,97.6,8,585965,73245,99.1,16,1229929,76870,98.3,2012
32,Dallas,8,708249,88531,110.7,8,582079,72759,98.6,16,1290328,80645,104.9,2012
2013 Attendance,2013 Attendance,Home,Home,Home,Home,Road,Road,Road,Road,Overall,Overall,Overall,Overall,2013
RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,2013
1,Oakland,8,403556,50444,80.0,8,601080,75135,99.6,16,1004636,62789,90.7,2013
2,Los Angeles,8,455657,56957,87.2,8,559337,69917,99.9,16,1014994,63437,93.8,2013
3,Pittsburgh,8,458489,57311,88.2,7,483765,69109,97.4,15,942254,62816,92.7,2013
4,Tampa Bay,8,470548,58818,89.6,8,545574,68196,96.4,16,1016122,63507,93.1,2013
5,Jacksonville,7,419581,59940,89.2,8,525079,65634,95.8,15,944660,62977,92.8,2013
6,Arizona,8,488271,61033,96.3,8,509439,63679,93.5,16,997710,62356,94.8,2013
7,Chicago,8,498864,62358,101.4,8,558211,69776,98.9,16,1057075,66067,100.1,2013
8,Cincinnati,8,506377,63297,96.6,8,495429,61928,89.3,16,1001806,62612,92.9,2013
9,Detroit,8,510369,63796,98.9,8,543472,67934,97.1,16,1053841,65865,98.0,2013
10,Minnesota,7,448135,64019,99.8,8,567898,70987,100.5,15,1016033,67735,100.2,2013
11,Los Angeles,8,513641,64205,90.1,8,538798,67349,91.8,16,1052439,65777,91.0,2013
12,Miami,8,514553,64319,85.5,8,526992,65874,93.4,16,1041545,65096,89.3,2013
13,Indianapolis,8,527606,65950,104.7,8,527087,65885,95.1,16,1054693,65918,99.6,2013
14,Buffalo,7,463873,66267,90.7,8,529634,66204,92.8,15,993507,66233,91.8,2013
