Year,RD,Pick,Team,Pos,Player,School,Type,ST,Signed,Bonus
2017,1,1,Twins,SS,Royce Lewis,"JSerra Catholic HS, San Juan Capistrano, Calif.",HS,CA,Y,"$6,725,000"
2017,1,2,Reds,RHP,Hunter Greene,"Notre Dame HS, Sherman Oaks, Calif.",HS,CA,Y,"$7,230,000"
2017,1,3,Padres,LHP,MacKenzie Gore,Whiteville (N.C.) HS,HS,NC,Y,"$6,700,000"
2017,1,4,Rays,1B,Brendan McKay,Louisville,4YR,KY,Y,"$7,005,000"
2017,1,5,Braves,RHP,Kyle Wright,Vanderbilt,4YR,TN,Y,"$7,000,000"
2017,1,6,Athletics,OF,Austin Beck,"North Davidson HS, Lexington, N.C.",HS,NC,Y,"$5,303,000"
2017,1,7,Diamondbacks,1B,Pavin Smith,Virginia,4YR,VA,Y,"$5,016,300"
2017,1,8,Phillies,OF,Adam Haseley,Virginia,4YR,VA,Y,"$5,100,000"
2017,1,9,Brewers,2B,Keston Hiura,UC Irvine,4YR,CA,Y,"$4,000,000"
2017,1,10,Angels,OF,Jo Adell,"Ballard HS, Louisville",HS,KY,Y,"$4,376,800"
2017,1,11,White Sox,3B,Jake Burger,Missouri State,4YR,MO,Y,"$3,700,000"
2017,1,12,Pirates,RHP,Shane Baz,"Concordia Lutheran HS, Tomball, Texas",HS,TX,Y,"$4,100,000"
2017,1,13,Marlins,LHP,Trevor Rogers,Carlsbad (N.M.) HS,HS,NM,Y,"$3,400,000"
2017,1,14,Royals,1B,Nick Pratto,Huntington Beach (Calif.) HS,HS,CA,Y,"$3,450,000"
2017,1,15,Astros,RHP,J.B. Bukauskas,North Carolina,4YR,NC,Y,"$3,600,000"
2017,1,16,Yankees,RHP,Clarke Schmidt,South Carolina,4YR,SC,Y,"$2,184,300"
2017,1,17,Mariners,1B,Evan White,Kentucky,4YR,KY,Y,"$3,125,000"
2017,1,18,Tigers,RHP,Alex Faedo,Florida,4YR,FL,Y,"$3,500,000"
2017,1,19,Giants,OF,Heliot Ramos,"Leadership Christian Academy, Guaynabo, P.R.",HS,PR,Y,"$3,101,700"
2017,1,20,Mets,LHP,David Peterson,Oregon,4YR,OR,Y,"$2,994,500"
2017,1,21,Orioles,LHP,D.L. Hall,Valdosta (Ga.) HS,HS,GA,Y,"$3,000,000"
2017,1,22,Blue Jays,SS,Logan Warmoth,North Carolina,4YR,NC,Y,"$2,820,200"
2017,1,23,Dodgers,OF,Jeren Kendall,Vanderbilt,4YR,TN,Y,"$2,897,500"
2017,1,24,Red Sox,RHP,Tanner Houck,Missouri,4YR,MO,Y,"$2,614,500"
2017,1,25,Nationals,LHP,Seth Romero,Houston,4YR,TX,Y,"$2,800,000"
2017,1,26,Rangers,OF,Bubba Thompson,"McGill-Toolen Catholic HS, Mobile, Ala.",HS,AL,Y,"$2,100,000"
2017,1,27,Cubs,LHP,Brendon Little,State JC of Florida,JC,FL,Y,"$2,200,000"
2017,1,28,Blue Jays,RHP,Nate Pearson,JC of Central Florida,JC,FL,Y,"$2,452,900"
2017,1,29,Rangers,SS,Chris Seise,"West Orange HS, Winter Garden, Fla.",HS,FL,Y,"$2,000,000"
2017,1,30,Cubs,RHP,Alex Lange,Louisiana State,4YR,LA,Y,"$1,925,000"
2017,1s,31,Rays,RHP,Drew Rasmussen,Oregon State,4YR,OR,N,
2017,1s,32,Reds,SS,Jeter Downs,"Pace HS, Miami Gardens",HS,FL,Y,"$1,822,500"
2017,1s,33,Athletics,SS,Kevin Merrell,South Florida,4YR,FL,Y,"$1,800,000"
2017,1s,34,Brewers,OF,Tristen Lutz,"Martin HS, Arlington, Texas",HS,TX,Y,"$2,352,000"
2017,1s,35,Twins,OF,Brent Rooker,Mississippi State,4YR,MS,Y,"$1,935,300"
2017,1s,36,Marlins,OF,Brian Miller,North Carolina,4YR,NC,Y,"$1,888,800"
2017,2,37,Twins,RHP,Landon Leach,"Pickering HS, Ajax, Ont.",HS,CN,Y,"$1,400,000"
2017,2,38,Reds,OF,Stuart Fairchild,Wake Forest,4YR,NC,Y,"$1,800,300"
2017,2,39,Padres,C,Luis Campusano,"Cross Creek HS, Augusta, Ga.",HS,GA,Y,"$1,300,000"
2017,2,40,Rays,RHP,David Mercado,"Westview HS, San Diego",HS,CA,Y,"$2,132,400"
2017,2,41,Braves,OF,Drew Waters,"Etowah HS, Woodstock, Ga.",HS,GA,Y,"$1,500,000"
2017,2,42,Pirates,RHP,Steven Jennings,"Dekalb County HS, Smithville, Tenn.",HS,TN,Y,"$1,900,000"
2017,2,43,Athletics,OF,Greg Deichmann,Louisiana State,4YR,LA,Y,"$1,700,000"
2017,2,44,Diamondbacks,3B,Drew Ellis,Louisville,4YR,KY,Y,"$1,560,100"
2017,2,45,Phillies,RHP,Spencer Howard,Cal Poly,4YR,CA,Y,"$1,150,000"
2017,2,46,Brewers,RHP,Caden Lemons,Vestavia Hills (Ala.) HS,HS,AL,Y,"$1,450,000"
2017,2,47,Angels,RHP,Griffin Canning,UCLA,4YR,CA,Y,"$1,459,200"
2017,2,48,Rockies,3B,Ryan Vilade,Stillwater (Okla.) HS,HS,OK,Y,"$1,425,400"
2017,2,49,White Sox,1B,Gavin Sheets,Wake Forest,4YR,NC,Y,"$2,000,000"
2017,2,50,Pirates,OF,Calvin Mitchell,"Rancho Bernardo HS, San Diego",HS,CA,Y,"$1,357,300"
2017,2,51,Marlins,3B,Joe Dunand,North Carolina State,4YR,NC,Y,"$1,200,000"
2017,2,52,Royals,C,M.J. Melendez,"Westminster Christian School, Palmetto Bay, Fla.",HS,FL,Y,"$2,097,500"
2017,2,53,Astros,3B,Joe Perez,"Archbishop McCarthy HS, Southwest Ranches, Fla.",HS,FL,Y,"$1,600,000"
2017,2,54,Yankees,RHP,Matt Sauer,"Righetti HS, Santa Maria, Calif.",HS,CA,Y,"$2,497,500"
2017,2,55,Mariners,RHP,Sam Carlson,Burnsville (Minn.) HS,HS,MN,Y,"$2,000,000"
2017,2,56,Astros,RHP,Corbin Martin,Texas A&M,4YR,TX,Y,"$1,000,000"
2017,2,57,Tigers,OF,Rey Rivera,Chipola (Fla.) JC,JC,FL,Y,"$850,000"
2017,2,58,Giants,3B,Jacob Gonzalez,"Chaparral HS, Scottsdale, Ariz.",HS,AZ,Y,"$950,000"
2017,2,59,Mets,3B,Mark Vientos,"American Heritage HS, Plantation, Fla.",HS,FL,Y,"$1,500,000"
2017,2,60,Orioles,SS,Adam Hall,"A.B. Lucas SS, London, Ont.",HS,CN,Y,"$1,300,000"
2017,2,61,Blue Jays,C,Hagen Danner,Huntington Beach (Calif.) HS,HS,CA,Y,"$1,500,000"
