,Player,salary,college,state,wins_above_replacement
0,David Allan,,Pennsylvania State University,PA,
1,David Allan,,Rice University,TX,
2,David Allan,,San Jose City College,CA,
3,David Allan,,Pennsylvania State University,PA,
4,David Allan,,Rice University,TX,
5,David Allan,,San Jose City College,CA,
6,David Allan,,Pennsylvania State University,PA,
7,David Allan,,Rice University,TX,
8,David Allan,,San Jose City College,CA,
9,Henry Louis,,Columbia University,NY,
10,Henry Louis,,Columbia University,NY,
11,Tommie Lee,,Grambling State University,LA,
12,Tommie Lee,,Grambling State University,LA,
13,Donald William,,,,
14,Donald William,,,,
15,Donald William,,,,
16,Donald William,,,,
17,Fausto Andres,,Middle Georgia College,GA,
18,Fernando Antonio,,,,
19,John W.,,,,
20,John W.,,,,
21,John W.,,,,
22,John W.,,,,
23,John W.,,,,
24,John W.,,,,
25,Edward James,,St. Mary's College of California,CA,
26,Edward James,,College of the Holy Cross,MA,
27,Edward James,,California State University Fresno,CA,
28,Edward James,,St. Mary's College of California,CA,
29,Edward James,,College of the Holy Cross,MA,
30,Edward James,,California State University Fresno,CA,
31,Edward James,,St. Mary's College of California,CA,
32,Edward James,,College of the Holy Cross,MA,
33,Edward James,,California State University Fresno,CA,
34,Edward James,,St. Mary's College of California,CA,
35,Edward James,,College of the Holy Cross,MA,
36,Edward James,,California State University Fresno,CA,
37,Edward James,,St. Mary's College of California,CA,
38,Edward James,,College of the Holy Cross,MA,
39,Edward James,,California State University Fresno,CA,
40,Edward James,,St. Mary's College of California,CA,
41,Edward James,,College of the Holy Cross,MA,
42,Edward James,,California State University Fresno,CA,
43,Edward James,,St. Mary's College of California,CA,
44,Edward James,,College of the Holy Cross,MA,
45,Edward James,,California State University Fresno,CA,
46,Edward James,,St. Mary's College of California,CA,
47,Edward James,,College of the Holy Cross,MA,
48,Edward James,,California State University Fresno,CA,
49,Edward James,,St. Mary's College of California,CA,
50,Edward James,,College of the Holy Cross,MA,
51,Edward James,,California State University Fresno,CA,
52,Edward James,,St. Mary's College of California,CA,
53,Edward James,,College of the Holy Cross,MA,
54,Edward James,,California State University Fresno,CA,
55,Edward James,,St. Mary's College of California,CA,
56,Edward James,,College of the Holy Cross,MA,
57,Edward James,,California State University Fresno,CA,
58,Edward James,,St. Mary's College of California,CA,
59,Edward James,,College of the Holy Cross,MA,
60,Edward James,,California State University Fresno,CA,
61,Edward James,,St. Mary's College of California,CA,
62,Edward James,,College of the Holy Cross,MA,
63,Edward James,,California State University Fresno,CA,
64,Edward James,,St. Mary's College of California,CA,
65,Edward James,,College of the Holy Cross,MA,
66,Edward James,,California State University Fresno,CA,
67,Bert Wood,,University of Vermont,VT,
68,Charles S.,,,,
69,Charles S.,,,,
70,Leander Franklin,,,,
71,Harry Frederick,,,,
72,William Glenn,,Duke University,NC,
73,William Glenn,,Duke University,NC,
74,Jeffrey William,,University of Kentucky,KY,
75,Jeffrey William,,Rowan University,NJ,
76,Jeffrey William,,Rider University,NJ,
77,Jeffrey William,,University of Kentucky,KY,
78,Jeffrey William,,Rowan University,NJ,
79,Jeffrey William,,Rider University,NJ,
80,Jeffrey William,,University of Kentucky,KY,
81,Jeffrey William,,Rowan University,NJ,
