Rk,Tm,Year,G,W,L,W-L%,Rdiff,RS,RA,pythW-L%,sport,Column1,Column2
34,ARI,2011,162,94,68,0.58,69,731,662,0.545,mlb,AZ,Diamondbacks
168,OAK,2011,162,74,88,0.457,-34,645,679,0.477,mlb,CA,A's
89,LAA,2011,162,86,76,0.531,34,667,633,0.524,mlb,CA,Angels
111,LAD,2011,161,82,79,0.509,32,644,612,0.523,mlb,CA,Dodgers
92,SFG,2011,162,86,76,0.531,-8,570,578,0.494,mlb,CA,Giants
185,SDP,2011,162,71,91,0.438,-18,593,611,0.486,mlb,CA,Padres
173,COL,2011,162,73,89,0.451,-39,735,774,0.476,mlb,CO,Rockies
182,FLA,2011,162,72,90,0.444,-77,625,702,0.447,mlb,FL,Marlins
54,TBR,2011,162,91,71,0.562,93,707,614,0.564,mlb,FL,Rays
69,ATL,2011,162,89,73,0.549,36,641,605,0.526,mlb,GA,Braves
190,CHC,2011,162,71,91,0.438,-102,654,756,0.434,mlb,IL,Cubs
137,CHW,2011,162,79,83,0.488,-52,654,706,0.465,mlb,IL,White Sox
61,BOS,2011,162,90,72,0.556,138,875,737,0.578,mlb,MA,Red Sox
196,BAL,2011,162,69,93,0.426,-152,708,860,0.412,mlb,MD,Orioles
31,DET,2011,162,95,67,0.586,76,787,711,0.546,mlb,MI,Tigers
230,MIN,2011,162,63,99,0.389,-185,619,804,0.383,mlb,MN,Twins
59,STL,2011,162,90,72,0.556,70,762,692,0.544,mlb,MO,Cardinals
188,KCR,2011,162,71,91,0.438,-32,730,762,0.48,mlb,MO,Royals
147,NYM,2011,162,77,85,0.475,-24,718,742,0.485,mlb,NY,Mets
17,NYY,2011,162,97,65,0.599,210,867,657,0.624,mlb,NY,Yankees
130,CLE,2011,162,80,82,0.494,-56,704,760,0.465,mlb,OH,Indians
6,PHI,2011,162,102,60,0.63,184,713,529,0.633,mlb,OH,Phillies
132,CIN,2011,162,79,83,0.488,15,735,720,0.509,mlb,OH,Reds
183,PIT,2011,162,72,90,0.444,-102,610,712,0.43,mlb,PA,Pittsburgh
120,TOR,2011,162,81,81,0.5,-18,743,761,0.489,mlb,TT,Blue Jays
237,HOU,2011,162,56,106,0.346,-181,615,796,0.384,mlb,TX,Astros
24,TEX,2011,162,96,66,0.593,178,855,677,0.605,mlb,TX,Rangers
213,SEA,2011,162,67,95,0.414,-119,556,675,0.412,mlb,WA,Mariners
123,WSN,2011,161,80,81,0.497,-19,624,643,0.486,mlb,WA,Nationals
23,MIL,2011,162,96,66,0.593,83,721,638,0.556,mlb,WI,Brewers
117,ARI,2012,162,81,81,0.5,46,734,688,0.53,mlb,AZ,Diamondbacks
39,OAK,2012,162,94,68,0.58,99,713,614,0.568,mlb,CA,A's
68,LAA,2012,162,89,73,0.549,68,767,699,0.542,mlb,CA,Angels
93,LAD,2012,162,86,76,0.531,40,637,597,0.53,mlb,CA,Dodgers
36,SFG,2012,162,94,68,0.58,69,718,649,0.546,mlb,CA,Giants
155,SDP,2012,162,76,86,0.469,-59,651,710,0.46,mlb,CA,Padres
225,COL,2012,162,64,98,0.395,-132,758,890,0.427,mlb,CO,Rockies
197,MIA,2012,162,69,93,0.426,-115,609,724,0.422,mlb,FL,Marlins
60,TBR,2012,162,90,72,0.556,120,697,577,0.586,mlb,FL,Rays
35,ATL,2012,162,94,68,0.58,100,700,600,0.57,mlb,GA,Braves
234,CHC,2012,162,61,101,0.377,-146,613,759,0.403,mlb,IL,Cubs
97,CHW,2012,162,85,77,0.525,72,748,676,0.546,mlb,IL,White Sox
200,BOS,2012,162,69,93,0.426,-72,734,806,0.457,mlb,MA,Red Sox
41,BAL,2012,162,93,69,0.574,7,712,705,0.505,mlb,MD,Orioles
74,DET,2012,162,88,74,0.543,56,726,670,0.537,mlb,MI,Tigers
220,MIN,2012,162,66,96,0.407,-131,701,832,0.422,mlb,MN,Twins
75,STL,2012,162,88,74,0.543,117,765,648,0.575,mlb,MO,Cardinals
184,KCR,2012,162,72,90,0.444,-70,676,746,0.455,mlb,MO,Royals
167,NYM,2012,162,74,88,0.457,-59,650,709,0.46,mlb,NY,Mets
27,NYY,2012,162,95,67,0.586,136,804,668,0.584,mlb,NY,Yankees
208,CLE,2012,162,68,94,0.42,-178,667,845,0.393,mlb,OH,Indians
119,PHI,2012,162,81,81,0.5,4,684,680,0.503,mlb,OH,Phillies
15,CIN,2012,162,97,65,0.599,81,669,588,0.559,mlb,OH,Reds
135,PIT,2012,162,79,83,0.488,-23,651,674,0.484,mlb,PA,Pittsburgh
179,TOR,2012,162,73,89,0.451,-68,716,784,0.459,mlb,TT,Blue Jays
238,HOU,2012,162,55,107,0.34,-211,583,794,0.362,mlb,TX,Astros
42,TEX,2012,162,93,69,0.574,101,808,707,0.561,mlb,TX,Rangers
161,SEA,2012,162,75,87,0.463,-32,619,651,0.477,mlb,WA,Mariners
10,WSN,2012,162,98,64,0.605,137,731,594,0.594,mlb,WA,Nationals
108,MIL,2012,162,83,79,0.512,43,776,733,0.526,mlb,WI,Brewers
121,ARI,2013,162,81,81,0.5,-10,685,695,0.493,mlb,AZ,Diamondbacks
21,OAK,2013,162,96,66,0.593,142,767,625,0.593,mlb,CA,A's
141,LAA,2013,162,78,84,0.481,-4,733,737,0.498,mlb,CA,Angels
49,LAD,2013,162,92,70,0.568,67,649,582,0.55,mlb,CA,Dodgers
156,SFG,2013,162,76,86,0.469,-62,629,691,0.457,mlb,CA,Giants
157,SDP,2013,162,76,86,0.469,-82,618,700,0.443,mlb,CA,Padres
164,COL,2013,162,74,88,0.457,-54,706,760,0.466,mlb,CO,Rockies
233,MIA,2013,162,62,100,0.383,-133,513,646,0.396,mlb,FL,Marlins
52,TBR,2013,163,92,71,0.564,54,700,646,0.537,mlb,FL,Rays
20,ATL,2013,162,96,66,0.593,140,688,548,0.603,mlb,GA,Braves
217,CHC,2013,162,66,96,0.407,-87,602,689,0.439,mlb,IL,Cubs
229,CHW,2013,162,63,99,0.389,-125,598,723,0.414,mlb,IL,White Sox
16,BOS,2013,162,97,65,0.599,197,853,656,0.618,mlb,MA,Red Sox
99,BAL,2013,162,85,77,0.525,36,745,709,0.523,mlb,MD,Orioles
40,DET,2013,162,93,69,0.574,172,796,624,0.61,mlb,MI,Tigers
218,MIN,2013,162,66,96,0.407,-174,614,788,0.388,mlb,MN,Twins
18,STL,2013,162,97,65,0.599,187,783,596,0.622,mlb,MO,Cardinals
90,KCR,2013,162,86,76,0.531,47,648,601,0.534,mlb,MO,Royals
171,NYM,2013,162,74,88,0.457,-65,619,684,0.454,mlb,NY,Mets
98,NYY,2013,162,85,77,0.525,-21,650,671,0.485,mlb,NY,Yankees
47,CLE,2013,162,92,70,0.568,83,745,662,0.554,mlb,OH,Indians
174,PHI,2013,162,73,89,0.451,-139,610,749,0.407,mlb,OH,Phillies
62,CIN,2013,162,90,72,0.556,109,698,589,0.577,mlb,OH,Reds
37,PIT,2013,162,94,68,0.58,57,634,577,0.543,mlb,PA,Pittsburgh
166,TOR,2013,162,74,88,0.457,-44,712,756,0.473,mlb,TT,Blue Jays
239,HOU,2013,162,51,111,0.315,-238,610,848,0.354,mlb,TX,Astros
58,TEX,2013,163,91,72,0.558,94,730,636,0.563,mlb,TX,Rangers
186,SEA,2013,162,71,91,0.438,-130,624,754,0.414,mlb,WA,Mariners
94,WSN,2013,162,86,76,0.531,30,656,626,0.521,mlb,WA,Nationals
165,MIL,2013,162,74,88,0.457,-47,640,687,0.468,mlb,WI,Brewers
223,ARI,2014,162,64,98,0.395,-127,615,742,0.415,mlb,AZ,Diamondbacks
79,OAK,2014,162,88,74,0.543,157,729,572,0.609,mlb,CA,A's
11,LAA,2014,162,98,64,0.605,143,773,630,0.593,mlb,CA,Angels
38,LAD,2014,162,94,68,0.58,101,718,617,0.569,mlb,CA,Dodgers
78,SFG,2014,162,88,74,0.543,51,665,614,0.536,mlb,CA,Giants
148,SDP,2014,162,77,85,0.475,-42,535,577,0.465,mlb,CA,Padres
216,COL,2014,162,66,96,0.407,-63,755,818,0.463,mlb,CO,Rockies
145,MIA,2014,162,77,85,0.475,-29,645,674,0.48,mlb,FL,Marlins
146,TBR,2014,162,77,85,0.475,-13,612,625,0.49,mlb,FL,Rays
133,ATL,2014,162,79,83,0.488,-24,573,597,0.481,mlb,GA,Braves
172,CHC,2014,162,73,89,0.451,-93,614,707,0.436,mlb,IL,Cubs
175,CHW,2014,162,73,89,0.451,-98,660,758,0.437,mlb,IL,White Sox
187,BOS,2014,162,71,91,0.438,-81,634,715,0.445,mlb,MA,Red Sox
22,BAL,2014,162,96,66,0.593,112,705,593,0.578,mlb,MD,Orioles
66,DET,2014,162,90,72,0.556,52,757,705,0.533,mlb,MI,Tigers
194,MIN,2014,162,70,92,0.432,-62,715,777,0.462,mlb,MN,Twins
65,STL,2014,162,90,72,0.556,16,619,603,0.512,mlb,MO,Cardinals
73,KCR,2014,162,89,73,0.549,27,651,624,0.519,mlb,MO,Royals
136,NYM,2014,162,79,83,0.488,11,629,618,0.508,mlb,NY,Mets
105,NYY,2014,162,84,78,0.519,-31,633,664,0.478,mlb,NY,Yankees
100,CLE,2014,162,85,77,0.525,16,669,653,0.511,mlb,OH,Indians
178,PHI,2014,162,73,89,0.451,-68,619,687,0.452,mlb,OH,Phillies
154,CIN,2014,162,76,86,0.469,-17,595,612,0.487,mlb,OH,Reds
76,PIT,2014,162,88,74,0.543,51,682,631,0.535,mlb,PA,Pittsburgh
106,TOR,2014,162,83,79,0.512,37,723,686,0.524,mlb,TT,Blue Jays
195,HOU,2014,162,70,92,0.432,-94,629,723,0.437,mlb,TX,Astros
214,TEX,2014,162,67,95,0.414,-136,637,773,0.412,mlb,TX,Rangers
83,SEA,2014,162,87,75,0.537,80,634,554,0.561,mlb,WA,Mariners
25,WSN,2014,162,96,66,0.593,131,686,555,0.596,mlb,WA,Nationals
114,MIL,2014,162,82,80,0.506,-7,650,657,0.495,mlb,WI,Brewers
134,ARI,2015,162,79,83,0.488,7,720,713,0.504,mlb,AZ,Diamondbacks
206,OAK,2015,162,68,94,0.42,-35,694,729,0.478,mlb,CA,A's
96,LAA,2015,162,85,77,0.525,-14,661,675,0.49,mlb,CA,Angels
48,LAD,2015,162,92,70,0.568,72,667,595,0.552,mlb,CA,Dodgers
103,SFG,2015,162,84,78,0.519,69,696,627,0.548,mlb,CA,Giants
169,SDP,2015,162,74,88,0.457,-81,650,731,0.446,mlb,CA,Padres
202,COL,2015,162,68,94,0.42,-107,737,844,0.438,mlb,CO,Rockies
192,MIA,2015,162,71,91,0.438,-65,613,678,0.454,mlb,FL,Marlins
127,TBR,2015,162,80,82,0.494,2,644,642,0.501,mlb,FL,Rays
215,ATL,2015,162,67,95,0.414,-187,573,760,0.374,mlb,GA,Braves
13,CHC,2015,162,97,65,0.599,81,689,608,0.557,mlb,IL,Cubs
152,CHW,2015,162,76,86,0.469,-79,622,701,0.446,mlb,IL,White Sox
143,BOS,2015,162,78,84,0.481,-5,748,753,0.497,mlb,MA,Red Sox
118,BAL,2015,162,81,81,0.5,20,713,693,0.513,mlb,MD,Orioles
163,DET,2015,161,74,87,0.46,-114,689,803,0.43,mlb,MI,Tigers
109,MIN,2015,162,83,79,0.512,-4,696,700,0.497,mlb,MN,Twins
8,STL,2015,162,100,62,0.617,122,647,525,0.594,mlb,MO,Cardinals
29,KCR,2015,162,95,67,0.586,83,724,641,0.555,mlb,MO,Royals
63,NYM,2015,162,90,72,0.556,70,683,613,0.549,mlb,NY,Mets
81,NYY,2015,162,87,75,0.537,66,764,698,0.541,mlb,NY,Yankees
116,CLE,2015,161,81,80,0.503,29,669,640,0.52,mlb,OH,Indians
231,PHI,2015,162,63,99,0.389,-183,626,809,0.385,mlb,OH,Phillies
224,CIN,2015,162,64,98,0.395,-114,640,754,0.426,mlb,OH,Reds
12,PIT,2015,162,98,64,0.605,101,697,596,0.571,mlb,PA,Pittsburgh
43,TOR,2015,162,93,69,0.574,221,891,670,0.628,mlb,TT,Blue Jays
87,HOU,2015,162,86,76,0.531,111,729,618,0.575,mlb,TX,Astros
77,TEX,2015,162,88,74,0.543,18,751,733,0.511,mlb,TX,Rangers
151,SEA,2015,162,76,86,0.469,-70,656,726,0.454,mlb,WA,Mariners
107,WSN,2015,162,83,79,0.512,68,703,635,0.546,mlb,WA,Nationals
203,MIL,2015,162,68,94,0.42,-82,655,737,0.446,mlb,WI,Brewers
199,ARI,2016,162,69,93,0.426,-138,752,890,0.424,mlb,AZ,Diamondbacks
198,OAK,2016,162,69,93,0.426,-108,653,761,0.43,mlb,CA,A's
170,LAA,2016,162,74,88,0.457,-10,717,727,0.494,mlb,CA,Angels
55,LAD,2016,162,91,71,0.562,87,725,638,0.558,mlb,CA,Dodgers
85,SFG,2016,162,87,75,0.537,84,715,631,0.557,mlb,CA,Giants
205,SDP,2016,162,68,94,0.42,-84,686,770,0.447,mlb,CA,Padres
162,COL,2016,162,75,87,0.463,-15,845,860,0.492,mlb,CO,Rockies
131,MIA,2016,161,79,82,0.491,-27,655,682,0.482,mlb,FL,Marlins
204,TBR,2016,162,68,94,0.42,-41,672,713,0.473,mlb,FL,Rays
201,ATL,2016,161,68,93,0.422,-130,649,779,0.417,mlb,GA,Braves
3,CHC,2016,162,103,58,0.64,252,808,556,0.665,mlb,IL,Cubs
139,CHW,2016,162,78,84,0.481,-29,686,715,0.481,mlb,IL,White Sox
46,BOS,2016,162,93,69,0.574,184,878,694,0.606,mlb,MA,Red Sox
70,BAL,2016,162,89,73,0.549,29,744,715,0.518,mlb,MD,Orioles
86,DET,2016,161,86,75,0.534,29,750,721,0.518,mlb,MI,Tigers
235,MIN,2016,162,59,103,0.364,-167,722,889,0.406,mlb,MN,Twins
