Rk,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1201,Jason Kubel\kubelja01,-1.2,2014,32,MIN,AL,45,176,156,12,35,6,1,1,13,19,1,59,1,0,0,1,1,0,.224,.313,.295,.607,*7/H9D
1202,Alfonso Soriano\soriaal01,-1.2,2014,38,NYY,AL,67,238,226,22,50,15,0,6,23,6,1,71,2,0,4,3,1,0,.221,.244,.367,.611,9D7/H
1203,Nick Swisher\swishni01,-1.2,2014,33,CLE,AL,97,401,360,33,75,20,0,8,42,36,0,111,0,1,4,7,0,0,.208,.278,.331,.608,*3D/H97
1204,Oscar Taveras\taveros01,-1.2,2014,22,STL,NL,80,248,234,18,56,8,0,3,22,12,0,37,1,0,1,10,0,1,.239,.278,.312,.590,*9H/8
1205,Dan Uggla\ugglada01,-1.2,2014,34,TOT,NL,52,157,141,14,21,3,0,2,10,11,0,46,4,0,1,3,0,0,.149,.229,.213,.442,*4H
1206,Domonic Brown\browndo01,-1.3,2014,26,PHI,NL,144,512,473,47,111,22,1,10,63,34,4,91,1,0,4,9,7,1,.235,.285,.349,.634,*7H/D
1207,Skip Schumaker\schumsk01,-1.3,2014,34,CIN,NL,83,271,247,22,58,12,0,2,22,18,0,50,1,3,2,3,2,1,.235,.287,.308,.595,7H49/81
1208,Junior Lake\lakeju01,-1.4,2014,24,CHC,NL,108,326,308,30,65,10,3,9,25,14,0,110,1,1,2,3,7,3,.211,.246,.351,.597,78H/9
1209,Matt Dominguez\dominma01,-1.5,2014,24,HOU,AL,157,607,564,51,121,17,0,16,57,29,2,125,5,2,7,23,0,1,.215,.256,.330,.586,*5/D
1210,Will Middlebrooks\middlwi01,-1.5,2014,25,BOS,AL,63,234,215,14,41,10,0,2,19,15,1,70,4,0,0,7,1,1,.191,.256,.265,.522,*5/H3
1211,Ryan Raburn\raburry01,-1.5,2014,33,CLE,AL,74,212,195,18,39,7,0,4,22,13,1,51,1,0,3,8,0,0,.200,.250,.297,.547,D9H7/3
1212,Stefen Romero\romerst01,-1.6,2014,25,SEA,AL,72,190,177,19,34,6,2,3,11,4,0,48,6,2,1,5,0,4,.192,.234,.299,.533,*9HD7
1213,Jose Molina\molinjo01,-1.9,2014,39,TBR,AL,80,247,225,4,40,2,0,0,10,14,0,55,2,4,2,8,3,0,.178,.230,.187,.417,*2/H
1214,Michael Choice\choicmi01,-2.0,2014,24,TEX,AL,86,280,253,20,46,6,1,9,36,21,0,69,3,0,3,11,1,0,.182,.250,.320,.570,79DH/8
1215,A.J. Achter\achteaj01,,2014,25,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1216,Austin Adams\adamsau01,,2014,27,CLE,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1217,Nathan Adcock\adcocna01,,2014,26,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1218,Matt Albers\alberma01,,2014,31,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1219,Jose Alvarez\alvarjo02,,2014,25,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1220,Anthony Bass\bassan01,,2014,26,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1221,Chris Bassitt\bassich01,,2014,25,CHW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1222,Blake Beavan\beavabl01,,2014,25,SEA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1223,Bruce Billings\billibr02,,2014,28,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1224,Lisalverto Bonilla\bonilli01,,2014,24,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1225,Aaron Brooks\brookaa01,,2014,24,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1226,Mark Buehrle\buehrma01,,2014,35,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1227,Sean Burnett\burnese01,,2014,31,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1228,Cesar Cabral\cabrace01,,2014,25,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1229,David Carpenter\carpeda02,,2014,26,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1230,Scott Carroll\carrosc02,,2014,29,CHW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1231,Bruce Chen\chenbr01,,2014,37,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1232,Jose Cisnero\cisnejo01,,2014,25,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1233,Alex Claudio\claudal01,,2014,22,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1234,Paul Clemens\clemepa02,,2014,26,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1235,Casey Coleman\colemca01,,2014,26,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1236,Alex Colome\colomal01,,2014,25,TBR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1237,Logan Darnell\darnelo01,,2014,25,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1238,Jairo Diaz\diazja01,,2014,23,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1239,Edwin Escobar\escobed02,,2014,22,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1240,Buck Farmer\farmebu01,,2014,23,DET,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1241,Ryan Feierabend\feierry01,,2014,28,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1242,Pedro Figueroa\figuepe01,,2014,28,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1243,Brandon Finnegan\finnebr01,,2014,21,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1244,Frank Francisco\francfr01,,2014,34,CHW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1245,Steve Geltz\geltzst01,,2014,26,TBR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1246,Justin Germano\germaju01,,2014,31,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1247,Kendall Graveman\graveke01,,2014,23,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1248,Shane Greene\greensh02,,2014,25,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1249,Jarrett Grube\grubeja01,,2014,32,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1250,Lucas Harrell\harrelu01,,2014,29,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1251,Matt Harrison\harrima01,,2014,28,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1252,Jeremy Hellickson\hellije01,,2014,27,TBR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1253,Yoslan Herrera\herreyo01,,2014,33,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1254,Derek Holland\hollade01,,2014,27,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1255,Phil Irwin\irwinph01,,2014,27,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1256,Nate Jones\jonesna01,,2014,28,CHW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1257,Donnie Joseph\josepdo01,,2014,26,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1258,Nate Karns\karnsna01,,2014,26,TBR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1259,Michael Kirkman\kirkmmi01,,2014,27,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1260,Bobby Korecky\korecbo01,,2014,34,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1261,Charles Leesman\leesmch01,,2014,27,CHW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1262,Josh Lindblom\lindbjo01,,2014,27,OAK,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1263,Kyle Lobstein\lobstky01,,2014,24,DET,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1264,Lucas Luetge\luetglu01,,2014,27,SEA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1265,Michael Mariot\mariomi01,,2014,25,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1266,Justin Marks\marksju01,,2014,26,KCR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1267,Nick Maronde\maronni01,,2014,24,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1268,David Martinez\martida02,,2014,26,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1269,Trevor May\maytr01,,2014,24,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1270,Pat McCoy\mccoypa01,,2014,25,DET,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1271,Daniel McCutchen\mccutda01,,2014,31,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1272,Evan Meek\meekev01,,2014,31,BAL,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1273,Melvin Mercedes\merceme01,,2014,23,DET,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1274,Jim Miller\milleji02,,2014,32,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1275,Bryan Mitchell\mitchbr01,,2014,23,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1276,Matt Moore\moorema02,,2014,25,TBR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1277,Sean Nolin\nolinse01,,2014,24,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1278,Daniel Norris\norrida01,,2014,21,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1279,Ivan Nova\novaiv01,,2014,27,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1280,Brett Oberholtzer\oberhbr01,,2014,24,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1281,Lester Oliveros\olivele01,,2014,26,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1282,Jose Ortega\ortegjo01,,2014,25,DET,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1283,Rudy Owens\owensru01,,2014,26,HOU,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1284,Red Patterson\pattere02,,2014,27,LAD,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1285,Spencer Patton\pattosp01,,2014,26,TEX,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1286,Mike Pelfrey\pelfrmi01,,2014,30,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1287,Michael Pineda\pinedmi01,,2014,25,NYY,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1288,Yohan Pino\pinoyo01,,2014,30,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1289,Drew Pomeranz\pomerdr01,,2014,25,OAK,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1290,Ryan Pressly\pressry01,,2014,25,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1291,Bryan Price\pricebr10,,2014,27,CLE,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1292,Stephen Pryor\pryorst01,,2014,24,SEA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
