index,Player,state,team,salary,Personal Average Value
Alabama A&M University,Mickell Gladness,AL,,,9.5
Alabama A&M University,Mickell Gladness,AL,,,9.5
Arizona State University,Eddie House,AZ,,,11.9
Arizona State University,Eddie House,AZ,,,11.9
Arizona State University,Ike Diogu,AZ,,,-2.9
Arizona State University,Ike Diogu,AZ,,,13.7
Arizona State University,Ike Diogu,AZ,,,13.7
Arizona State University,James Harden,AZ,,,23.5
Arizona State University,James Harden,AZ,,,23
Arizona State University,James Harden,AZ,,,21.1
Arizona State University,James Harden,AZ,,,16.4
Arizona State University,James Harden,AZ,,,23.5
Arizona State University,James Harden,AZ,,,23
Arizona State University,James Harden,AZ,,,21.1
Arizona State University,James Harden,AZ,,,16.4
Arizona State University,Carrick Felix,AZ,,,13.3
Arizona State University,Carrick Felix,AZ,,,13.3
Assumption College,James Jones,MA,,,15.4
Assumption College,James Jones,MA,,,11.6
Assumption College,James Jones,MA,,,11.1
Assumption College,James Jones,MA,,,11.1
Assumption College,James Jones,MA,,,11.1
Assumption College,James Jones,MA,,,9.7
Assumption College,James Jones,MA,,,8.1
Assumption College,James Jones,MA,,,15.4
Assumption College,James Jones,MA,,,11.6
Assumption College,James Jones,MA,,,11.1
Assumption College,James Jones,MA,,,11.1
Assumption College,James Jones,MA,,,11.1
Assumption College,James Jones,MA,,,9.7
Assumption College,James Jones,MA,,,8.1
Auburn University,Marquis Daniels,AL,,,11.7
Auburn University,Marquis Daniels,AL,,,9.2
Auburn University,Marquis Daniels,AL,,,8.1
Auburn University,Marquis Daniels,AL,,,11.7
Auburn University,Marquis Daniels,AL,,,9.2
Auburn University,Marquis Daniels,AL,,,8.1
Augsburg College,David Andersen,MN,,,10.9
Augsburg College,David Andersen,MN,,,10.9
Augusta State University,Garret Siler,,,,13.5
Augusta State University,Garret Siler,,,,13.5
Baylor University,Brian Skinner,TX,,,-14.6
Baylor University,Brian Skinner,TX,,,0
Baylor University,Ekpe Udoh,TX,,,15.2
Baylor University,Ekpe Udoh,TX,,,12.5
Baylor University,Ekpe Udoh,TX,,,12
Baylor University,Ekpe Udoh,TX,,,11.6
Baylor University,Ekpe Udoh,TX,,,9.7
Baylor University,Ekpe Udoh,TX,,,7.6
Baylor University,Ekpe Udoh,TX,,,15.2
Baylor University,Ekpe Udoh,TX,,,12.5
Baylor University,Ekpe Udoh,TX,,,12
Baylor University,Ekpe Udoh,TX,,,11.6
Baylor University,Ekpe Udoh,TX,,,9.7
Baylor University,Ekpe Udoh,TX,,,7.6
Baylor University,Quincy Acy,TX,,,15.9
Baylor University,Quincy Acy,TX,,,14.7
Baylor University,Quincy Acy,TX,,,11.9
Baylor University,Quincy Acy,TX,,,11.8
Baylor University,Quincy Acy,TX,,,10.1
Baylor University,Quincy Acy,TX,,,8.2
Baylor University,Quincy Acy,TX,,,15.9
Baylor University,Quincy Acy,TX,,,14.7
Baylor University,Quincy Acy,TX,,,11.9
Baylor University,Quincy Acy,TX,,,11.8
Baylor University,Quincy Acy,TX,,,10.1
Baylor University,Quincy Acy,TX,,,8.2
Baylor University,Perry Jones,TX,,,10.1
Baylor University,Perry Jones,TX,,,7.8
Baylor University,Perry Jones,TX,,,6.9
Baylor University,Perry Jones,TX,,,10.1
Baylor University,Perry Jones,TX,,,7.8
Baylor University,Perry Jones,TX,,,6.9
