Player,college,state,PER
Marvin Williams,University of Alabama,AL,79
Gerald Wallace,University of Alabama,AL,76
Gerald Wallace,University of Alabama,AL,74
Marvin Williams,University of Alabama,AL,73
JaMychal Green,University of Alabama,AL,66
JaMychal Green,University of Alabama,AL,64
Stephen Jackson,University of Alabama at Birmingham,AL,64
Marvin Williams,University of Alabama,AL,59
JaMychal Green,University of Alabama,AL,59
Marvin Williams,University of Alabama,AL,58
Marvin Williams,University of Alabama,AL,56
Marvin Williams,University of Alabama,AL,55
JaMychal Green,University of Alabama,AL,55
Alonzo Gee,University of Alabama,AL,52
Alonzo Gee,University of Alabama,AL,50
Antonio McDyess,University of Alabama,AL,49
Marvin Williams,University of Alabama,AL,40
Marquis Daniels,Auburn University,AL,40
Gerald Wallace,University of Alabama,AL,39
Marvin Williams,University of Alabama,AL,33
Alonzo Gee,University of Alabama,AL,32
Stephen Jackson,University of Alabama at Birmingham,AL,31
Alonzo Gee,University of Alabama,AL,29
Gerald Wallace,University of Alabama,AL,25
Mickell Gladness,Alabama A&M University,AL,22
Marquis Daniels,Auburn University,AL,21
Carldell Johnson,University of Alabama at Birmingham,AL,19
Alonzo Gee,University of Alabama,AL,17
Alonzo Gee,University of Alabama,AL,16
Marquis Daniels,Auburn University,AL,15
Stephen Jackson,University of Alabama at Birmingham,AL,14
Elijah Millsap,University of Alabama at Birmingham,AL,14
Gerald Wallace,University of Alabama,AL,9
Elijah Millsap,University of Alabama at Birmingham,AL,9
Alonzo Gee,University of Alabama,AL,4
Stephen Jackson,University of Alabama at Birmingham,AL,2
Elijah Millsap,University of Alabama at Birmingham,AL,1
Royce White,University of South Alabama,AL,0
Coty Clarke,University of Arkansas,AR,97
Bobby Portis,University of Arkansas,AR,90
Jannero Pargo,University of Arkansas,AR,88
Patrick Beverley,University of Arkansas,AR,70
Bobby Portis,University of Arkansas,AR,66
Jannero Pargo,University of Arkansas,AR,66
Bobby Portis,University of Arkansas,AR,57
Ronnie Brewer,University of Arkansas,AR,57
Jannero Pargo,University of Arkansas,AR,56
Patrick Beverley,University of Arkansas,AR,50
Patrick Beverley,University of Arkansas,AR,50
Patrick Beverley,University of Arkansas,AR,45
Patrick Beverley,University of Arkansas,AR,44
Ronnie Brewer,University of Arkansas,AR,44
Patrick Beverley,University of Arkansas,AR,36
Jannero Pargo,University of Arkansas,AR,28
Sonny Weems,University of Arkansas,AR,27
Derek Fisher,University of Arkansas at Little Rock,AR,26
Ronnie Brewer,University of Arkansas,AR,25
Courtney Fortson,University of Arkansas,AR,25
Derek Fisher,University of Arkansas at Little Rock,AR,19
Derek Fisher,University of Arkansas at Little Rock,AR,14
Derek Fisher,University of Arkansas at Little Rock,AR,13
Ronnie Brewer,University of Arkansas,AR,4
Sonny Weems,University of Arkansas,AR,4
Shane Edwards,University of Arkansas at Little Rock,AR,1
James Harden,Arizona State University,AZ,99
James Harden,Arizona State University,AZ,98
James Harden,Arizona State University,AZ,98
James Harden,Arizona State University,AZ,98
James Harden,Arizona State University,AZ,96
James Harden,Arizona State University,AZ,96
James Harden,Arizona State University,AZ,93
Jordan Hill,University of Arizona,AZ,89
Jordan Hill,University of Arizona,AZ,87
Jerryd Bayless,University of Arizona,AZ,83
Andre Iguodala,University of Arizona,AZ,83
Andre Iguodala,University of Arizona,AZ,81
Aaron Gordon,University of Arizona,AZ,80
Rondae Hollis-Jefferson,University of Arizona,AZ,80
James Harden,Arizona State University,AZ,77
Jordan Hill,University of Arizona,AZ,77
Aaron Gordon,University of Arizona,AZ,77
Jordan Hill,University of Arizona,AZ,76
Jason Terry,University of Arizona,AZ,74
Jordan Hill,University of Arizona,AZ,73
Jason Terry,University of Arizona,AZ,72
Channing Frye,University of Arizona,AZ,71
Andre Iguodala,University of Arizona,AZ,68
Channing Frye,University of Arizona,AZ,66
Chase Budinger,University of Arizona,AZ,66
Aaron Gordon,University of Arizona,AZ,63
Andre Iguodala,University of Arizona,AZ,61
Rondae Hollis-Jefferson,University of Arizona,AZ,61
Chase Budinger,University of Arizona,AZ,61
Jerryd Bayless,University of Arizona,AZ,60
Andre Iguodala,University of Arizona,AZ,56
Rondae Hollis-Jefferson,University of Arizona,AZ,56
Ike Diogu,Arizona State University,AZ,56
Jerryd Bayless,University of Arizona,AZ,55
Carrick Felix,Arizona State University,AZ,53
Channing Frye,University of Arizona,AZ,52
Channing Frye,University of Arizona,AZ,51
Jordan Hill,University of Arizona,AZ,50
Channing Frye,University of Arizona,AZ,50
Jason Terry,University of Arizona,AZ,49
Channing Frye,University of Arizona,AZ,49
Chase Budinger,University of Arizona,AZ,47
Jerryd Bayless,University of Arizona,AZ,45
Richard Jefferson,University of Arizona,AZ,45
Andre Iguodala,University of Arizona,AZ,44
Andre Iguodala,University of Arizona,AZ,43
Chase Budinger,University of Arizona,AZ,43
Solomon Hill,University of Arizona,AZ,43
Jerryd Bayless,University of Arizona,AZ,42
Eddie House,Arizona State University,AZ,41
Richard Jefferson,University of Arizona,AZ,40
Aaron Gordon,University of Arizona,AZ,37
Jason Terry,University of Arizona,AZ,37
Richard Jefferson,University of Arizona,AZ,36
Luke Walton,University of Arizona,AZ,36
Andre Iguodala,University of Arizona,AZ,35
Jerryd Bayless,University of Arizona,AZ,34
Richard Jefferson,University of Arizona,AZ,34
Mike Bibby,University of Arizona,AZ,33
Gilbert Arenas,University of Arizona,AZ,32
Chase Budinger,University of Arizona,AZ,31
Richard Jefferson,University of Arizona,AZ,28
Jason Terry,University of Arizona,AZ,27
Solomon Hill,University of Arizona,AZ,27
Gilbert Arenas,University of Arizona,AZ,25
Chase Budinger,University of Arizona,AZ,24
Richard Jefferson,University of Arizona,AZ,24
Channing Frye,University of Arizona,AZ,22
Jason Terry,University of Arizona,AZ,20
Jerryd Bayless,University of Arizona,AZ,18
Richard Jefferson,University of Arizona,AZ,16
Jason Terry,University of Arizona,AZ,15
Solomon Hill,University of Arizona,AZ,14
Mike Bibby,University of Arizona,AZ,14
Solomon Hill,University of Arizona,AZ,13
Jerryd Bayless,University of Arizona,AZ,12
Jason Terry,University of Arizona,AZ,12
Mustafa Shakur,University of Arizona,AZ,10
Richard Jefferson,University of Arizona,AZ,9
Jordan Hill,University of Arizona,AZ,7
Solomon Hill,University of Arizona,AZ,6
Luke Walton,University of Arizona,AZ,6
Nick Johnson,University of Arizona,AZ,6
Luke Walton,University of Arizona,AZ,4
Grant Jerrett,University of Arizona,AZ,2
Ike Diogu,Arizona State University,AZ,1
Mustafa Shakur,University of Arizona,AZ,0
Russell Westbrook,"University of California, Los Angeles",CA,99
Russell Westbrook,"University of California, Los Angeles",CA,99
Russell Westbrook,"University of California, Los Angeles",CA,99
Kawhi Leonard,San Diego State University,CA,99
Kawhi Leonard,San Diego State University,CA,98
Kawhi Leonard,San Diego State University,CA,98
Kevin Love,"University of California, Los Angeles",CA,98
Kevin Love,"University of California, Los Angeles",CA,98
Josh Huestis,Stanford University,CA,98
Brook Lopez,Stanford University,CA,98
Russell Westbrook,"University of California, Los Angeles",CA,97
Russell Westbrook,"University of California, Los Angeles",CA,97
Russell Westbrook,"University of California, Los Angeles",CA,97
Kevin Love,"University of California, Los Angeles",CA,97
Brook Lopez,Stanford University,CA,97
DeMar DeRozan,University of Southern California,CA,97
Russell Westbrook,"University of California, Los Angeles",CA,96
Russell Westbrook,"University of California, Los Angeles",CA,96
Brook Lopez,Stanford University,CA,96
Brandan Wright,"University of California, Los Angeles",CA,96
Kawhi Leonard,San Diego State University,CA,95
Kevin Love,"University of California, Los Angeles",CA,95
Brook Lopez,Stanford University,CA,95
Brook Lopez,Stanford University,CA,95
DeMar DeRozan,University of Southern California,CA,94
Brandan Wright,"University of California, Los Angeles",CA,94
Nikola Vucevic,University of Southern California,CA,94
Ryan Anderson,University of California,CA,94
Kevin Love,"University of California, Los Angeles",CA,93
DeMar DeRozan,University of Southern California,CA,93
Brandan Wright,"University of California, Los Angeles",CA,93
Nikola Vucevic,University of Southern California,CA,93
Paul George,"California State University, Fresno",CA,93
Steve Nash,Santa Clara University,CA,93
Brook Lopez,Stanford University,CA,92
Brandan Wright,"University of California, Los Angeles",CA,92
Paul George,"California State University, Fresno",CA,92
Steve Nash,Santa Clara University,CA,92
Paul George,"California State University, Fresno",CA,91
Ed Davis,University of North Carolina,CA,91
Shabazz Muhammad,"University of California, Los Angeles",CA,91
Kawhi Leonard,San Diego State University,CA,90
Nikola Vucevic,University of Southern California,CA,90
Jrue Holiday,"University of California, Los Angeles",CA,90
David Lee,University of San Francisco,CA,90
David Lee,University of San Francisco,CA,90
Ty Lawson,University of North Carolina,CA,90
Brook Lopez,Stanford University,CA,89
Nikola Vucevic,University of Southern California,CA,89
David Lee,University of San Francisco,CA,89
David Lee,University of San Francisco,CA,89
Jorge Gutierrez,University of California,CA,89
Kevin Love,"University of California, Los Angeles",CA,88
Kevin Love,"University of California, Los Angeles",CA,88
