k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Thanasis Antetokounmpo\antetth01,2015-16,23,NYK,NBA,32.9,2,0,6,18.0,24.0,18.0,18.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,36.0,.750,1.000,.000,.750,,.750
2,Rakeem Christmas\chrisra01,2015-16,24,IND,NBA,32.0,1,0,6,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,24.0,1.000,1.000,,1.000,,1.000
3,Stephen Curry\curryst01,2015-16,27,GSW,NBA,31.5,79,79,2700,10.7,21.3,5.4,9.5,5.4,11.8,4.8,5.3,0.9,4.8,5.7,7.0,2.3,0.2,3.5,2.1,31.7,.504,.566,.454,.630,.908,.669
4,Kevin Durant\duranke01,2015-16,27,OKC,NBA,28.2,72,72,2578,9.7,19.3,7.1,12.6,2.6,6.7,6.2,7.0,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.3,.505,.569,.387,.573,.898,.634
5,Boban Marjanovic\marjabo01,2015-16,27,SAS,NBA,27.7,54,4,508,7.4,12.3,7.4,12.3,0.0,0.0,6.2,8.1,5.2,8.6,13.7,1.5,0.9,1.6,2.1,3.8,21.0,.603,.603,,.603,.763,.662
6,Russell Westbrook\westbru01,2015-16,27,OKC,NBA,27.6,80,80,2750,8.6,18.9,7.3,14.4,1.3,4.5,6.1,7.5,1.9,6.3,8.2,10.9,2.1,0.3,4.5,2.6,24.6,.454,.503,.296,.489,.812,.554
7,LeBron James\jamesle01,2015-16,31,CLE,NBA,27.5,76,76,2709,9.8,18.8,8.6,15.1,1.2,3.7,4.8,6.5,1.5,6.0,7.5,6.8,1.4,0.7,3.3,1.9,25.5,.520,.573,.309,.551,.731,.588
8,Chris Paul\paulch01,2015-16,30,LAC,NBA,26.2,74,74,2420,7.7,16.6,5.8,11.7,1.8,4.9,4.4,4.9,0.6,4.0,4.6,11.0,2.3,0.2,2.9,2.8,21.5,.462,.501,.371,.517,.896,.575
9,Kawhi Leonard\leonaka01,2015-16,24,SAS,NBA,26.0,72,72,2380,8.3,16.5,6.4,12.1,2.0,4.4,4.4,5.1,1.4,6.0,7.5,2.8,1.9,1.1,1.6,2.0,23.0,.506,.528,.443,.565,.874,.616
10,Hassan Whiteside\whiteha01,2015-16,26,MIA,NBA,25.7,73,43,2125,7.0,11.6,7.0,11.6,0.0,0.0,3.6,5.6,4.0,10.6,14.7,0.5,0.7,4.6,2.3,3.4,17.6,.606,.606,,.606,.650,.629
11,James Harden\hardeja01,2015-16,26,HOU,NBA,25.3,82,82,3125,8.2,18.6,5.5,11.1,2.7,7.6,8.3,9.6,0.7,5.0,5.8,7.1,1.6,0.6,4.3,2.6,27.4,.439,.494,.359,.512,.860,.598
12,Anthony Davis\davisan02,2015-16,22,NOP,NBA,25.0,61,61,2164,9.3,18.9,8.7,17.1,0.6,1.8,5.4,7.2,2.2,8.3,10.4,1.9,1.3,2.1,2.0,2.5,24.6,.493,.511,.324,.508,.758,.559
