Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2001,Andrew Harrison\harrian01,2017-18,23,MEM,NBA,12.7,56,46,1326,181,429,134,287,47,142,124,159,23,108,131,177,38,26,81,138,533,.422,.467,.331,.477,.780,.534
2002,Udonis Haslem\hasleud01,2010-11,30,MIA,NBA,12.7,13,0,345,44,86,44,86,0,0,16,20,29,77,106,6,7,3,14,39,104,.512,.512,,.512,.800,.549
2003,Justin Holiday\holidju01,2016-17,27,NYK,NBA,12.7,82,4,1639,233,538,136,265,97,273,66,80,27,198,225,102,65,31,66,109,629,.433,.513,.355,.523,.825,.549
2004,Cory Jefferson\jeffeco01,2015-16,25,PHO,NBA,12.7,8,0,50,9,22,9,21,0,1,4,6,6,10,16,0,0,1,0,8,22,.409,.429,.000,.409,.667,.446
2005,Brandon Jennings\jennibr01,2017-18,28,MIL,NBA,12.7,14,0,205,27,72,18,39,9,33,10,10,5,26,31,44,6,4,18,11,73,.375,.462,.273,.438,1.000,.478
2006,Ricky Ledo\ledori01,2013-14,21,DAL,NBA,12.7,11,0,33,6,17,3,9,3,8,4,4,0,2,2,2,1,0,2,2,19,.353,.333,.375,.441,1.000,.506
2007,Jamaal Magloire\magloja01,2010-11,32,MIA,NBA,12.7,18,0,158,13,22,13,22,0,0,9,18,17,44,61,3,4,2,5,26,35,.591,.591,,.591,.500,.585
2008,Josh McRoberts\mcrobjo01,2012-13,25,TOT,NBA,12.7,67,22,1487,156,343,132,259,24,84,65,85,93,232,325,141,32,27,66,131,401,.455,.510,.286,.490,.765,.527
2009,Marcus Morris\morrima03,2015-16,26,DET,NBA,12.7,80,80,2856,410,945,302,647,108,298,203,271,91,313,404,201,67,23,140,170,1131,.434,.467,.362,.491,.749,.531
2010,Daniel Orton\ortonda01,2011-12,21,ORL,NBA,12.7,16,2,187,17,30,17,29,0,1,11,25,19,20,39,5,8,9,7,30,45,.567,.586,.000,.567,.440,.549
2011,Georgios Papagiannis\papagge01,2016-17,19,SAC,NBA,12.7,22,0,355,56,102,56,100,0,2,12,14,24,62,86,20,3,17,24,44,124,.549,.560,.000,.549,.857,.573
2012,Tony Parker\parketo01,2017-18,35,SAS,NBA,12.7,55,21,1071,178,388,168,351,10,37,55,78,7,88,95,195,28,1,68,52,421,.459,.479,.270,.472,.705,.498
2013,Jonathon Simmons\simmojo02,2017-18,28,ORL,NBA,12.7,69,50,2029,354,761,285,557,69,204,185,241,61,178,239,171,58,16,146,175,962,.465,.512,.338,.511,.768,.555
2014,Klay Thompson\thompkl01,2012-13,22,GSW,NBA,12.7,82,82,2936,508,1205,297,679,211,526,132,157,32,274,306,183,86,45,157,237,1359,.422,.437,.401,.509,.841,.533
2015,Beno Udrih\udrihbe01,2013-14,31,TOT,NBA,12.7,41,12,643,78,178,59,136,19,42,25,30,10,49,59,116,23,4,47,50,200,.438,.434,.452,.492,.833,.523
2016,Jan Vesely\veselja01,2013-14,23,TOT,NBA,12.7,54,1,776,89,173,89,173,0,0,19,56,81,110,191,21,53,35,36,121,197,.514,.514,,.514,.339,.498
2017,Charlie Villanueva\villach01,2013-14,29,DET,NBA,12.7,20,0,180,35,92,21,36,14,56,8,14,6,28,34,6,4,5,7,16,92,.380,.583,.250,.457,.571,.469
2018,Nate Wolters\woltena01,2013-14,22,MIL,NBA,12.7,58,31,1309,170,389,152,327,18,62,59,90,33,116,149,187,35,15,57,67,417,.437,.465,.290,.460,.656,.486
2019,Alan Anderson\anderal01,2012-13,30,TOR,NBA,12.6,65,2,1495,236,616,141,331,95,285,126,147,34,114,148,103,48,7,80,131,693,.383,.426,.333,.460,.857,.509
2020,Ryan Anderson\anderry01,2017-18,29,HOU,NBA,12.6,66,50,1725,207,480,76,141,131,339,72,93,94,237,331,60,24,21,42,126,617,.431,.539,.386,.568,.774,.592
2021,Nemanja Bjelica\bjeline01,2017-18,29,MIN,NBA,12.6,67,21,1371,171,371,95,188,76,183,36,45,53,221,274,86,50,16,52,141,454,.461,.505,.415,.563,.800,.581
2022,Chase Budinger\budinch01,2012-13,24,MIN,NBA,12.6,23,1,508,79,191,53,110,26,81,32,42,15,56,71,25,14,7,23,29,216,.414,.482,.321,.482,.762,.516
2023,Trey Burke\burketr01,2013-14,21,UTA,NBA,12.6,70,68,2262,341,897,230,561,111,336,102,113,37,171,208,396,42,6,131,145,895,.380,.410,.330,.442,.903,.473
2024,Trey Burke\burketr01,2014-15,22,UTA,NBA,12.6,76,43,2288,370,1005,246,615,124,390,109,145,31,173,204,328,65,15,124,119,973,.368,.400,.318,.430,.752,.455
2025,Dante Cunningham\cunnida01,2013-14,26,MIN,NBA,12.6,81,7,1635,236,509,236,504,0,5,38,67,112,218,330,83,62,58,42,146,510,.464,.468,.000,.464,.567,.474
2026,Mike Dunleavy\dunlemi02,2013-14,33,CHI,NBA,12.6,82,61,2584,333,774,210,450,123,324,140,164,46,299,345,186,64,46,108,163,929,.430,.467,.380,.510,.854,.549
2027,Wayne Ellington\ellinwa01,2016-17,29,MIA,NBA,12.6,62,13,1500,231,555,82,161,149,394,37,43,18,114,132,70,35,4,30,70,648,.416,.509,.378,.550,.860,.565
2028,Jeremy Evans\evansje01,2015-16,28,DAL,NBA,12.6,30,2,251,26,48,22,32,4,16,15,21,11,43,54,2,6,9,7,19,71,.542,.688,.250,.583,.714,.620
2029,Jerami Grant\grantje01,2015-16,21,PHI,NBA,12.6,77,52,2066,251,599,216,453,35,146,212,322,99,262,361,135,54,127,110,215,749,.419,.477,.240,.448,.658,.506
2030,Maurice Harkless\harklma01,2017-18,24,POR,NBA,12.6,59,36,1264,147,297,98,179,49,118,42,59,46,116,162,53,48,43,40,103,385,.495,.547,.415,.577,.712,.596
2031,Cory Higgins\higgico01,2012-13,23,CHA,NBA,12.6,6,0,32,6,19,5,14,1,5,1,2,1,2,3,5,3,0,0,5,14,.316,.357,.200,.342,.500,.352
2032,James Johnson\johnsja01,2010-11,23,TOT,NBA,12.6,38,25,822,108,237,100,203,8,34,47,71,37,105,142,89,33,37,64,95,271,.456,.493,.235,.473,.662,.505
2033,Ryan Kelly\kellyry01,2013-14,22,LAL,NBA,12.6,59,25,1312,157,371,109,229,48,142,110,135,42,177,219,95,32,45,47,147,472,.423,.476,.338,.488,.815,.548
2034,Kosta Koufos\koufoko01,2010-11,21,TOT,NBA,12.6,50,2,434,68,150,68,148,0,2,24,43,57,73,130,7,10,25,31,59,160,.453,.459,.000,.453,.558,.474
2035,Joffrey Lauvergne\lauvejo01,2016-17,25,TOT,NBA,12.6,70,1,980,148,336,115,238,33,98,46,73,72,179,251,70,25,6,56,83,375,.440,.483,.337,.490,.630,.509
2036,Courtney Lee\leeco01,2011-12,26,HOU,NBA,12.6,58,26,1757,251,580,164,363,87,217,71,86,26,133,159,88,68,22,64,106,660,.433,.452,.401,.508,.826,.534
2037,Courtney Lee\leeco01,2010-11,25,HOU,NBA,12.6,81,1,1723,253,576,182,402,71,174,95,120,51,158,209,100,58,18,68,102,672,.439,.453,.408,.501,.792,.534
2038,Kendall Marshall\marshke01,2013-14,22,LAL,NBA,12.6,54,45,1564,170,419,99,241,71,178,19,36,15,140,155,477,48,4,150,76,430,.406,.411,.399,.490,.528,.494
2039,O.J. Mayo\mayooj01,2010-11,23,MEM,NBA,12.6,71,17,1869,304,747,208,483,96,264,99,131,35,135,170,145,73,26,99,127,803,.407,.431,.364,.471,.756,.499
2040,Jodie Meeks\meeksjo01,2010-11,23,PHI,NBA,12.6,74,64,2062,242,570,104,222,138,348,152,170,21,150,171,78,63,4,60,97,774,.425,.468,.397,.546,.894,.600
2041,Markieff Morris\morrima02,2012-13,23,PHO,NBA,12.6,82,32,1837,266,653,221,519,45,134,93,127,131,265,396,108,77,64,104,209,670,.407,.426,.336,.442,.732,.473
2042,Mehmet Okur\okurme01,2010-11,31,UTA,NBA,12.6,13,0,168,22,62,17,46,5,16,15,20,9,21,30,19,4,4,7,18,64,.355,.370,.313,.395,.750,.452
2043,Vladimir Radmanovic\radmavl01,2010-11,30,GSW,NBA,12.6,74,6,1169,137,318,67,145,70,173,30,34,64,148,212,79,44,44,57,157,374,.431,.462,.405,.541,.882,.562
2044,Jason Richardson\richaja01,2012-13,32,PHI,NBA,12.6,33,33,936,135,336,78,169,57,167,20,33,19,108,127,51,40,15,26,57,347,.402,.462,.341,.487,.606,.495
2045,Austin Rivers\riverau01,2017-18,25,LAC,NBA,12.6,61,59,2057,341,805,205,445,136,360,102,159,27,118,145,242,74,16,109,152,920,.424,.461,.378,.508,.642,.526
2046,Rodney Stuckey\stuckro01,2015-16,29,IND,NBA,12.6,58,1,1275,183,443,163,360,20,83,131,158,19,137,156,142,43,8,76,77,517,.413,.453,.241,.436,.829,.504
2047,Isaiah Thomas\thomais02,2017-18,28,TOT,NBA,12.6,32,15,862,157,421,102,233,55,188,117,131,17,50,67,153,15,3,95,58,486,.373,.438,.293,.438,.893,.508
2048,Evan Turner\turneev01,2011-12,23,PHI,NBA,12.6,65,20,1713,263,590,252,541,11,49,73,108,27,349,376,180,40,20,105,117,610,.446,.466,.224,.455,.676,.478
2049,Greivis Vasquez\vasqugr01,2014-15,28,TOR,NBA,12.6,82,29,1991,296,725,163,374,133,351,50,66,22,194,216,302,46,10,119,177,775,.408,.436,.379,.500,.758,.514
2050,Lavoy Allen\allenla01,2013-14,24,TOT,NBA,12.5,65,2,1072,134,300,132,287,2,13,33,50,119,192,311,71,24,33,44,126,303,.447,.460,.154,.450,.660,.470
2051,Kyle Anderson\anderky01,2016-17,23,SAS,NBA,12.5,72,14,1020,93,209,78,169,15,40,45,57,33,175,208,91,51,26,39,63,246,.445,.462,.375,.481,.789,.525
2052,Darrell Arthur\arthuda01,2015-16,27,DEN,NBA,12.5,70,16,1516,221,489,176,372,45,117,40,53,86,207,293,96,53,48,66,185,527,.452,.473,.385,.498,.755,.514
2053,Lonzo Ball\balllo01,2017-18,20,LAL,NBA,12.5,52,50,1780,203,564,113,269,90,295,32,71,69,291,360,376,88,43,136,117,528,.360,.420,.305,.440,.451,.444
2054,Aaron Brooks\brookaa01,2013-14,29,TOT,NBA,12.5,72,12,1557,233,581,137,333,96,248,83,95,43,97,140,233,52,13,117,146,645,.401,.411,.387,.484,.874,.518
2055,Jimmy Butler\butleji01,2011-12,22,CHI,NBA,12.5,42,0,359,32,79,30,68,2,11,43,56,23,33,56,14,11,5,14,20,109,.405,.441,.182,.418,.768,.526
2056,Wayne Ellington\ellinwa01,2017-18,30,MIA,NBA,12.5,77,2,2041,285,700,58,121,227,579,67,78,23,195,218,79,53,8,52,94,864,.407,.479,.392,.569,.859,.588
2057,Cristiano Felicio\feliccr01,2017-18,25,CHI,NBA,12.5,55,16,977,127,215,127,213,0,2,54,81,83,150,233,55,16,11,54,104,308,.591,.596,.000,.591,.667,.614
2058,Tyler Hansbrough\hansbty01,2015-16,30,CHO,NBA,12.5,44,0,343,32,71,30,68,2,3,38,65,40,49,89,8,12,7,12,55,104,.451,.441,.667,.465,.585,.522
2059,Maurice Harkless\harklma01,2012-13,19,ORL,NBA,12.5,76,59,1974,260,564,228,447,32,117,73,128,122,213,335,50,88,62,69,144,625,.461,.510,.274,.489,.570,.504
2060,Frank Kaminsky\kaminfr01,2015-16,22,CHO,NBA,12.5,81,3,1708,215,525,147,323,68,202,108,148,69,266,335,98,38,43,58,126,606,.410,.455,.337,.474,.730,.513
2061,Sasha Kaun\kaunsa01,2015-16,30,CLE,NBA,12.5,25,0,95,9,17,9,17,0,0,5,11,12,14,26,3,4,5,7,11,23,.529,.529,,.529,.455,.527
2062,Michael Kidd-Gilchrist\kiddgmi01,2017-18,24,CHO,NBA,12.5,74,74,1850,282,560,282,558,0,2,117,171,84,218,302,71,51,32,53,143,681,.504,.505,.000,.504,.684,.536
2063,Ray McCallum\mccalra01,2014-15,23,SAC,NBA,12.5,68,30,1436,206,470,172,359,34,111,57,84,52,128,180,188,45,11,85,92,503,.438,.479,.306,.474,.679,.496
2064,T.J. McConnell\mccontj01,2017-18,25,PHI,NBA,12.5,76,1,1706,210,421,183,359,27,62,31,39,37,189,226,303,92,13,112,122,478,.499,.510,.435,.531,.795,.545
2065,Khris Middleton\middlkh01,2013-14,22,MIL,NBA,12.5,82,64,2460,376,854,256,564,120,290,118,137,60,250,310,169,83,20,123,243,990,.440,.454,.414,.511,.861,.541
2066,Mike Miller\millemi01,2013-14,33,MEM,NBA,12.5,82,4,1707,213,443,106,210,107,233,46,56,30,177,207,130,26,5,77,95,579,.481,.505,.459,.602,.821,.619
2067,Gary Neal\nealga01,2013-14,29,TOT,NBA,12.5,52,3,1114,193,471,125,291,68,180,94,105,10,80,90,83,18,0,64,65,548,.410,.430,.378,.482,.895,.530
2068,Kevin Seraphin\serapke01,2014-15,25,WAS,NBA,12.5,79,0,1235,231,450,231,448,0,2,58,82,87,201,288,59,10,59,98,197,520,.513,.516,.000,.513,.707,.535
2069,Kevin Seraphin\serapke01,2013-14,24,WAS,NBA,12.5,53,1,578,111,220,111,220,0,0,27,31,53,75,128,17,3,26,41,103,249,.505,.505,,.505,.871,.533
2070,P.J. Tucker\tuckepj01,2014-15,29,PHO,NBA,12.5,78,63,2383,261,596,174,344,87,252,104,143,114,388,502,122,107,23,96,179,713,.438,.506,.345,.511,.727,.541
2071,Ekpe Udoh\udohek01,2011-12,24,TOT,NBA,12.5,61,11,1290,127,295,127,293,0,2,86,114,100,154,254,57,40,102,53,174,340,.431,.433,.000,.431,.754,.493
2072,Damien Wilkins\wilkida02,2012-13,33,PHI,NBA,12.5,61,21,1095,145,316,128,265,17,51,81,109,32,73,105,91,37,18,49,98,388,.459,.483,.333,.486,.743,.533
2073,Metta World Peace\artesro01,2012-13,33,LAL,NBA,12.5,75,66,2530,332,824,191,412,141,412,124,169,101,271,372,112,122,42,98,198,929,.403,.464,.342,.488,.734,.517
2074,Sam Young\youngsa01,2010-11,25,MEM,NBA,12.5,78,46,1577,233,494,216,444,17,50,89,116,40,147,187,71,68,23,61,120,572,.472,.486,.340,.489,.767,.525
2075,Lavoy Allen\allenla01,2015-16,26,IND,NBA,12.4,79,28,1599,191,370,191,370,0,0,46,73,162,262,424,76,26,42,69,147,428,.516,.516,,.516,.630,.532
2076,Trevor Ariza\arizatr01,2016-17,31,HOU,NBA,12.4,80,80,2773,326,798,135,243,191,555,93,126,54,404,458,175,147,20,73,133,936,.409,.556,.344,.528,.738,.548
2077,Jerryd Bayless\bayleje01,2015-16,27,MIL,NBA,12.4,52,18,1505,185,437,84,206,101,231,70,90,21,120,141,163,47,11,73,111,541,.423,.408,.437,.539,.778,.568
2078,Marco Belinelli\belinma01,2014-15,28,SAS,NBA,12.4,62,9,1388,199,470,113,240,86,230,84,99,26,131,157,94,31,3,61,85,568,.423,.471,.374,.515,.848,.553
2079,Patrick Beverley\beverpa01,2013-14,25,HOU,NBA,12.4,56,55,1751,199,481,107,226,92,255,83,102,72,124,196,151,77,23,66,174,573,.414,.473,.361,.509,.814,.545
2080,Caron Butler\butleca01,2012-13,32,LAC,NBA,12.4,78,78,1879,305,720,177,390,128,330,75,90,41,182,223,78,51,11,72,139,813,.424,.454,.388,.513,.833,.535
2081,Kentavious Caldwell-Pope\caldwke01,2015-16,22,DET,NBA,12.4,76,76,2789,403,960,289,591,114,369,185,228,70,212,282,138,110,17,105,167,1105,.420,.489,.309,.479,.811,.521
2082,Isaiah Canaan\canaais01,2014-15,23,TOT,NBA,12.4,47,21,938,146,378,55,132,91,246,49,60,18,69,87,98,29,3,62,83,432,.386,.417,.370,.507,.817,.534
2083,Wilson Chandler\chandwi01,2013-14,26,DEN,NBA,12.4,62,55,1927,307,738,185,387,122,351,110,152,58,236,294,114,46,31,79,193,846,.416,.478,.348,.499,.724,.526
2084,Earl Clark\clarkea01,2012-13,25,LAL,NBA,12.4,59,36,1363,170,386,135,282,35,104,53,76,82,243,325,65,36,44,62,102,428,.440,.479,.337,.486,.697,.510
2085,Reggie Evans\evansre01,2010-11,30,TOR,NBA,12.4,30,18,798,42,103,42,102,0,1,48,88,119,226,345,38,29,6,39,89,132,.408,.412,.000,.408,.545,.466
2086,Raymond Felton\feltora01,2014-15,30,DAL,NBA,12.4,29,3,281,43,106,33,72,10,34,12,15,2,24,26,41,11,4,18,17,108,.406,.458,.294,.453,.800,.480
2087,Evan Fournier\fournev01,2014-15,22,ORL,NBA,12.4,58,32,1661,253,575,168,350,85,225,107,147,28,125,153,120,40,2,82,116,698,.440,.480,.378,.514,.728,.546
2088,Tim Frazier\fraziti01,2016-17,26,NOP,NBA,12.4,65,35,1525,163,404,123,276,40,128,98,129,34,139,173,335,56,6,101,133,464,.403,.446,.313,.453,.760,.504
2089,Markelle Fultz\fultzma01,2017-18,19,PHI,NBA,12.4,14,0,253,45,111,45,110,0,1,10,21,11,32,43,53,12,4,17,22,100,.405,.409,.000,.405,.476,.416
2090,Ben Gordon\gordobe01,2010-11,27,DET,NBA,12.4,82,27,2131,339,770,232,504,107,266,136,160,41,154,195,171,48,16,141,178,921,.440,.460,.402,.510,.850,.548
2091,Andrew Goudelock\goudean01,2015-16,27,HOU,NBA,12.4,8,0,50,9,20,8,11,1,9,3,4,1,1,2,4,6,2,7,4,22,.450,.727,.111,.475,.750,.506
2092,Erick Green\greener01,2015-16,24,TOT,NBA,12.4,9,0,42,5,13,4,8,1,5,2,2,3,3,6,3,1,0,0,4,13,.385,.500,.200,.423,1.000,.468
2093,Jordan Hamilton\hamiljo02,2015-16,25,NOP,NBA,12.4,11,4,304,49,116,36,71,13,45,14,21,12,50,62,25,8,3,17,24,125,.422,.507,.289,.478,.667,.499
2094,Spencer Hawes\hawessp01,2015-16,27,CHO,NBA,12.4,57,6,1035,124,306,86,204,38,102,54,65,51,193,244,109,22,27,58,111,340,.405,.422,.373,.467,.831,.508
2095,Rodney Hood\hoodro01,2016-17,24,UTA,NBA,12.4,59,55,1593,272,666,158,359,114,307,90,115,16,186,202,96,38,11,65,132,748,.408,.440,.371,.494,.783,.522
2096,Danuel House\houseda01,2017-18,24,PHO,NBA,12.4,23,3,403,56,129,41,71,15,58,25,31,13,63,76,25,7,6,11,23,152,.434,.577,.259,.492,.806,.533
2097,Joe Ingles\inglejo01,2016-17,29,UTA,NBA,12.4,82,26,1972,204,451,81,172,123,279,50,68,23,238,261,225,96,8,107,163,581,.452,.471,.441,.589,.735,.604
2098,Richard Jefferson\jefferi01,2010-11,30,SAS,NBA,12.4,81,81,2459,304,642,169,335,135,307,148,195,54,256,310,107,38,34,93,164,891,.474,.504,.440,.579,.759,.612
2099,Charles Jenkins\jenkich01,2011-12,22,GSW,NBA,12.4,51,28,893,130,291,127,271,3,20,34,39,8,60,68,170,33,6,60,85,297,.447,.469,.150,.452,.872,.482
2100,Dominique Jones\jonesdo02,2012-13,24,DAL,NBA,12.4,29,3,338,40,109,39,100,1,9,35,53,18,27,45,83,14,2,38,29,116,.367,.390,.111,.372,.660,.438
