rank,team,name,salary,year
1,,"
Kobe Bryant
Small Forward
","$25,244,493  ",2011
2,,"
Kevin Garnett
Power Forward
","$21,247,044  ",2011
3,,"
Tim Duncan
Power Forward
","$21,164,619  ",2011
4,,"
Rashard Lewis
Power Forward
","$21,136,631  ",2011
5,,"
Dirk Nowitzki
Power Forward
","$19,092,873  ",2011
6,,"
Pau Gasol
Power Forward
","$18,714,150  ",2011
7,,"
Carmelo Anthony
Small Forward
","$18,518,574  ",2011
8,,"
Amar'e Stoudemire
Power Forward
","$18,217,705  ",2011
9,,"
Dwight Howard
Center
","$18,091,770  ",2011
10,,"
Joe Johnson
Shooting Guard
","$18,038,573  ",2011
11,,"
Elton Brand
Power Forward
","$17,059,726  ",2011
12,,"
Chris Paul
Point Guard
","$16,359,805  ",2011
,,"
Deron Williams
Point Guard
","$16,359,805  ",2011
14,,"
Chris Bosh
Power Forward
","$16,022,500  ",2011
,,"
LeBron James
Small Forward
","$16,022,500  ",2011
16,,"
Dwyane Wade
Shooting Guard
","$15,512,000  ",2011
17,,"
Kevin Durant
Small Forward
","$15,506,632  ",2011
18,,"
Paul Pierce
Small Forward
","$15,333,334  ",2011
19,,"
Zach Randolph
Power Forward
","$15,200,000  ",2011
20,,"
Antawn Jamison
Power Forward
","$15,076,715  ",2011
21,,"
Andrew Bynum
Center
","$14,900,000  ",2011
22,,"
Al Jefferson
Center
","$14,000,000  ",2011
23,,"
Andre Iguodala
Small Forward
","$13,531,750  ",2011
24,,"
Carlos Boozer
Power Forward
","$13,500,000  ",2011
25,,"
Tyson Chandler
Center
","$13,107,838  ",2011
26,,"
Nene Hilario
Center
","$13,000,000  ",2011
27,,"
Manu Ginobili
Shooting Guard
","$12,981,038  ",2011
28,,"
Marc Gasol
Center
","$12,922,194  ",2011
29,,"
Emeka Okafor
Center
","$12,642,500  ",2011
30,,"
Tony Parker
Point Guard
","$12,500,000  ",2011
31,,"
Josh Smith
Small Forward
","$12,400,000  ",2011
32,,"
LaMarcus Aldridge
Power Forward
","$12,372,000  ",2011
