,,,,,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals
Rk,Season,Column2,Tm,Column1,Lg,G,W,L,State,Team,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
125,2010-11,2011,PHO,2010AZSuns,NBA,82,40,42,AZ,Suns,0.488,20005,3219,6844,2518,4987,701,1857,1472,1939,821,2478,3299,1945,545,357,1169,1666,8611
172,2010-11,2011,LAC,2010CAClippers,NBA,82,32,50,CA,Clippers,0.39,19855,3015,6594,2502,5075,513,1519,1546,2187,955,2501,3456,1813,585,402,1343,1733,8089
210,2010-11,2011,SAC,2010CAKings,NBA,82,24,58,CA,Kings,0.293,19855,3134,6979,2706,5702,428,1277,1455,1981,1071,2526,3597,1675,608,391,1324,1805,8151
19,2010-11,2011,LAL*,2010CALakers,NBA,82,57,25,CA,Lakers,0.695,19830,3128,6757,2604,5270,524,1487,1541,1979,989,2616,3605,1801,602,422,1073,1555,8321
147,2010-11,2011,GSW,2010CAWarriors,NBA,82,36,46,CA,Warriors,0.439,19830,3251,7047,2566,5298,685,1749,1290,1695,955,2370,3325,1847,737,406,1198,1806,8477
51,2010-11,2011,DEN*,2010CONuggets,NBA,82,50,32,CO,Nuggets,0.61,19705,3145,6613,2483,4909,662,1704,1859,2429,791,2652,3443,1813,605,352,1157,1719,8811
15,2010-11,2011,MIA*,2010FLHeat,NBA,82,58,24,FL,Heat,0.707,19780,3031,6301,2484,4822,547,1479,1760,2288,790,2666,3456,1639,544,430,1142,1674,8369
43,2010-11,2011,ORL*,2010FLMagic,NBA,82,52,30,FL,Magic,0.634,19830,2956,6411,2186,4308,770,2103,1453,2101,864,2679,3543,1636,548,384,1224,1640,8135
92,2010-11,2011,ATL*,2010GAHawks,NBA,82,44,38,GA,Hawks,0.537,19730,2971,6429,2469,5002,502,1427,1346,1728,762,2460,3222,1802,497,341,1118,1554,7790
7,2010-11,2011,CHI*,2010ILBulls,NBA,82,62,20,IL,Bulls,0.756,19830,3042,6587,2531,5172,511,1415,1492,2008,967,2654,3621,1827,592,468,1161,1639,8087
142,2010-11,2011,IND*,2010INPacers,NBA,82,37,45,IN,Pacers,0.451,19780,3003,6787,2418,5134,585,1653,1592,2035,914,2657,3571,1611,584,456,1262,1782,8183
82,2010-11,2011,NOH*,2010LAHornets,NBA,82,46,36,LA,Hornets,0.561,19830,2944,6416,2500,5184,444,1232,1452,1897,824,2468,3292,1691,624,359,1069,1719,7784
23,2010-11,2011,BOS*,2010MACeltics,NBA,82,56,26,MA,Celtics,0.683,19780,3023,6219,2615,5100,408,1119,1459,1895,639,2542,3181,1921,676,344,1195,1678,7913
180,2010-11,2011,DET,2010MIPistons,NBA,82,30,52,MI,Pistons,0.366,19880,3056,6647,2584,5391,472,1256,1367,1854,931,2236,3167,1730,595,328,1067,1629,7951
234,2010-11,2011,MIN,2010MNTimberwolves,NBA,82,17,65,MN,Timberwolves,0.207,19780,3090,7014,2501,5449,589,1565,1519,1977,1085,2556,3641,1650,592,422,1398,1825,8288
158,2010-11,2011,CHA,2010NCHornets,NBA,82,34,48,NC,Hornets,0.415,19805,2873,6365,2480,5162,393,1203,1511,1999,848,2444,3292,1728,524,433,1192,1637,7650
209,2010-11,2011,NJN,2010NJNets,NBA,82,24,58,NJ,Nets,0.293,20005,2918,6638,2459,5301,459,1337,1427,1881,909,2440,3349,1723,458,384,1152,1807,7722
106,2010-11,2011,NYK*,2010NYKnicks,NBA,82,42,40,NY,Knicks,0.512,19780,3140,6867,2375,4786,765,2081,1689,2087,847,2470,3317,1757,625,475,1123,1743,8734
231,2010-11,2011,CLE,2010OHCavaliers,NBA,82,19,63,OH,Cavaliers,0.232,19755,2886,6647,2377,5158,509,1489,1546,2075,856,2449,3305,1720,544,341,1166,1648,7827
30,2010-11,2011,OKC*,2010OKThunder,NBA,82,55,27,OK,Thunder,0.671,20005,3066,6609,2579,5206,487,1403,1977,2401,903,2604,3507,1672,654,487,1156,1836,8596
64,2010-11,2011,POR*,2010ORTrail Blazers,NBA,82,48,34,OR,Trail Blazers,0.585,19805,2951,6599,2433,5096,518,1503,1476,1835,996,2230,3226,1736,660,358,1070,1585,7896
114,2010-11,2011,PHI*,2010PA76ers,NBA,82,41,41,PA,76ers,0.5,19930,3125,6776,2682,5528,443,1248,1426,1851,850,2578,3428,1861,621,355,1063,1592,8119
81,2010-11,2011,MEM*,2010TNGrizzlies,NBA,82,46,36,TN,Grizzlies,0.561,19880,3200,6801,2891,5875,309,926,1486,1981,970,2391,3361,1691,771,441,1145,1705,8195
219,2010-11,2011,TOR,2010TTRaptors,NBA,82,22,60,TT,Raptors,0.268,19780,3144,6755,2799,5664,345,1091,1491,1976,963,2343,3306,1795,581,350,1206,1807,8124
100,2010-11,2011,HOU,2010TXAstros,NBA,82,43,39,TX,Astros,0.524,19880,3170,6975,2493,5132,677,1843,1668,2083,962,2549,3511,1955,581,371,1110,1641,8685
18,2010-11,2011,DAL*,2010TXMavericks,NBA,82,57,25,TX,Mavericks,0.695,19705,3069,6463,2424,4695,645,1768,1437,1850,780,2618,3398,1954,557,352,1145,1575,8220
9,2010-11,2011,SAS*,2010TXSpurs,NBA,82,61,21,TX,Spurs,0.744,19780,3148,6628,2463,4901,685,1727,1521,1984,829,2603,3432,1836,602,372,1101,1556,8502
132,2010-11,2011,UTA,2010UTJazz,NBA,82,39,43,UT,Jazz,0.476,19880,3064,6590,2629,5334,435,1256,1590,2061,898,2338,3236,1921,629,484,1175,1865,8153
215,2010-11,2011,WAS,2010WAWizards,NBA,82,23,59,WA,Wizards,0.28,19930,3048,6888,2656,5706,392,1182,1489,1999,1013,2374,3387,1592,665,502,1258,1850,7977
