Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1,Tom Brady\BradTo00,2009,2018,6-199,NWE,NFL,156,156,10,10,2,165
2,Drew Brees\BreeDr00,2009,2018,2-32,NOR,NFL,157,157,10,9,0,161
3,Aaron Rodgers\RodgAa00,2009,2018,1-24,GNB,NFL,142,142,10,7,2,155
4,Matt Ryan\RyanMa00,2009,2018,1-3,ATL,NFL,158,158,10,4,1,152
5,Philip Rivers\RivePh00,2009,2018,1-4,SDG,NFL,160,160,10,7,0,143
6,Ben Roethlisberger\RoetBe00,2009,2018,1-11,PIT,NFL,144,143,10,5,0,128
7,Cam Newton\NewtCa00,2011,2018,1-1,CAR,NFL,123,122,8,3,1,122
8,Eli Manning\MannEl00,2009,2018,1-1,NYG,NFL,159,159,10,3,0,116
9,Calais Campbell\CampCa99,2009,2018,2-50,TOT,NFL,154,152,10,4,1,114
10,Jahri Evans\EvanJa21,2009,2017,4-108,TOT,NFL,135,135,9,6,4,114
11,Russell Wilson\WilsRu00,2012,2018,3-75,SEA,NFL,112,112,7,5,0,114
12,Andrew Whitworth\WhitAn20,2009,2018,2-55,TOT,NFL,157,157,10,4,2,112
13,Alex Smith\SmitAl03,2009,2018,1-1,TOT,NFL,134,131,10,3,0,111
14,Matthew Stafford\StafMa00,2009,2018,1-1,DET,NFL,141,141,10,1,0,110
15,J.J. Watt\WattJ.00,2011,2018,1-11,HTX,NFL,104,104,8,5,5,108
16,Von Miller\MillVo00,2011,2018,1-2,DEN,NFL,120,120,8,7,3,106
17,Julius Peppers\PeppJu99,2009,2018,1-2,TOT,NFL,160,134,10,5,1,103
18,Antonio Brown\BrowAn04,2010,2018,6-195,PIT,NFL,130,103,9,7,4,102
19,Joe Flacco\FlacJo00,2009,2018,1-18,RAV,NFL,147,147,10,0,0,102
20,Julio Jones\JoneJu02,2011,2018,1-6,ATL,NFL,111,110,8,6,2,102
21,LeSean McCoy\McCoLe01,2009,2018,2-53,TOT,NFL,147,132,10,6,2,98
22,Haloti Ngata\NgatHa20,2009,2018,1-12,TOT,NFL,132,126,10,5,2,98
23,Ndamukong Suh\SuhxNd99,2010,2018,1-2,TOT,NFL,142,142,9,5,3,98
24,Bobby Wagner\WagnBo00,2012,2018,2-47,SEA,NFL,103,102,7,5,4,98
25,Clay Matthews\MattCl99,2009,2018,1-26,GNB,NFL,143,137,10,6,1,97
