Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2013 Cap,year
1  ,KC , Eric Fisher ,LT,22,Central Michigan,4,"$22,190,498","$14,518,544","$4,034,636",2013
2  ,JAC , Luke Joeckel ,G,21,Texas A&M,4,"$21,201,598","$13,799,344","$3,854,836",2013
3  ,MIA  from OAK, Dion Jordan ,DE,23,Oregon,4,"$20,572,310","$13,341,680","$3,740,420",2013
4  ,PHI , Lane Johnson ,RT,23,Oklahoma,4,"$19,853,103","$12,818,620","$3,609,655",2013
5  ,DET , Ezekiel Ansah ,DE,23,Brigham Young,4,"$18,594,514","$11,903,272","$3,380,818",2013
6  ,CLE , Barkevious Mingo ,OLB,22,Louisiana State,4,"$16,347,001","$10,268,728","$2,972,182",2013
7  ,ARI , Jonathan Cooper ,G,23,North Carolina,4,"$14,549,002","$8,961,092","$2,645,273",2013
8  ,STL  from BUF, Tavon Austin ,WR,22,West Virginia,4,"$12,751,002","$7,653,456","$2,318,364",2013
9  ,NYJ , Dee Milliner ,CB,21,Alabama,4,"$12,661,000","$7,588,000","$2,302,000",2013
10  ,TEN , Chance Warmack ,G,21,Alabama,4,"$12,166,652","$7,228,472","$2,212,118",2013
11  ,SD , D.J. Fluker ,G,22,Alabama,4,"$11,402,498","$6,672,730","$2,073,182",2013
12  ,OAK  from MIA, D.J. Hayden ,CB,22,Houston,4,"$10,323,698","$5,888,144","$1,877,036",2013
13  ,NYJ  from TB, Sheldon Richardson ,DT,22,Missouri,4,"$10,054,000","$5,692,000","$1,828,000",2013
14  ,CAR , Star Lotulelei ,DT,23,Utah,4,"$9,604,500","$5,365,092","$1,746,273",2013
15  ,NO , Kenny Vaccaro ,SS,22,Texas,4,"$9,424,712","$5,234,336","$1,713,584",2013
16  ,BUF  from STL, E.J. Manuel ,QB,23,Florida State,4,"$8,885,300","$4,842,036","$1,615,509",2013
17  ,PIT , Jarvis Jones ,OLB,23,Georgia,4,"$8,705,502","$4,711,272","$1,582,818",2013
18  ,SF  from DAL, Eric Reid ,SS,21,Louisiana State,4,"$8,480,736","$4,547,820","$1,541,955",2013
19  ,NYG , Justin Pugh ,G,22,Syracuse,4,"$8,345,898","$4,449,744","$1,517,436",2013
20  ,CHI , Kyle Long ,G,24,Oregon,4,"$8,300,952","$4,417,056","$1,509,264",2013
21  ,CIN , Tyler Eifert ,TE,22,Notre Dame,4,"$8,256,001","$4,384,364","$1,501,091",2013
22  ,ATL  from WAS via STL, Desmond Trufant ,CB,22,Washington,4,"$8,166,035","$4,318,980","$1,484,745",2013
23  ,MIN , Sharrif Floyd ,DT,20,Florida,4,"$8,076,200","$4,253,600","$1,468,400",2013
24  ,IND , Bjoern Werner ,OLB,22,Florida State,4,"$7,896,398","$4,122,835","$1,435,708",2013
25  ,MIN  from SEA, Xavier Rhodes ,CB,22,Florida State,4,"$7,806,502","$4,057,456","$1,419,364",2013
26  ,GB , Datone Jones ,DE,22,California-Los Angeles,4,"$7,716,588","$3,992,064","$1,403,016",2013
27  ,HOU , DeAndre Hopkins ,WR,20,Clemson,4,"$7,626,702","$3,926,692","$1,386,673",2013
28  ,DEN , Sylvester Williams ,DT,24,North Carolina,4,"$7,581,750","$3,894,000","$1,378,500",2013
29  ,MIN  from NE, Cordarrelle Patterson ,WR,22,Tennessee,4,"$7,221,049","$3,631,672","$1,312,918",2013
30  ,STL  from ATL, Alec Ogletree ,ILB,21,Georgia,4,"$7,030,034","$3,492,752","$1,278,188",2013
31  ,DAL  from SF, Travis Frederick ,C,22,Wisconsin,4,"$6,870,028","$3,376,384","$1,249,096",2013
