Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2015 Cap,year
1  ,TB , Jameis Winston ,QB,21,Florida State,4,"$25,351,277","$16,697,292","$4,609,323",2015
2  ,TEN , Marcus Mariota ,QB,21,Oregon,4,"$24,213,974","$15,870,164","$4,402,541",2015
3  ,JAC , Dante Fowler Jr. ,DE,20,Florida,4,"$23,490,253","$15,343,820","$4,270,955",2015
4  ,OAK , Amari Cooper ,WR,20,Alabama,4,"$22,663,116","$14,742,266","$4,120,566",2015
5  ,WAS , Brandon Scherff ,G,23,Iowa,4,"$21,215,638","$13,689,555","$3,857,388",2015
6  ,NYJ , Leonard Williams ,DE,20,Southern California,4,"$18,630,866","$11,809,721","$3,387,430",2015
7  ,CHI , Kevin White ,WR,22,West Virginia,4,"$16,563,047","$10,305,852","$3,011,463",2015
8  ,ATL , Vic Beasley ,DE,22,Clemson,4,"$14,495,228","$8,801,984","$2,635,496",2015
9  ,NYG , Ereck Flowers ,RT,21,Miami (FL),4,"$14,391,719","$8,726,705","$2,616,676",2015
10  ,STL , Todd Gurley ,RB,20,Georgia,4,"$13,823,183","$8,313,224","$2,513,306",2015
11  ,MIN , Trae Waynes ,CB,22,Michigan State,4,"$12,944,368","$7,674,086","$2,353,520",2015
12  ,CLE , Danny Shelton ,DT,21,Washington,4,"$11,703,667","$6,771,758","$2,127,939",2015
13  ,NO , Andrus Peat ,G,21,Stanford,4,"$11,393,496","$6,546,179","$2,071,544",2015
14  ,MIA , DeVante Parker ,WR,22,Louisville,4,"$10,876,543","$6,170,213","$1,977,553",2015
15  ,SD  from SF, Melvin Gordon ,RB,22,Wisconsin,4,"$10,669,773","$6,019,835","$1,926,193",2015
16  ,HOU , Kevin Johnson ,CB,22,Wake Forest,4,"$10,049,413","$5,568,664","$1,827,166",2015
17  ,SF  from SD, Arik Armstead ,DE,21,Oregon,4,"$9,842,630","$5,418,276","$1,789,569",2015
18  ,KC , Marcus Peters ,CB,22,Washington,4,"$9,584,157","$5,230,296","$1,742,574",2015
19  ,CLE  from BUF, Cameron Erving ,G,22,Florida State,4,"$9,429,065","$5,117,502","$1,714,375",2015
20  ,PHI , Nelson Agholor ,WR,21,Southern California,4,"$9,377,374","$5,079,908","$1,704,977",2015
21  ,CIN , Cedric Ogbuehi ,LT,23,Texas A&M,4,"$9,325,677","$5,042,310","$1,695,577",2015
22  ,PIT , Bud Dupree ,OLB,22,Kentucky,4,"$9,222,282","$4,967,114","$1,676,778",2015
23  ,DEN  from DET, Shane Ray ,OLB,21,Missouri,4,"$9,118,894","$4,891,923","$1,657,980",2015
24  ,ARI , D.J. Humphries ,LT,21,Florida,4,"$8,912,112","$4,741,536","$1,620,384",2015
25  ,CAR , Shaq Thompson ,OLB,21,Washington,4,"$8,808,724","$4,666,344","$1,601,586",2015
26  ,BAL , Breshad Perriman ,WR,21,Central Florida,4,"$8,705,317","$4,591,139","$1,534,607",2015
27  ,DAL , Byron Jones ,CB,22,Connecticut,4,"$8,601,941","$4,515,957","$1,563,989",2015
