Player,Tm,Lg,AV,salary,index,college,state
Drew Brees,NOR,NFL,161,"$12,574,700 ",Purdue University,Purdue,IN
Drew Brees,NOR,NFL,161,"$12,574,700 ",Purdue University,Purdue,IN
Drew Brees,NOR,NFL,161,"$10,400,000 ",Purdue University,Purdue,IN
Drew Brees,NOR,NFL,161,"$17,400,000 ",Purdue University,Purdue,IN
Drew Brees,NOR,NFL,161,"$18,400,000 ",Purdue University,Purdue,IN
Drew Brees,NOR,NFL,161,"$23,800,000 ",Purdue University,Purdue,IN
Drew Brees,NOR,NFL,161,"$17,250,000 ",Purdue University,Purdue,IN
Drew Brees,NOR,NFL,161,"$19,000,000 ",Purdue University,Purdue,IN
Drew Brees,NOR,NFL,161,"$24,000,000 ",Purdue University,Purdue,IN
Matt Ryan,ATL,NFL,152,"$13,250,000 ",,Boston Col.,
Matt Ryan,ATL,NFL,152,"$13,250,000 ",,Boston Col.,
Matt Ryan,ATL,NFL,152,"$13,500,000 ",,Boston Col.,
Matt Ryan,ATL,NFL,152,"$9,600,000 ",,Boston Col.,
Matt Ryan,ATL,NFL,152,"$17,500,000 ",,Boston Col.,
Matt Ryan,ATL,NFL,152,"$19,500,000 ",,Boston Col.,
Matt Ryan,ATL,NFL,152,"$23,750,000 ",,Boston Col.,
Matt Ryan,ATL,NFL,152,"$23,750,000 ",,Boston Col.,
Matt Ryan,ATL,NFL,152,"$17,700,000 ",,Boston Col.,
Philip Rivers,SDG,NFL,143,"$13,510,000 ",,North Carolina St.,
Philip Rivers,SDG,NFL,143,"$13,510,000 ",,North Carolina St.,
Philip Rivers,SDG,NFL,143,"$15,310,000 ",,North Carolina St.,
Philip Rivers,SDG,NFL,143,"$13,776,666 ",,North Carolina St.,
Philip Rivers,SDG,NFL,143,"$16,666,666 ",,North Carolina St.,
Philip Rivers,SDG,NFL,143,"$21,166,668 ",,North Carolina St.,
Philip Rivers,SDG,NFL,143,"$16,500,000 ",,North Carolina St.,
Philip Rivers,SDG,NFL,143,"$18,000,000 ",,North Carolina St.,
Philip Rivers,SDG,NFL,143,"$22,000,000 ",,North Carolina St.,
Ben Roethlisberger,PIT,NFL,128,"$11,320,000 ",,Miami (OH),
Ben Roethlisberger,PIT,NFL,128,"$11,320,000 ",,Miami (OH),
Ben Roethlisberger,PIT,NFL,128,"$8,895,000 ",,Miami (OH),
Ben Roethlisberger,PIT,NFL,128,"$13,595,000 ",,Miami (OH),
Ben Roethlisberger,PIT,NFL,128,"$18,895,000 ",,Miami (OH),
Ben Roethlisberger,PIT,NFL,128,"$17,245,000 ",,Miami (OH),
Ben Roethlisberger,PIT,NFL,128,"$23,950,000 ",,Miami (OH),
Ben Roethlisberger,PIT,NFL,128,"$18,200,000 ",,Miami (OH),
Ben Roethlisberger,PIT,NFL,128,"$23,200,000 ",,Miami (OH),
Cam Newton,CAR,NFL,122,"$4,004,636 ",Auburn University,Auburn,AL
Cam Newton,CAR,NFL,122,"$4,004,636 ",Furman University,Furman,SC
Cam Newton,CAR,NFL,122,"$4,004,636 ",Auburn University,Auburn,AL
Cam Newton,CAR,NFL,122,"$4,004,636 ",Furman University,Furman,SC
Cam Newton,CAR,NFL,122,"$5,005,795 ",Auburn University,Auburn,AL
Cam Newton,CAR,NFL,122,"$5,005,795 ",Furman University,Furman,SC
Cam Newton,CAR,NFL,122,"$6,006,954 ",Auburn University,Auburn,AL
Cam Newton,CAR,NFL,122,"$6,006,954 ",Furman University,Furman,SC
Cam Newton,CAR,NFL,122,"$7,008,113 ",Auburn University,Auburn,AL
Cam Newton,CAR,NFL,122,"$7,008,113 ",Furman University,Furman,SC
Cam Newton,CAR,NFL,122,"$13,000,000 ",Auburn University,Auburn,AL
Cam Newton,CAR,NFL,122,"$13,000,000 ",Furman University,Furman,SC
Cam Newton,CAR,NFL,122,"$19,500,000 ",Auburn University,Auburn,AL
Cam Newton,CAR,NFL,122,"$19,500,000 ",Furman University,Furman,SC
Cam Newton,CAR,NFL,122,"$20,166,666 ",Auburn University,Auburn,AL
Cam Newton,CAR,NFL,122,"$20,166,666 ",Furman University,Furman,SC
Cam Newton,CAR,NFL,122,"$21,500,000 ",Auburn University,Auburn,AL
Cam Newton,CAR,NFL,122,"$21,500,000 ",Furman University,Furman,SC
Eli Manning,NYG,NFL,116,"$14,100,000 ",Mississippi College,Mississippi,MS
Eli Manning,NYG,NFL,116,"$14,100,000 ",Mississippi College,Mississippi,MS
Eli Manning,NYG,NFL,116,"$9,600,000 ",Mississippi College,Mississippi,MS
Eli Manning,NYG,NFL,116,"$20,850,000 ",Mississippi College,Mississippi,MS
Eli Manning,NYG,NFL,116,"$20,400,000 ",Mississippi College,Mississippi,MS
Eli Manning,NYG,NFL,116,"$14,450,000 ",Mississippi College,Mississippi,MS
Eli Manning,NYG,NFL,116,"$24,200,000 ",Mississippi College,Mississippi,MS
Eli Manning,NYG,NFL,116,"$19,700,000 ",Mississippi College,Mississippi,MS
Eli Manning,NYG,NFL,116,"$22,200,000 ",Mississippi College,Mississippi,MS
Calais Campbell,TOT,NFL,114,"$930,000 ",,Miami (FL),
Calais Campbell,TOT,NFL,114,"$930,000 ",,Miami (FL),
Calais Campbell,TOT,NFL,114,"$5,000,000 ",,Miami (FL),
Calais Campbell,TOT,NFL,114,"$8,750,000 ",,Miami (FL),
Calais Campbell,TOT,NFL,114,"$11,250,000 ",,Miami (FL),
Calais Campbell,TOT,NFL,114,"$14,750,000 ",,Miami (FL),
