,Player,salary,college,state,AV
0,Drew Brees,"$12,574,700  ",Purdue,IN,161
1,Drew Brees,"$12,574,700  ",Purdue,IN,161
2,Drew Brees,"$10,400,000  ",Purdue,IN,161
3,Drew Brees,"$17,400,000  ",Purdue,IN,161
4,Drew Brees,"$18,400,000  ",Purdue,IN,161
5,Drew Brees,"$23,800,000  ",Purdue,IN,161
6,Drew Brees,"$17,250,000  ",Purdue,IN,161
7,Drew Brees,"$19,000,000  ",Purdue,IN,161
8,Drew Brees,"$24,000,000  ",Purdue,IN,161
9,Matt Ryan,"$13,250,000  ",Boston Col.,,152
10,Matt Ryan,"$13,250,000  ",Boston Col.,,152
11,Matt Ryan,"$13,500,000  ",Boston Col.,,152
12,Matt Ryan,"$9,600,000  ",Boston Col.,,152
13,Matt Ryan,"$17,500,000  ",Boston Col.,,152
14,Matt Ryan,"$19,500,000  ",Boston Col.,,152
15,Matt Ryan,"$23,750,000  ",Boston Col.,,152
16,Matt Ryan,"$23,750,000  ",Boston Col.,,152
17,Matt Ryan,"$17,700,000  ",Boston Col.,,152
18,Philip Rivers,"$13,510,000  ",North Carolina St.,,143
19,Philip Rivers,"$13,510,000  ",North Carolina St.,,143
20,Philip Rivers,"$15,310,000  ",North Carolina St.,,143
21,Philip Rivers,"$13,776,666  ",North Carolina St.,,143
22,Philip Rivers,"$16,666,666  ",North Carolina St.,,143
23,Philip Rivers,"$21,166,668  ",North Carolina St.,,143
24,Philip Rivers,"$16,500,000  ",North Carolina St.,,143
25,Philip Rivers,"$18,000,000  ",North Carolina St.,,143
26,Philip Rivers,"$22,000,000  ",North Carolina St.,,143
27,Ben Roethlisberger,"$11,320,000  ",Miami (OH),,128
28,Ben Roethlisberger,"$11,320,000  ",Miami (OH),,128
29,Ben Roethlisberger,"$8,895,000  ",Miami (OH),,128
30,Ben Roethlisberger,"$13,595,000  ",Miami (OH),,128
31,Ben Roethlisberger,"$18,895,000  ",Miami (OH),,128
32,Ben Roethlisberger,"$17,245,000  ",Miami (OH),,128
33,Ben Roethlisberger,"$23,950,000  ",Miami (OH),,128
34,Ben Roethlisberger,"$18,200,000  ",Miami (OH),,128
35,Ben Roethlisberger,"$23,200,000  ",Miami (OH),,128
36,Cam Newton,"$4,004,636  ",Auburn,AL,122
37,Cam Newton,"$4,004,636  ",Furman,SC,122
38,Cam Newton,"$4,004,636  ",Auburn,AL,122
39,Cam Newton,"$4,004,636  ",Furman,SC,122
40,Cam Newton,"$5,005,795  ",Auburn,AL,122
41,Cam Newton,"$5,005,795  ",Furman,SC,122
