Player,College,State,AV
Terron Armstead,,AK,76.83
Corey Williams,,AK,63.50
Derek Newton,,AK,61.43
M.D. Jennings,,AK,57.00
Leroy Harris,,AK,53.00
Leroy Harris,,AK,53.00
Alex Carrington,,AK,37.40
Kelcie McCray,,AK,34.20
Ryan Carrethers,,AK,30.33
J.D. McKissic,,AK,27.00
Sean McGrath,,AK,23.00
Tyrell Johnson,,AK,21.50
Xavier Woodson-Luster,,AK,21.50
Bryan Hall,,AK,11.00
Chris Odom,,AK,11.00
Cam Newton,Auburn University,AL,98.13
Cam Newton,Furman University,AL,98.13
Tyreek Hill,University of West Alabama,AL,97.00
Julio Jones,University of Alabama,AL,94.63
Amari Cooper,University of Alabama,AL,89.00
Karlos Dansby,Auburn University,AL,88.43
DeMarcus Ware,Troy University,AL,86.33
Roddy White,,AL,85.80
Dalvin Tomlinson,University of Alabama,AL,85.00
Robert Mathis,,AL,85.00
Ben Grubbs,Auburn University,AL,84.60
Landon Collins,University of Alabama,AL,83.00
DeMeco Ryans,University of Alabama,AL,82.40
Takeo Spikes,Auburn University,AL,82.00
Marcell Dareus,University of Alabama,AL,81.75
Mark Ingram,University of Alabama,AL,80.88
Mark Ingram,,AL,80.88
Daryl Smith,University of North Alabama,AL,80.17
Daryl Smith,,AL,80.17
Ha Ha Clinton-Dix,University of Alabama,AL,79.20
Jarran Reed,University of Alabama,AL,79.00
Jarret Johnson,University of Alabama,AL,78.25
Eddie Lacy,University of Alabama,AL,77.20
D.J. Fluker,University of Alabama,AL,77.00
Kareem Jackson,University of Alabama,AL,76.75
Malcolm Butler,University of West Alabama,AL,76.40
Carlos Rogers,Auburn University,AL,76.00
James Carpenter,University of Alabama,AL,76.00
Reggie Ragland,University of Alabama,AL,76.00
Tyronne Green,Auburn University,AL,76.00
Rolando McClain,University of Alabama,AL,75.75
Ryan Kelly,University of Alabama,AL,75.00
Mark Barron,University of Alabama,AL,74.86
Evan Mathis,University of Alabama,AL,74.33
King Dunlap,Auburn University,AL,74.33
A'Shawn Robinson,University of Alabama,AL,73.67
Marcus McNeill,Auburn University,AL,73.00
Maurice Hurst,Birmingham-Southern College,AL,73.00
Isaiah Crowell,,AL,72.60
T.J. Yeldon,University of Alabama,AL,72.50
Roman Harper,University of Alabama,AL,71.50
Kenyan Drake,University of Alabama,AL,70.67
Greg Robinson,Auburn University,AL,70.00
Greg Robinson,University of Nevada-Las Vegas,AL,70.00
Greg Robinson,,AL,70.00
Steve McLendon,Troy University,AL,68.88
Leodis McKelvin,Troy University,AL,67.17
Courtney Upshaw,University of Alabama,AL,66.83
Rashad Johnson,University of Alabama,AL,66.83
Dee Ford,Auburn University,AL,66.20
Jerraud Powers,Auburn University,AL,66.00
Sen'Derrick Marks,Auburn University,AL,66.00
Michael Pierce,Samford University,AL,65.33
Nick Fairley,Auburn University,AL,64.33
Bryan Thomas,,AL,63.50
Ben Tate,Auburn University,AL,61.75
Dre Kirkpatrick,University of Alabama,AL,61.71
Sammie Lee Hill,,AL,61.40
Osi Umenyiora,Troy University,AL,61.25
Tre Mason,Auburn University,AL,60.50
Cortland Finnegan,Samford University,AL,59.80
DaVonte Lambert,Auburn University,AL,59.00
Jaquiski Tartt,Samford University,AL,59.00
Chance Warmack,University of Alabama,AL,58.83
Andre Smith,University of Alabama,AL,57.91
Andre Smith,,AL,57.91
Jay Ratliff,Auburn University,AL,57.80
Peyton Barber,Auburn University,AL,57.67
Devin Aromashodu,Auburn University,AL,57.00
Quinton Dial,University of Alabama,AL,56.20
Josh Bynes,Auburn University,AL,54.00
Anthony Steen,University of Alabama,AL,53.50
Antoine Caldwell,University of Alabama,AL,53.50
Lawrence Tynes,Troy University,AL,53.50
Mario Addison,Troy University,AL,53.38
Chris Hubbard,,AL,52.80
Charlie Peprah,University of Alabama,AL,52.50
