rank,team,name,salary,year
1,,"
Drew Brees
Quarterback
","$23,800,000  ",2015
2,,"
Philip Rivers
Quarterback
","$21,166,668  ",2015
3,,"
Calvin Johnson
Wide Receiver
","$20,558,000  ",2015
4,,"
Charles Johnson
Defensive End
","$20,020,000  ",2015
5,,"
Matt Ryan
Quarterback
","$19,500,000  ",2015
6,,"
Mario Williams
Defensive End
","$19,400,000  ",2015
7,,"
Aaron Rodgers
Quarterback
","$18,250,000  ",2015
8,,"
Matthew Stafford
Quarterback
","$17,721,250  ",2015
9,,"
Peyton Manning
Quarterback
","$17,500,000  ",2015
10,,"
Ben Roethlisberger
Quarterback
","$17,245,000  ",2015
11,,"
Robert Quinn
Outside Linebacker
","$16,744,111  ",2015
12,,"
Jay Cutler
Quarterback
","$16,500,000  ",2015
13,,"
Darrelle Revis
Cornerback
","$16,000,000  ",2015
14,,"
Alex Smith
Quarterback
","$15,600,000  ",2015
15,,"
Adrian Peterson
Running Back
","$15,400,000  ",2015
16,,"
Colin Kaepernick
Quarterback
","$15,265,753  ",2015
17,,"
Tony Romo
Quarterback
","$14,973,000  ",2015
18,,"
Patrick Peterson
Cornerback
","$14,791,491  ",2015
19,,"
A.J. Green
Wide Receiver
","$14,750,000  ",2015
,,"
Calais Campbell
Defensive End
","$14,750,000  ",2015
21,,"
Gerald McCoy
Defensive Tackle
","$14,595,000  ",2015
22,,"
Joe Flacco
Quarterback
","$14,550,000  ",2015
23,,"
Eli Manning
Quarterback
","$14,450,000  ",2015
24,,"
Tom Brady
Quarterback
","$14,000,000  ",2015
25,,"
J.J. Watt
Defensive End
","$13,969,000  ",2015
26,,"
Demaryius Thomas
Wide Receiver
","$13,200,000  ",2015
27,,"
Rodney Hudson
Center
","$13,000,000  ",2015
,,"
Cam Newton
Quarterback
","$13,000,000  ",2015
29,,"
Sam Bradford
Quarterback
","$12,985,000  ",2015
30,,"
Brandon Carr
Cornerback
","$12,717,000  ",2015
31,,"
Clay Matthews
Outside Linebacker
","$12,700,000  ",2015
32,,"
Chris Long
Defensive End
","$12,500,000  ",2015
33,,"
Julio Jones
Wide Receiver
","$12,400,000  ",2015
34,,"
Vincent Jackson
Wide Receiver
","$12,209,777  ",2015
35,,"
Richard Sherman
Cornerback
","$12,200,000  ",2015
36,,"
Julius Peppers
Defensive End
","$12,000,000  ",2015
37,,"
Ryan Kalil
Center
","$11,795,000  ",2015
