name,salary,year
Richard Seymour,"$17,818,000  ",2011
Mark Sanchez,"$17,228,125  ",2011
Dwight Freeney,"$16,420,000  ",2011
Larry Fitzgerald,"$16,250,000  ",2011
Mario Williams,"$16,200,000  ",2011
Peyton Manning,"$16,000,000  ",2011
Joe Thomas,"$15,960,000  ",2011
Elvis Dumervil,"$15,623,000  ",2011
Michael Vick,"$14,400,000  ",2011
Calvin Johnson,"$14,175,000  ",2011
Eli Manning,"$14,100,000  ",2011
Philip Rivers,"$13,510,000  ",2011
Matt Ryan,"$13,250,000  ",2011
Adrian Peterson,"$12,955,000  ",2011
Tom Brady,"$12,950,000  ",2011
Jake Long,"$12,800,000  ",2011
Drew Brees,"$12,574,700  ",2011
Paul Soliai,"$12,476,000  ",2011
Sam Bradford,"$12,465,000  ",2011
Ndamukong Suh,"$11,904,706  ",2011
Brian Urlacher,"$11,825,000  ",2011
Jason Smith,"$11,767,500  ",2011
Jared Allen,"$11,762,782  ",2011
Vincent Jackson,"$11,424,000  ",2011
Darrius Heyward-Bey,"$11,415,000  ",2011
Tyson Jackson,"$11,340,000  ",2011
Ben Roethlisberger,"$11,320,000  ",2011
Darrelle Revis,"$11,265,916  ",2011
Champ Bailey,"$11,000,000  ",2011
Darren McFadden,"$10,873,833  ",2011
Brandon Marshall,"$10,800,000  ",2011
Marcus McNeill,"$10,358,200  ",2011
John Abraham,"$10,083,333  ",2011
Terrell Suggs,"$10,020,000  ",2011
Charles Johnson,"$10,000,000  ",2011
Jordan Gross,"$10,000,000  ",2011
Terence Newman,"$10,000,000  ",2011
Stanford Routt,"$10,000,000  ",2011
Nnamdi Asomugha,"$10,000,000  ",2011
Steve Smith,"$9,993,750  ",2011
D'Brickashaw Ferguson,"$9,859,166  ",2011
Jay Cutler,"$9,500,000  ",2011
Davin Joseph,"$9,500,000  ",2011
Chris Long,"$9,482,500  ",2011
Steven Jackson,"$9,479,000  ",2011
Levi Brown,"$9,420,000  ",2011
Chris Gamble,"$9,244,117  ",2011
Matt Schaub,"$9,000,000  ",2011
Russell Okung,"$8,880,000  ",2011
Kyle Orton,"$8,879,000  ",2011
Ed Reed,"$8,871,428  ",2011
Charles Woodson,"$8,787,500  ",2011
Tony Gonzalez,"$8,734,375  ",2011
Andre Smith,"$8,686,750  ",2011
Earl Bennett,"$8,605,200  ",2011
Jason Witten,"$8,591,000  ",2011
Donald Penn,"$8,533,333  ",2011
Eric Steinbach,"$8,516,667  ",2011
Justin Smith,"$8,450,000  ",2011
Andrew Whitworth,"$8,390,000  ",2011
Tommy Kelly,"$8,383,266  ",2011
Kellen Winslow,"$8,290,000  ",2011
Troy Polamalu,"$8,282,500  ",2011
Reggie Wayne,"$8,273,333  ",2011
Will Smith,"$8,150,000  ",2011
Chris Hope,"$8,000,000  ",2011
Johnathan Joseph,"$8,000,000  ",2011
Trent Williams,"$7,984,863  ",2011
Dunta Robinson,"$7,900,000  ",2011
Greg Jennings,"$7,827,500  ",2011
Jonathan Vilma,"$7,812,500  ",2011
LaRon Landry,"$7,804,333  ",2011
Aaron Rodgers,"$7,750,000  ",2011
Dallas Clark,"$7,723,333  ",2011
LaMarr Woodley,"$7,700,000  ",2011
DeAngelo Williams,"$7,700,000  ",2011
Eric Berry,"$7,652,700  ",2011
