,index,Player,state
0,Acadia University,Brian Heaney,
1,Alabama A&M University,Mickell Gladness,AL
2,Alabama State University,Kevin Loder,AL
3,Albany State University,Caldwell Jones,GA
4,Albany State University,Major Jones,GA
5,Albany State University,Charles Jones,GA
6,Albany State University,Mark Jones,GA
7,Alcorn State University,Willie Norwood,MS
8,Alcorn State University,Larry Smith,MS
9,Alcorn State University,Michael Phelps,MS
10,Alcorn State University,LaBradford Smith,MS
11,Alliance College,Don Asmonga,
12,American International College,Mario Elie,
13,American University,Kermit Washington,DC
14,Appalachian State University,Belus Smawley,NC
15,Arizona State University,Joe Caldwell,AZ
16,Arizona State University,Dennis Hamilton,AZ
17,Arizona State University,Paul Stovall,AZ
18,Arizona State University,Jim Owens,AZ
19,Arizona State University,Lionel Hollins,AZ
20,Arizona State University,Rudy White,AZ
21,Arizona State University,Scott Lloyd,AZ
22,Arizona State University,Mark Landsberger,AZ
23,Arizona State University,Tony Zeno,AZ
24,Arizona State University,Alton Lister,AZ
25,Arizona State University,Kurt Nimphius,AZ
26,Arizona State University,Fat Lever,AZ
27,Arizona State University,Byron Scott,AZ
28,Arizona State University,Isaac Austin,AZ
29,Arizona State University,Mario Bennett,AZ
30,Arizona State University,Eddie House,AZ
31,Arizona State University,Mike Batiste,AZ
32,Arizona State University,Awvee Storey,AZ
33,Arizona State University,Ike Diogu,AZ
34,Arizona State University,James Harden,AZ
35,Arizona State University,Carrick Felix,AZ
36,Assumption College,Jake Jones,MA
37,Assumption College,James Jones,MA
38,Auburn University,John Mengelt,AL
39,Auburn University,Mike Mitchell,AL
40,Auburn University,Stan Pietkiewicz,AL
41,Auburn University,Myles Patrick,AL
42,Auburn University,Bobby Cattage,AL
43,Auburn University,Darrell Lockhart,AL
44,Auburn University,Charles Barkley*,AL
45,Auburn University,Chuck Person,AL
46,Auburn University,Chris Morris,AL
47,Auburn University,Wesley Person,AL
48,Auburn University,Aaron Swinson,AL
49,Auburn University,Chris Porter,AL
50,Auburn University,Jamison Brewer,AL
51,Auburn University,Pat Burke,AL
52,Auburn University,Adam Harrington,AL
53,Auburn University,Marquis Daniels,AL
54,Auburn University at Montgomery,Orlando Graham,AL
55,Auburn University at Montgomery,Etdrick Bohannon,AL
56,Augsburg College,Dan Anderson,MN
57,Augsburg College,Devean George,MN
58,Augsburg College,David Andersen,MN
59,Augusta State University,Garret Siler,
60,Augustana College (SD),Arvid Kramer,
61,Augustana College (SD),Brett Szabo,
62,Aurora University,Mickey Johnson,
63,Austin Peay State University,Otis Howard,TN
64,Austin Peay State University,Barry Sumpter,TN
65,Austin Peay State University,Howard Wright,TN
66,Austin Peay State University,Bubba Wells,TN
67,Austin Peay State University,Trenton Hassell,TN
68,Averett University,Kennard Winchester,
69,Ball State University,Bonzi Wells,IN
70,Ball State University,Theron Smith,IN
71,Barton County Community College,Aleksandar Radojevic,KS
72,Baylor University,Red Owens,TX
73,Baylor University,Vinnie Johnson,TX
74,Baylor University,Terry Teagle,TX
75,Baylor University,David Wesley,TX
76,Baylor University,Brian Skinner,TX
77,Baylor University,Ekpe Udoh,TX
78,Baylor University,Quincy Acy,TX
79,Baylor University,Perry Jones,TX
80,Baylor University,Quincy Miller,TX
81,Baylor University,Cory Jefferson,TX
82,Baylor University,Pierre Jackson,TX
83,Belmont Abbey College,Danny Doyle,NC
84,Belmont University,Ian Clark,TN
85,Beloit College,Johnny Orr,WI
86,Bemidji State University,Arnie Johnson,MN
87,Bemidji State University,Armon Johnson,MN
88,Bethel College,Joe Reaves,TN
89,Bethel College,Joe Reaves,IN
90,Blinn College,Chris Andersen,TX
91,Boise State University,Chris Childs,ID
92,Boise State University,John Coker,ID
93,Boise State University,Coby Karl,ID
94,Boston College,Gerry Ward,MA
95,Boston College,Johnny Austin,MA
96,Boston College,Terry Driscoll,MA
97,Boston College,Bob Carrington,MA
98,Boston College,John Bagley,MA
99,Boston College,John Garris,MA
100,Boston College,Jay Murphy,MA
101,Boston College,Michael Adams,MA
102,Boston College,Ron Crevier,MA
103,Boston College,Dominic Pressley,MA
104,Boston College,Dana Barros,MA
105,Boston College,Bill Curley,MA
106,Boston College,Howard Eisley,MA
107,Boston College,Troy Bell,MA
108,Boston College,Craig Smith,MA
109,Boston College,Jared Dudley,MA
110,Boston College,Sean Williams,MA
111,Boston College,Reggie Jackson,MA
112,Boston University,Jim Garvin,MA
113,Boston University,Ken Boyd,MA
114,Boston University,Gary Plummer,MA
115,Bowling Green State University,Leo Kubiak,OH
116,Bowling Green State University,Don Otten,OH
117,Bowling Green State University,Mac Otten,OH
118,Bowling Green State University,Johnny Payak,OH
119,Bowling Green State University,Chuck Share,OH
120,Bowling Green State University,Al Bianchi,OH
121,Bowling Green State University,Jimmy Darrow,OH
122,Bowling Green State University,Nate Thurmond*,OH
123,Bowling Green State University,Howard Komives,OH
124,Bowling Green State University,Al Hairston,OH
125,Bowling Green State University,Cliff Williams,OH
126,Bowling Green State University,Cornelius Cash,OH
127,Bowling Green State University,Antonio Daniels,OH
128,Bowling Green State University,Keith McLeod,OH
129,Bowling Green State University,Richaun Holmes,OH
130,Bradley University,Elmer Behnke,IL
131,Bradley University,Bob Carney,IL
132,Bradley University,Barney Cable,IL
133,Bradley University,Shellie McMillon,IL
134,Bradley University,Chet Walker*,IL
135,Bradley University,Joe Strawder,IL
136,Bradley University,Steve Kuberski,IL
137,Bradley University,Roger Phegley,IL
138,Bradley University,David Thirdkill,IL
139,Bradley University,Voise Winters,IL
140,Bradley University,Hersey Hawkins,IL
141,Bradley University,Jim Les,IL
142,Bradley University,Anthony Parker,IL
143,Bradley University,Patrick O'Bryant,IL
144,Brigham Young University,Brady Walker,UT
145,Brigham Young University,Mel Hutchins,UT
146,Brigham Young University,John Fairchild,UT
147,Brigham Young University,Craig Raymond,UT
148,Brigham Young University,Paul Ruffner,UT
149,Brigham Young University,Bernie Fryer,UT
150,Brigham Young University,Jim Eakins,UT
151,Brigham Young University,Danny Ainge,UT
152,Brigham Young University,Greg Kite,UT
153,Brigham Young University,Fred Roberts,UT
154,Brigham Young University,Devin Durrant,UT
155,Brigham Young University,Michael Smith,UT
156,Brigham Young University,Andy Toolson,UT
157,Brigham Young University,Shawn Bradley,UT
158,Brigham Young University,Mike Smith,UT
159,Brigham Young University,Travis Hansen,UT
160,Brigham Young University,Rafael Araujo,UT
161,Brigham Young University,Jimmer Fredette,UT
162,Brigham Young University,Brandon Davies,UT
163,Brigham Young University Hawaii,Yuta Tabuse,
164,Brown University,Mo Mahoney,RI
165,Bucknell University,Mike Muscala,PA
166,Butler University,Bob Evans,IN
167,Butler University,Ralph O'Brien,IN
168,Butler University,Gordon Hayward,IN
169,Butler University,Shelvin Mack,IN
170,"California Polytechnic State University, San Luis Obispo",David Nwaba,CA
171,"California State Polytechnic University, Pomona",Art Williams,
172,"California State University, Bakersfield",Kebu Stewart,
173,"California State University, Fresno",Gary Alcorn,
174,"California State University, Fresno",Pete Verhoeven,
175,"California State University, Fresno",Rod Higgins,
176,"California State University, Fresno",Ron Anderson,
177,"California State University, Fresno",Bernard Thompson,
178,"California State University, Fresno",Rafer Alston,
179,"California State University, Fresno",Chris Herren,
180,"California State University, Fresno",Terrance Roberson,
181,"California State University, Fresno",Tremaine Fowlkes,
182,"California State University, Fresno",Melvin Ely,
183,"California State University, Fresno",Chris Jefferies,
184,"California State University, Fresno",Tito Maddox,
185,"California State University, Fresno",Hiram Fuller,
186,"California State University, Fresno",Noel Felix,
187,"California State University, Fresno",Renaldo Major,
188,"California State University, Fresno",Dominic McGuire,
189,"California State University, Fresno",Paul George,
190,"California State University, Fresno",Tyler Johnson,
191,"California State University, Fullerton",Greg Bunch,
192,"California State University, Fullerton",Mike Niles,
193,"California State University, Fullerton",Ozell Jones,
194,"California State University, Fullerton",Leon Wood,
195,"California State University, Fullerton",Kevin Henderson,
196,"California State University, Fullerton",Richard Morton,
197,"California State University, Fullerton",Cedric Ceballos,
198,"California State University, Fullerton",Bruce Bowen,
199,"California State University, Fullerton",Pape Sow,
200,"California State University, Fullerton",Josh Akognon,
201,"California State University, Long Beach",George Trapp,
202,"California State University, Long Beach",Eric McWilliams,
203,"California State University, Long Beach",Chuck Terry,
204,"California State University, Long Beach",Ed Ratleff,
205,"California State University, Long Beach",Leonard Gray,
206,"California State University, Long Beach",Glenn McDonald,
207,"California State University, Long Beach",Bob Gross,
208,"California State University, Long Beach",Cliff Pondexter,
209,"California State University, Long Beach",Michael Wiley,
210,"California State University, Long Beach",Craig Dykema,
211,"California State University, Long Beach",Craig Hodges,
212,"California State University, Long Beach",Rickey Williams,
213,"California State University, Long Beach",Morlon Wiley,
214,"California State University, Long Beach",Lucious Harris,
215,"California State University, Long Beach",Bryon Russell,
216,"California State University, Long Beach",Juaquin Hawkins,
217,"California State University, Long Beach",Casper Ware,
218,"California State University, Long Beach",James Ennis,
219,"California State University, Los Angeles",John Barber,
220,"California State University, Los Angeles",Johnny Jones,
221,"California State University, Los Angeles",Ron Knight,
222,"California State University, Los Angeles",Michael Jackson,
223,"California State University, Northridge",Paul McCracken,
224,California University of Pennslyvania,Del Beshore,
225,Campbell University,George Lehmann,NC
226,Canisius College,Leroy Chollet,NY
227,Canisius College,Al Masino,NY
228,Canisius College,Herm Hedderick,NY
229,Canisius College,Johnny McCarthy,NY
230,Canisius College,Mike Macaluso,NY
231,Canisius College,Larry Fogle,NY
232,Canisius College,Mike Smrek,NY
233,Canisius College,Antonio Anderson,NY
234,Catholic University of America,Charley Shipp,DC
235,Centenary College of Louisiana,Connie Rea,LA
236,Centenary College of Louisiana,Robert Parish*,LA
237,Centenary College of Louisiana,Larry Robinson,LA
238,Central Connecticut State University,Keith Closs,CT
239,Central Connecticut State University,Corsley Edwards,CT
240,Central Michigan University,Ben Kelso,MI
241,Central Michigan University,Jim McElroy,MI
242,Central Michigan University,Dan Roundfield,MI
243,Central Michigan University,Ben Poquette,MI
244,Central Michigan University,Dan Majerle,MI
