,index,college,name,state
0,Allegheny College,Allegheny,Ronnie Anderson ,PA
1,Allegheny College,Allegheny,Eddie Wall,PA
2,Alma College,Alma,Mark Konecny,MI
3,Amherst College,Amherst,Freddie Scott,MA
4,Amherst College,Amherst,Kid Hill,MA
5,Amherst College,Amherst,Jean Fugett,MA
6,Amherst College,Amherst,Doug Swift,MA
7,Amherst College,Amherst,Sean Clancy,MA
8,Arizona State University,Arizona,Will Parks,AZ
9,Arizona State University,Arizona,Nic Grigsby,AZ
10,Arizona State University,Arizona,Juron Criner,AZ
11,Arizona State University,Arizona,Paul Robinson,AZ
12,Arizona State University,Arizona,Bob McCall,AZ
13,Arizona State University,Arizona,Jimmy Sprotte,AZ
14,Arizona State University,Arizona,Brandon Sanders ,AZ
15,Arizona State University,Arizona,Marcellus Greene,AZ
16,Arizona State University,Arizona,Mike Lucky,AZ
17,Arizona State University,Arizona,Emil Banjavic,AZ
18,Arizona State University,Arizona,Rod Barksdale,AZ
19,Arizona State University,Arizona,Brooks Reed,AZ
20,Arizona State University,Arizona,Glenn Parker,AZ
21,Arizona State University,Arizona,Copeland Bryan,AZ
22,Arizona State University,Arizona,Branko Smilanich,AZ
23,Arizona State University,Arizona,Trung Canidate,AZ
24,Arizona State University,Arizona,Michael Johnson,AZ
25,Arizona State University,Arizona,John Nies,AZ
26,Arizona State University,Arizona,Earl Mitchell ,AZ
27,Arizona State University,Arizona,Randy Robbins ,AZ
28,Arizona State University,Arizona,Chris Jennings,AZ
29,Arizona State University,Arizona,Floyd Hudlow,AZ
30,Arizona State University,Arizona,Joe Hernandez,AZ
31,Arizona State University,Arizona,Jim Arneson,AZ
32,Arizona State University,Arizona,Warren Livingston,AZ
33,Arizona State University,Arizona,Van Tuinei,AZ
34,Arizona State University,Arizona,Danny Lockett,AZ
35,Arizona State University,Arizona,Michael Bates,AZ
36,Arizona State University,Arizona,Ka'Deem Carey,AZ
37,Arizona State University,Arizona,Ricky Stevenson,AZ
38,Arizona State University,Arizona,Patrick Onwuasor,AZ
39,Arizona State University,Arizona,Bill McKinley,AZ
40,Arizona State University,Arizona,Edwin Mulitalo,AZ
41,Arizona State University,Arizona,Walt Nielsen,AZ
42,Arizona State University,Arizona,Curt DiGiacomo,AZ
43,Arizona State University,Arizona,Stan Mataele,AZ
44,Arizona State University,Arizona,Chuck Cecil,AZ
45,Arizona State University,Arizona,Tommie Smiley ,AZ
46,Arizona State University,Arizona,Jeff Kiewel,AZ
47,Arizona State University,Arizona,Spencer Larsen,AZ
48,Arizona State University,Arizona,Al Gross,AZ
49,Arizona State University,Arizona,Colin Baxter,AZ
50,Arizona State University,Arizona,Steven Grace,AZ
51,Arizona State University,Arizona,Ricky Elmore,AZ
52,Arizona State University,Arizona,Tom Greenfield,AZ
53,Arizona State University,Arizona,D'Aundre Reed,AZ
54,Arizona State University,Arizona,Marsharne Graves,AZ
