RK,TEAM,GMS,Total Attendance,Average Attendance,Attendance,GMS2,AVG3,PCT4,GMS5,AVG6,PCT7,year,sport,State,Team_Name,12,13,14,15,16,17,18,Spend,SM,PF,,SM-ALL,SM-W,SM-L,SM-T
1,Oakland,81,1476792,18232,52,81,30476,68.8,162,24354,61.4,2011,mlb,CA,A's,45,0,69967475,0,6515573,0,0,76483048,67,2,2011CAA's,162,74,88,0
2,Tampa Bay,81,1529188,18878,55.4,81,28353,65.1,162,23616,60.8,2011,mlb,FL,Rays,38,0,45728532,0,370000,0,0,46098532,48,20,2011FLRays,162,91,71,0
3,Florida,80,1520562,19007,48.8,80,30834,70.5,160,24920,60.3,2011,mlb,FL,Marlins,41,0,63287393,0,2000000,0,0,65287393,65,22,2011FLMarlins,162,72,90,0
4,Kansas City,81,1724450,21289,56.2,81,29257,68.7,162,25273,62.8,2011,mlb,MO,Royals,34,0,38803600,0,509673,1380000,0,40693273,84,31,2011MORoyals,162,71,91,0
5,Baltimore,80,1755461,21943,48.3,81,27819,66.2,161,24899,56.9,2011,mlb,MD,Orioles,49,0,94391741,0,0,0,0,94391741,36,87,2011MDOrioles,162,69,93,0
6,Toronto,81,1818103,22445,45.6,81,27656,64.6,162,25051,54.4,2011,mlb,TT,Blue Jays,38,0,56304461,0,17187143,0,0,73491604,41,14,2011TTBlue Jays,162,81,81,0
7,Cleveland,81,1840835,22726,52.3,81,30671,72.4,162,26698,62.2,2011,mlb,OH,Indians,45,0,55960593,0,0,0,0,55960593,14,54,2011OHIndians,162,80,82,0
8,Seattle,81,1896321,23411,48.9,81,27873,65.9,162,25642,56.9,2011,mlb,WA,Mariners,42,0,88907834,0,12521314,0,0,101429148,78,38,2011WAMariners,162,67,95,0
9,Pittsburgh,80,1940429,24255,63.2,80,30905,70.4,160,27580,67.1,2011,mlb,PA,Pirates,45,0,46784667,0,1808060,0,0,48592727,14,73,2011PAPirates,162,79,83,0
10,Chicago White Sox,81,2001117,24705,60.8,81,29256,68.2,162,26980,64.6,2011,mlb,IL,White Sox,40,0,123584951,0,7038798,0,0,130623749,44,71,2011ILWhite Sox,162,79,83,0
11,Washington,78,1940478,24877,59.9,81,29484,67,159,27224,63.6,2011,mlb,DC,Nationals,44,0,72988723,0,0,2000000,0,74988723,44,8,2011DCNationals,162,73,89,0
12,Houston,81,2067016,25518,62.3,81,28588,65,162,27053,63.7,2011,mlb,TX,Astros,42,0,72098000,0,13476503,0,0,85574503,87,39,2011TXAstros,162,56,106,0
13,Arizona,81,2105432,25992,53.4,81,30175,68.3,162,28084,60.5,2011,mlb,AZ,Diamondbacks,38,0,57930520,0,6954451,900000,0,65784971,57,100,2011AZDiamondbacks,162,94,68,0
14,San Diego,81,2143018,26457,62,81,32929,72.8,162,29693,67.5,2011,mlb,CA,Padres,37,0,47418810,0,600000,0,0,48018810,50,60,2011CAPadres,162,71,91,0
15,Cincinnati,81,2213498,27327,64.6,80,33120,77.2,161,30205,70.9,2011,mlb,OH,Reds,38,0,79612874,0,2307672,0,0,81920546,24,88,2011OHReds,162,79,83,0
16,Atlanta,79,2372940,30037,60.4,81,31029,71.7,160,30539,65.7,2011,mlb,GA,Braves,43,0,98521630,0,1308600,0,0,99830230,85,7,2011GABraves,162,89,73,0
