Year,Winning team,WinningCoach,Games,Losing team,LosingCoach,sport
2011,St. Louis Cardinals,Tony La Russa,4–3,Texas Rangers ,Ron Washington,mlb
2012,San Francisco Giants ,Bruce Bochy,4–0,Detroit Tigers ,Jim Leyland,mlb
2013,Boston Red Sox ,John Farrell,4–2,St. Louis Cardinals ,Mike Matheny,mlb
2014,San Francisco Giants,Bruce Bochy,4–3,Kansas City Royals ,Ned Yost,mlb
2015,Kansas City Royals ,Ned Yost,4–1,New York Mets ,Terry Collins,mlb
2016,Chicago Cubs ,Joe Maddon,4–3,Cleveland Indians ,Terry Francona,mlb
2017,Houston Astros,A. J. Hinch,4–3,Los Angeles Dodgers ,Dave Roberts,mlb
2018,Boston Red Sox ,Alex Cora,4–1,Los Angeles Dodgers ,Dave Roberts,mlb
2011,Dallas Mavericks ,Rick Carlisle,4–2,Miami Heat ,Erik Spoelstra,nba
2012,Miami Heat ,Erik Spoelstra,4–1,Oklahoma City Thunder ,Scott Brooks,nba
2013,Miami Heat ,Erik Spoelstra,4–3,San Antonio Spurs ,Gregg Popovich,nba
2014,San Antonio Spurs ,Gregg Popovich,4–1,Miami Heat ,Erik Spoelstra,nba
2015,Golden State Warriors ,Steve Kerr,4–2,Cleveland Cavaliers ,David Blatt,nba
2016,Cleveland Cavaliers ,Tyronn Lue,4–3,Golden State Warriors ,Steve Kerr,nba
2017,Golden State Warriors ,Steve Kerr,4–1,Cleveland Cavaliers ,Tyronn Lue,nba
2018,Golden State Warriors ,Steve Kerr,4–0,Cleveland Cavaliers ,Tyronn Lue,nba
2019,Toronto Raptors ,Nick Nurse,4–2,Golden State Warriors ,Steve Kerr,nba
2011,New York Giants ,,21–17,New England Patriots,,nfl
2012,Baltimore Ravens ,,34–31,San Francisco 49ers,,nfl
2013,Seattle Seahawks ,,43–8,Denver Broncos,,nfl
2014,New England Patriots ,,28–24,Seattle Seahawks,,nfl
2015,Denver Broncos ,,24–10,Carolina Panthers,,nfl
2016,New England Patriots ,,34–28 (OT),Atlanta Falcons,,nfl
2017,Philadelphia Eagles ,,41–33,New England Patriots,,nfl
2018,New England Patriots ,,13–3,Los Angeles Rams,,nfl
