Rank,Team,Roster,25-Man Payroll,Injured Reserve,Retained,Buried,Suspended,2011 Total Payroll,year,sport
1,New York Yankees,41.0,"$212,609,678",,"$950,000",,,"$213,559,678",2011,mlb
2,Boston Red Sox,47.0,"$164,517,590",,"$8,239,278",,,"$172,553,261",2011,mlb
3,Philadelphia Phillies,38.0,"$169,799,882",,"$168,300",,,"$169,968,182",2011,mlb
4,Los Angeles Angels of Anaheim,38.0,"$133,613,959",,"$13,034,600",,,"$146,648,559",2011,mlb
5,New York Mets,38.0,"$96,163,418",,"$45,668,423",,,"$141,831,841",2011,mlb
6,Chicago Cubs,40.0,"$124,652,698",,"$14,825,000",,,"$139,477,698",2011,mlb
7,Chicago White Sox,40.0,"$123,584,951",,"$7,038,798",,,"$130,623,749",2011,mlb
8,San Francisco Giants,39.0,"$124,882,250",,"$1,100,000",,,"$125,982,250",2011,mlb
9,Los Angeles Dodgers,41.0,"$98,679,615",,"$19,989,000",,,"$118,668,615",2011,mlb
10,St. Louis Cardinals,39.0,"$113,348,748",,"$2,808,564","$700,000",,"$116,857,312",2011,mlb
11,Minnesota Twins,29.0,"$106,871,000",,"$7,108,594",,,"$113,979,594",2011,mlb
12,Detroit Tigers,36.0,"$111,271,015",,"$250,000",,,"$111,521,015",2011,mlb
13,Texas Rangers,39.0,"$99,272,920",,"$4,468,801",,,"$103,741,721",2011,mlb
14,Seattle Mariners,42.0,"$88,907,834",,"$12,521,314",,,"$101,429,148",2011,mlb
15,Atlanta Braves,43.0,"$98,521,630",,"$1,308,600",,,"$99,830,230",2011,mlb
16,Baltimore Orioles,49.0,"$94,391,741",,,,,"$94,391,741",2011,mlb
17,Milwaukee Brewers,45.0,"$92,127,802",,,,,"$92,127,802",2011,mlb
18,Houston Astros,42.0,"$72,098,000",,"$13,476,503",,,"$85,574,503",2011,mlb
19,Colorado Rockies,32.0,"$77,731,972",,"$5,530,198",,,"$83,262,170",2011,mlb
20,Cincinnati Reds,38.0,"$79,612,874",,"$2,307,672",,,"$81,920,546",2011,mlb
21,Oakland Athletics,45.0,"$69,967,475",,"$6,515,573",,,"$76,483,048",2011,mlb
22,Washington Nationals,44.0,"$72,988,723",,,"$2,000,000",,"$74,988,723",2011,mlb
23,Toronto Blue Jays,38.0,"$56,304,461",,"$17,187,143",,,"$73,491,604",2011,mlb
24,Arizona Diamondbacks,38.0,"$57,930,520",,"$6,954,451","$900,000",,"$65,784,971",2011,mlb
25,Florida Marlins,41.0,"$63,287,393",,"$2,000,000",,,"$65,287,393",2011,mlb
26,Cleveland Indians,45.0,"$55,960,593",,,,,"$55,960,593",2011,mlb
27,Pittsburgh Pirates,45.0,"$46,784,667",,"$1,808,060",,,"$48,592,727",2011,mlb
28,San Diego Padres,37.0,"$47,418,810",,"$600,000",,,"$48,018,810",2011,mlb
29,Tampa Bay Rays,38.0,"$45,728,532",,"$370,000",,,"$46,098,532",2011,mlb
30,Kansas City Royals,34.0,"$38,803,600",,"$509,673","$1,380,000",,"$40,693,273",2011,mlb
1,New York Yankees,42.0,"$214,396,932",,"$14,098,524",,,"$228,495,456",2012,mlb
2,Philadelphia Phillies,45.0,"$169,582,490",,"$10,318,033",,,"$179,900,523",2012,mlb
3,Boston Red Sox,47.0,"$168,455,280",,"$6,823,771",,,"$175,279,051",2012,mlb
4,Los Angeles Angels of Anaheim,36.0,"$153,844,690",,"$3,323,935",,,"$157,168,625",2012,mlb
5,Detroit Tigers,42.0,"$138,762,284",,"$5,500,000",,,"$144,262,284",2012,mlb
6,Texas Rangers,40.0,"$134,976,346",,"$3,250,000",,,"$138,226,346",2012,mlb
7,San Francisco Giants,41.0,"$122,825,338",,"$14,697,867",,,"$137,523,205",2012,mlb
8,Los Angeles Dodgers,45.0,"$112,952,717",,"$7,832,000",,,"$120,784,717",2012,mlb
9,St. Louis Cardinals,44.0,"$118,985,685",,"$1,475,684",,,"$120,461,369",2012,mlb
10,Chicago Cubs,50.0,"$83,799,366",,"$32,542,160",,,"$116,341,526",2012,mlb
11,Milwaukee Brewers,47.0,"$108,461,584",,"$2,443,716",,,"$110,905,300",2012,mlb
12,Minnesota Twins,49.0,"$109,130,327",,,,,"$109,130,327",2012,mlb
13,Chicago White Sox,40.0,"$108,250,892",,"$721,311",,,"$108,972,203",2012,mlb
14,New York Mets,43.0,"$101,930,952",,"$3,938,524",,,"$105,869,476",2012,mlb
15,Miami Marlins,40.0,"$81,018,688",,"$17,249,970","$850,000",,"$98,392,974",2012,mlb
16,Washington Nationals,43.0,"$95,836,048",,"$420,765","$2,000,000",,"$98,256,813",2012,mlb
17,Atlanta Braves,37.0,"$86,492,616",,"$11,435,440",,,"$97,928,056",2012,mlb
18,Toronto Blue Jays,42.0,"$90,559,953",,"$6,083,969","$650,000",,"$97,293,922",2012,mlb
19,Cincinnati Reds,40.0,"$89,101,498",,,"$800,000",,"$89,901,498",2012,mlb
20,Colorado Rockies,43.0,"$77,376,456",,"$10,834,425",,,"$88,210,881",2012,mlb
21,Seattle Mariners,45.0,"$73,220,850",,"$11,218,580",,,"$84,439,430",2012,mlb
22,Baltimore Orioles,41.0,"$80,099,381",,"$3,626,487",,,"$83,725,868",2012,mlb
23,Arizona Diamondbacks,41.0,"$73,439,259",,"$8,336,613","$1,183,333",,"$82,959,205",2012,mlb
24,Cleveland Indians,51.0,"$71,325,549",,"$5,993,989",,,"$77,319,538",2012,mlb
25,Kansas City Royals,45.0,"$66,385,000",,"$2,579,235","$1,380,000",,"$70,344,235",2012,mlb
26,Tampa Bay Rays,38.0,"$68,232,330",,"$2,010,000",,,"$70,242,330",2012,mlb
27,San Diego Padres,39.0,"$60,061,913",,"$2,550,000","$747,500",,"$63,839,413",2012,mlb
28,Pittsburgh Pirates,44.0,"$58,617,066",,"$3,186,203",,,"$61,803,269",2012,mlb
29,Oakland Athletics,45.0,"$56,723,737",,"$2,249,836",,,"$58,973,573",2012,mlb
30,Houston Astros,43.0,"$23,728,500",,"$30,818,739",,,"$54,547,239",2012,mlb
31,Florida Marlins,0.0,,,"$918,033",,,"$918,033",2012,mlb
1,Los Angeles Dodgers,39.0,"$207,344,759","$505,000","$25,747,116","$7,977,500",,"$239,894,375",2013,mlb
2,New York Yankees,39.0,"$207,768,301","$14,900,000","$14,645,450","$3,008,675",,"$239,288,940",2013,mlb
3,Boston Red Sox,41.0,"$155,978,895","$7,040,000","$5,340,903","$3,630,000",,"$170,734,264",2013,mlb
4,Philadelphia Phillies,40.0,"$153,273,261","$1,755,291","$8,307,527","$980,000",,"$163,536,898",2013,mlb
5,Detroit Tigers,32.0,"$145,423,867","$3,994,000","$5,805,672",,,"$155,223,539",2013,mlb
6,Los Angeles Angels of Anaheim,35.0,"$116,449,230","$870,218","$23,845,171","$1,963,000",,"$141,435,103",2013,mlb
7,San Francisco Giants,37.0,"$135,382,980","$2,498,000","$2,157,977","$490,500",,"$140,280,186",2013,mlb
8,Texas Rangers,39.0,"$114,162,497","$10,465,901","$13,104,000","$2,461,100",,"$137,937,146",2013,mlb
9,Toronto Blue Jays,41.0,"$118,289,792",,"$5,613,565","$10,690,000",,"$131,771,168",2013,mlb
10,St. Louis Cardinals,38.0,"$95,053,922","$20,000,000","$5,406,476","$980,000",,"$120,516,627",2013,mlb
11,Washington Nationals,38.0,"$110,761,470","$491,000","$3,537,090","$2,980,000",,"$116,883,274",2013,mlb
12,Chicago White Sox,35.0,"$82,929,539",,"$28,663,303","$980,000",,"$111,777,595",2013,mlb
13,Cincinnati Reds,34.0,"$97,657,483","$4,773,114",,"$2,180,000",,"$103,804,640",2013,mlb
14,New York Mets,38.0,"$44,861,236","$26,000,625","$29,697,743","$1,976,144",,"$101,300,814",2013,mlb
15,Baltimore Orioles,40.0,"$96,366,019","$2,000,000","$2,007,009","$490,000",,"$100,415,869",2013,mlb
16,Chicago Cubs,38.0,"$48,057,243","$6,763,715","$40,905,330","$5,690,000",,"$100,052,899",2013,mlb
17,Atlanta Braves,35.0,"$86,661,842","$7,739,750","$202,972","$1,471,250",,"$94,947,950",2013,mlb
18,Cleveland Indians,34.0,"$68,279,465","$8,602,603","$13,914,068","$2,668,600",,"$93,008,897",2013,mlb
19,Arizona Diamondbacks,33.0,"$75,126,043","$3,000,000","$9,916,749","$2,947,500",,"$88,316,478",2013,mlb
20,Milwaukee Brewers,35.0,"$69,142,690","$1,473,000","$7,818,853","$980,000","$9,500,000","$88,221,045",2013,mlb
21,Kansas City Royals,39.0,"$75,494,673","$1,100,000","$6,399,663","$1,870,000",,"$84,398,434",2013,mlb
22,Seattle Mariners,34.0,"$63,266,296","$492,200","$19,217,866","$980,000",,"$83,220,022",2013,mlb
23,Minnesota Twins,35.0,"$56,942,945","$1,665,000","$17,083,194","$6,480,000",,"$81,458,898",2013,mlb
24,Colorado Rockies,39.0,"$74,020,354",,"$1,459,705","$4,265,500",,"$79,271,624",2013,mlb
25,Tampa Bay Rays,40.0,"$67,029,393","$3,270,436","$4,222,200","$490,000",,"$74,572,903",2013,mlb
26,San Diego Padres,40.0,"$63,615,894","$605,000","$8,875,201","$1,472,800",,"$73,286,341",2013,mlb
27,Pittsburgh Pirates,37.0,"$65,262,905","$2,500,000","$832,370","$4,098,000",,"$71,480,984",2013,mlb
28,Oakland Athletics,38.0,"$62,190,572","$2,875,000","$1,984,590","$490,000",,"$67,055,517",2013,mlb
29,Miami Marlins,35.0,"$23,618,327","$4,170,000","$6,896,666","$2,450,000",,"$36,028,542",2013,mlb
30,Houston Astros,33.0,"$11,675,066","$893,384","$21,912,961","$1,290,000",,"$35,567,913",2013,mlb
1,Los Angeles Dodgers,35.0,"$234,067,142","$1,500,000","$7,100,000","$3,700,000",,"$246,367,142",2014,mlb
2,New York Yankees,37.0,"$198,020,464",,"$16,763,048","$1,022,125",,"$214,898,031",2014,mlb
3,Philadelphia Phillies,30.0,"$145,123,014","$25,000,000","$4,263,731","$3,500,000",,"$175,061,605",2014,mlb
4,Detroit Tigers,35.0,"$147,009,969","$17,310,000","$7,255,247","$1,504,000",,"$171,996,220",2014,mlb
5,San Francisco Giants,42.0,"$152,735,333",,"$18,501,449","$750,000",,"$171,336,782",2014,mlb
6,Boston Red Sox,38.0,"$95,417,971",,"$61,397,733","$500,000",,"$170,095,758",2014,mlb
7,Los Angeles Angels of Anaheim,41.0,"$132,451,972",,"$32,051,279","$900,000",,"$165,403,251",2014,mlb
8,Washington Nationals,38.0,"$149,257,210","$77,160","$136,612",,,"$149,470,982",2014,mlb
9,Toronto Blue Jays,37.0,"$122,125,961","$3,000,000","$5,186,211","$11,500,000",,"$141,812,172",2014,mlb
10,Texas Rangers,47.0,"$129,809,240","$1,002,163","$8,819,180",,,"$139,630,583",2014,mlb
11,St. Louis Cardinals,38.0,"$114,533,043",,"$5,699,886","$1,000,000",,"$121,232,929",2014,mlb
12,Atlanta Braves,39.0,"$102,713,304",,"$14,100,492","$1,000,000",,"$116,865,707",2014,mlb
13,Baltimore Orioles,36.0,"$105,470,318","$3,000,000","$2,282,926","$3,225,000",,"$113,562,943",2014,mlb
14,Cincinnati Reds,35.0,"$99,229,931","$6,000,000","$6,890,711","$2,714,285",,"$113,351,318",2014,mlb
15,Milwaukee Brewers,36.0,"$108,174,589",,"$2,320,491","$1,000,000",,"$110,577,046",2014,mlb
16,Seattle Mariners,39.0,"$98,030,060","$2,800,000","$3,504,114","$1,700,000",,"$107,034,174",2014,mlb
17,Arizona Diamondbacks,40.0,"$68,514,917","$9,500,000","$28,134,272","$2,500,000",,"$106,482,519",2014,mlb
18,Kansas City Royals,36.0,"$90,536,848",,"$4,686,452","$3,335,000",,"$98,558,300",2014,mlb
19,Colorado Rockies,39.0,"$96,456,583",,"$202,995",,,"$96,659,578",2014,mlb
