,Player,PER,PER_Percentile,state,college
0,Sim Bhullar,44.3,99,NM,New Mexico State University
1,Anthony Brown,41.9,99,IL,DePaul University
2,Anthony Brown,7.2,11,IL,DePaul University
3,Anthony Brown,4.9,6,IL,DePaul University
4,Eric Moreland,40.8,99,OR,Oregon State University
5,Eric Moreland,13.9,58,OR,Oregon State University
6,Eric Moreland,7.4,12,OR,Oregon State University
7,David Stockton,33.9,99,WA,Gonzaga University
8,David Stockton,10.8,32,WA,Gonzaga University
9,Orien Greene,33.0,99,LA,University of Louisiana at Lafayette
10,Rakeem Christmas,32.0,99,NY,Syracuse University
11,Rakeem Christmas,10.4,29,NY,Syracuse University
12,Jarnell Stokes,31.5,99,TN,University of Tennessee
13,Jarnell Stokes,20.0,91,TN,University of Tennessee
14,Jarnell Stokes,18.6,87,TN,University of Tennessee
15,Stephen Curry,31.5,99,NC,Davidson College
16,Stephen Curry,28.2,99,NC,Davidson College
17,Stephen Curry,28.0,99,NC,Davidson College
18,Stephen Curry,24.6,97,NC,Davidson College
19,Stephen Curry,24.1,97,NC,Davidson College
20,Stephen Curry,21.3,94,NC,Davidson College
21,Stephen Curry,21.2,94,NC,Davidson College
22,Stephen Curry,19.4,90,NC,Davidson College
23,Tyrus Thomas,31.4,99,LA,Louisiana State University
24,Tyrus Thomas,18.2,86,LA,Louisiana State University
25,Tyrus Thomas,9.6,23,LA,Louisiana State University
26,Tyrus Thomas,9.0,19,LA,Louisiana State University
27,Tony Mitchell,30.9,99,IN,Purdue University
28,Tony Mitchell,18.1,85,IN,Purdue University
29,Anthony Davis,30.8,99,TX,University of Texas at El Paso
30,Anthony Davis,28.9,99,TX,University of Texas at El Paso
31,Anthony Davis,27.5,99,TX,University of Texas at El Paso
32,Anthony Davis,26.5,98,TX,University of Texas at El Paso
33,Anthony Davis,25.0,97,TX,University of Texas at El Paso
34,Anthony Davis,21.7,95,TX,University of Texas at El Paso
35,Demetrius Jackson,30.8,99,IN,University of Notre Dame
36,Demetrius Jackson,5.4,7,IN,University of Notre Dame
37,Russell Westbrook,30.6,99,CA,"University of California, Los Angeles"
38,Russell Westbrook,29.1,99,CA,"University of California, Los Angeles"
39,Russell Westbrook,27.6,99,CA,"University of California, Los Angeles"
40,Russell Westbrook,24.7,97,CA,"University of California, Los Angeles"
41,Russell Westbrook,24.7,97,CA,"University of California, Los Angeles"
42,Russell Westbrook,23.9,97,CA,"University of California, Los Angeles"
43,Russell Westbrook,23.6,96,CA,"University of California, Los Angeles"
44,Russell Westbrook,22.9,96,CA,"University of California, Los Angeles"
45,James Harden,29.8,99,AZ,Arizona State University
46,James Harden,27.4,98,AZ,Arizona State University
47,James Harden,26.7,98,AZ,Arizona State University
48,James Harden,25.3,98,AZ,Arizona State University
49,James Harden,23.5,96,AZ,Arizona State University
50,James Harden,23.0,96,AZ,Arizona State University
51,James Harden,21.1,93,AZ,Arizona State University
52,James Harden,16.4,77,AZ,Arizona State University
53,Kevin Durant,29.8,99,TX,University of Texas at Austin
54,Kevin Durant,28.3,99,TX,University of Texas at Austin
55,Kevin Durant,28.2,99,TX,University of Texas at Austin
56,Kevin Durant,27.6,99,TX,University of Texas at Austin
57,Kevin Durant,27.6,99,TX,University of Texas at Austin
58,Kevin Durant,26.2,98,TX,University of Texas at Austin
59,Kevin Durant,26.0,98,TX,University of Texas at Austin
60,Kevin Durant,23.6,96,TX,University of Texas at Austin
61,Henry Sims,29.2,99,DC,Georgetown University
62,Henry Sims,16.1,75,DC,Georgetown University
63,Henry Sims,14.5,63,DC,Georgetown University
64,Henry Sims,13.9,58,DC,Georgetown University
65,Kawhi Leonard,27.6,99,CA,San Diego State University
66,Kawhi Leonard,26.0,98,CA,San Diego State University
67,Kawhi Leonard,26.0,98,CA,San Diego State University
68,Kawhi Leonard,22.0,95,CA,San Diego State University
69,Kawhi Leonard,19.4,90,CA,San Diego State University
70,Kawhi Leonard,16.6,78,CA,San Diego State University
71,Kawhi Leonard,16.4,77,CA,San Diego State University
72,Chris Paul,27.0,98,NC,Wake Forest University
73,Chris Paul,26.4,98,NC,Wake Forest University
74,Chris Paul,26.2,98,NC,Wake Forest University
75,Chris Paul,26.2,98,NC,Wake Forest University
76,Chris Paul,26.0,98,NC,Wake Forest University
77,Chris Paul,25.9,98,NC,Wake Forest University
78,Chris Paul,24.4,97,NC,Wake Forest University
79,Chris Paul,23.7,97,NC,Wake Forest University
80,Kevin Love,26.9,98,CA,"University of California, Los Angeles"
81,Kevin Love,25.4,98,CA,"University of California, Los Angeles"
82,Kevin Love,24.3,97,CA,"University of California, Los Angeles"
83,Kevin Love,22.4,95,CA,"University of California, Los Angeles"
84,Kevin Love,21.1,93,CA,"University of California, Los Angeles"
85,Kevin Love,19.0,88,CA,"University of California, Los Angeles"
86,Kevin Love,18.8,88,CA,"University of California, Los Angeles"
87,Kevin Love,17.9,85,CA,"University of California, Los Angeles"
88,Isaiah Thomas,26.5,98,IN,Indiana University
89,Isaiah Thomas,21.5,94,IN,Indiana University
90,Isaiah Thomas,20.6,93,IN,Indiana University
91,Isaiah Thomas,20.5,92,IN,Indiana University
92,Isaiah Thomas,17.6,83,IN,Indiana University
93,Isaiah Thomas,17.5,82,IN,Indiana University
94,Isaiah Thomas,12.6,47,IN,Indiana University
95,Dwyane Wade,26.3,98,WI,Marquette University
96,Dwyane Wade,25.6,98,WI,Marquette University
97,Dwyane Wade,24.0,97,WI,Marquette University
98,Dwyane Wade,22.0,95,WI,Marquette University
99,Dwyane Wade,21.4,94,WI,Marquette University
100,Dwyane Wade,20.3,92,WI,Marquette University
101,Dwyane Wade,18.5,87,WI,Marquette University
102,Dwyane Wade,15.0,67,WI,Marquette University
103,Hassan Whiteside,26.2,98,WV,Marshall University
104,Hassan Whiteside,25.7,98,WV,Marshall University
105,Hassan Whiteside,24.1,97,WV,Marshall University
106,Hassan Whiteside,22.6,96,WV,Marshall University
107,Hassan Whiteside,16.2,76,WV,Marshall University
108,Hassan Whiteside,-17.9,0,WV,Marshall University
109,MarShon Brooks,26.1,98,RI,Providence College
110,MarShon Brooks,15.5,71,RI,Providence College
111,MarShon Brooks,13.5,55,RI,Providence College
112,MarShon Brooks,12.9,50,RI,Providence College
113,DeMarcus Cousins,26.1,98,KY,University of Kentucky
114,DeMarcus Cousins,25.8,98,KY,University of Kentucky
115,DeMarcus Cousins,25.2,97,KY,University of Kentucky
116,DeMarcus Cousins,23.6,96,KY,University of Kentucky
117,DeMarcus Cousins,22.6,96,KY,University of Kentucky
118,DeMarcus Cousins,21.7,95,KY,University of Kentucky
119,DeMarcus Cousins,20.2,92,KY,University of Kentucky
120,DeMarcus Cousins,14.6,64,KY,University of Kentucky
121,Josh Huestis,26.1,98,CA,Stanford University
122,Josh Huestis,6.7,10,CA,Stanford University
123,Josh Huestis,5.4,7,CA,Stanford University
124,Karl-Anthony Towns,25.9,98,KY,University of Kentucky
125,Karl-Anthony Towns,24.9,97,KY,University of Kentucky
126,Karl-Anthony Towns,22.5,95,KY,University of Kentucky
127,Jonathan Gibson,25.4,98,NM,New Mexico State University
128,Jonathan Gibson,9.5,22,NM,New Mexico State University
129,Brook Lopez,25.4,98,CA,Stanford University
130,Brook Lopez,24.7,97,CA,Stanford University
131,Brook Lopez,22.7,96,CA,Stanford University
132,Brook Lopez,21.9,95,CA,Stanford University
133,Brook Lopez,21.7,95,CA,Stanford University
134,Brook Lopez,20.4,92,CA,Stanford University
135,Brook Lopez,19.3,89,CA,Stanford University
136,Brook Lopez,16.4,77,CA,Stanford University
137,JaVale McGee,25.2,97,NV,"University of Nevada, Reno"
138,JaVale McGee,22.3,95,NV,"University of Nevada, Reno"
139,JaVale McGee,20.7,93,NV,"University of Nevada, Reno"
140,JaVale McGee,19.9,91,NV,"University of Nevada, Reno"
141,JaVale McGee,19.9,91,NV,"University of Nevada, Reno"
142,JaVale McGee,17.4,82,NV,"University of Nevada, Reno"
143,JaVale McGee,14.4,62,NV,"University of Nevada, Reno"
144,JaVale McGee,10.2,27,NV,"University of Nevada, Reno"
145,Damian Lillard,25.2,97,UT,Weber State University
146,Damian Lillard,24.1,97,UT,Weber State University
147,Damian Lillard,22.2,95,UT,Weber State University
148,Damian Lillard,20.7,93,UT,Weber State University
149,Damian Lillard,18.6,87,UT,Weber State University
150,Damian Lillard,16.4,77,UT,Weber State University
151,Jimmy Butler,25.1,97,WI,Marquette University
152,Jimmy Butler,23.7,97,WI,Marquette University
153,Jimmy Butler,21.3,94,WI,Marquette University
154,Jimmy Butler,21.3,94,WI,Marquette University
155,Jimmy Butler,15.2,68,WI,Marquette University
156,Jimmy Butler,13.5,55,WI,Marquette University
157,Jimmy Butler,12.5,46,WI,Marquette University
158,Kyrie Irving,25.0,97,NC,Duke University
159,Kyrie Irving,23.0,96,NC,Duke University
160,Kyrie Irving,21.5,94,NC,Duke University
161,Kyrie Irving,21.4,94,NC,Duke University
162,Kyrie Irving,21.4,94,NC,Duke University
163,Kyrie Irving,20.1,91,NC,Duke University
164,Kyrie Irving,19.9,91,NC,Duke University
165,LaMarcus Aldridge,25.0,97,TX,University of Texas at Austin
166,LaMarcus Aldridge,22.8,96,TX,University of Texas at Austin
167,LaMarcus Aldridge,22.7,96,TX,University of Texas at Austin
168,LaMarcus Aldridge,22.4,95,TX,University of Texas at Austin
169,LaMarcus Aldridge,21.8,95,TX,University of Texas at Austin
170,LaMarcus Aldridge,21.5,94,TX,University of Texas at Austin
171,LaMarcus Aldridge,20.4,92,TX,University of Texas at Austin
172,LaMarcus Aldridge,18.6,87,TX,University of Texas at Austin
173,Carmelo Anthony,24.8,97,NY,Syracuse University
174,Carmelo Anthony,24.4,97,NY,Syracuse University
175,Carmelo Anthony,21.7,95,NY,Syracuse University
176,Carmelo Anthony,21.5,94,NY,Syracuse University
177,Carmelo Anthony,21.1,93,NY,Syracuse University
178,Carmelo Anthony,20.3,92,NY,Syracuse University
179,Carmelo Anthony,17.9,85,NY,Syracuse University
180,Carmelo Anthony,12.7,48,NY,Syracuse University
181,Montrezl Harrell,24.7,97,KY,University of Louisville
182,Montrezl Harrell,19.2,89,KY,University of Louisville
183,Montrezl Harrell,14.6,64,KY,University of Louisville
184,Tim Duncan,24.4,97,NC,Wake Forest University
185,Tim Duncan,22.6,96,NC,Wake Forest University
186,Tim Duncan,22.5,95,NC,Wake Forest University
187,Tim Duncan,21.9,95,NC,Wake Forest University
188,Tim Duncan,21.3,94,NC,Wake Forest University
189,Tim Duncan,16.9,80,NC,Wake Forest University
190,Joel Embiid,24.1,97,KS,University of Kansas
191,Joel Embiid,22.9,96,KS,University of Kansas
192,Shawn Long,24.1,97,LA,University of Louisiana at Lafayette
193,DeMar DeRozan,24.0,97,CA,University of Southern California
194,DeMar DeRozan,21.5,94,CA,University of Southern California
195,DeMar DeRozan,21.0,93,CA,University of Southern California
196,DeMar DeRozan,18.4,86,CA,University of Southern California
197,DeMar DeRozan,17.4,82,CA,University of Southern California
198,DeMar DeRozan,14.7,65,CA,University of Southern California
199,DeMar DeRozan,14.5,63,CA,University of Southern California
200,DeMar DeRozan,12.8,49,CA,University of Southern California
201,Coty Clarke,23.9,97,AR,University of Arkansas
202,Blake Griffin,23.9,97,OK,University of Oklahoma
203,Blake Griffin,23.4,96,OK,University of Oklahoma
204,Blake Griffin,22.8,96,OK,University of Oklahoma
205,Blake Griffin,22.6,96,OK,University of Oklahoma
206,Blake Griffin,22.4,95,OK,University of Oklahoma
207,Blake Griffin,22.1,95,OK,University of Oklahoma
208,Blake Griffin,21.9,95,OK,University of Oklahoma
209,Blake Griffin,19.6,90,OK,University of Oklahoma
210,Derrick Rose,23.5,96,TN,University of Memphis
211,Derrick Rose,23.0,96,TN,University of Memphis
212,Derrick Rose,17.0,80,TN,University of Memphis
213,Derrick Rose,15.9,74,TN,University of Memphis
214,Derrick Rose,13.4,54,TN,University of Memphis
215,Derrick Rose,11.5,38,TN,University of Memphis
216,Derrick Rose,9.7,24,TN,University of Memphis
217,Brandan Wright,23.5,96,CA,"University of California, Los Angeles"
218,Brandan Wright,21.6,94,CA,"University of California, Los Angeles"
219,Brandan Wright,21.0,93,CA,"University of California, Los Angeles"
220,Brandan Wright,20.4,92,CA,"University of California, Los Angeles"
221,Brandan Wright,19.0,88,CA,"University of California, Los Angeles"
222,Brandan Wright,18.5,87,CA,"University of California, Los Angeles"
223,Brandan Wright,18.3,86,CA,"University of California, Los Angeles"
224,Brandan Wright,15.9,74,CA,"University of California, Los Angeles"
225,Mike Conley,23.2,96,OH,Ohio State University
226,Mike Conley,20.0,91,OH,Ohio State University
227,Mike Conley,19.4,90,OH,Ohio State University
228,Mike Conley,18.6,87,OH,Ohio State University
229,Mike Conley,18.3,86,OH,Ohio State University
230,Mike Conley,16.8,79,OH,Ohio State University
231,Mike Conley,15.9,74,OH,Ohio State University
232,Mike Conley,15.4,70,OH,Ohio State University
233,John Wall,23.2,96,KY,University of Kentucky
234,John Wall,20.8,93,KY,University of Kentucky
235,John Wall,19.9,91,KY,University of Kentucky
236,John Wall,19.8,91,KY,University of Kentucky
237,John Wall,19.5,90,KY,University of Kentucky
238,John Wall,19.1,89,KY,University of Kentucky
239,John Wall,17.7,83,KY,University of Kentucky
240,John Wall,15.8,73,KY,University of Kentucky
241,Victor Oladipo,23.1,96,IN,Indiana University
242,Victor Oladipo,16.7,79,IN,Indiana University
243,Victor Oladipo,15.9,74,IN,Indiana University
244,Victor Oladipo,13.6,56,IN,Indiana University
245,Victor Oladipo,13.6,56,IN,Indiana University
246,Kyle Lowry,22.9,96,PA,Villanova University
247,Kyle Lowry,22.2,95,PA,Villanova University
248,Kyle Lowry,20.1,91,PA,Villanova University
249,Kyle Lowry,19.5,90,PA,Villanova University
250,Kyle Lowry,19.3,89,PA,Villanova University
251,Kyle Lowry,18.8,88,PA,Villanova University
252,Kyle Lowry,17.5,82,PA,Villanova University
253,Kyle Lowry,16.5,77,PA,Villanova University
254,Andre Drummond,22.9,96,CT,University of Connecticut
255,Andre Drummond,22.6,96,CT,University of Connecticut
