Player,college,state,WAR
A.J. Ellis,Austin Peay State University,TN,83.12
A.J. Griffin,University of San Diego,CA,40.76
A.J. Pollock,University of Notre Dame,IN,40.76
Aaron Crow,University of Missouri Columbia,MO,73.13
Aaron Cunningham,Everett Community College,WA,80.37
Aaron Harang,San Diego State University,CA,40.76
Aaron Heilman,University of Notre Dame,IN,71.70
Aaron Hill,Louisiana State University,LA,83.81
Aaron Loup,Tulane University,LA,40.76
Aaron Poreda,University of San Francisco,CA,40.76
Aaron Rowand,California State University Fullerton,CA,83.12
Adam Eaton,Miami University of Ohio,OH,40.76
Adam Everett,University of South Carolina,SC,40.76
Adam Greenberg,University of North Carolina at Chapel Hill,NC,40.76
Adam Kennedy,California State University Northridge,CA,70.38
Adam LaRoche,Fort Scott Community College,KS,40.76
Adam Lind,University of South Alabama,AL,77.21
Adam Loewen,Chipola College,FL,40.76
Adam Moore,University of Texas at Arlington,TX,68.89
Adam Ottavino,Northeastern University,MA,40.76
Adam Rosales,Western Michigan University,MI,40.76
Adam Russell,Ohio University,OH,66.25
Adam Warren,University of North Carolina at Chapel Hill,NC,40.76
Adam Wilk,California State University Long Beach,CA,61.83
Addison Reed,San Diego State University,CA,40.76
AJ Ramos,Texas Tech University,TX,40.76
Albert Pujols,Maple Woods Community College,MO,88.63
Alex Avila,University of Alabama,AL,88.52
Alex Castellanos,Belmont Abbey College,NC,40.76
Alex Cora,University of Miami,FL,61.83
Alex Gordon,University of Nebraska at Lincoln,NE,89.09
Alex Hinshaw,Chaffey College,CA,40.76
Alex Presley,University of Mississippi,MS,86.80
Alex White,University of North Carolina at Chapel Hill,NC,40.76
Alex Wilson,Texas A&M University,TX,40.76
Alex Wood,University of Georgia,GA,40.76
Alfredo Amezaga,St. Petersburg College,FL,40.76
Allen Craig,"University of California, Berkeley",CA,87.83
Andre Ethier,Arizona State University,AZ,87.60
Andres Torres,"Miami-Dade College, Wolfson Campus",FL,85.25
Andrew Albers,University of Kentucky,KY,40.76
Andrew Bailey,Wagner College,NY,75.37
Andrew Brackman,North Carolina State University,NC,40.76
Andrew Brown,University of Nebraska at Lincoln,NE,40.76
Andrew Carignan,University of North Carolina at Chapel Hill,NC,40.76
Andrew Cashner,Texas Christian University,TX,73.13
Andrew Miller,University of North Carolina at Chapel Hill,NC,61.83
Andrew Romine,Arizona State University,AZ,40.76
Andrew Taylor,North Carolina State University,NC,40.76
Andy Dirks,Wichita State University,KS,83.81
Andy LaRoche,Grayson County College,TX,40.76
Andy Oliver,Oklahoma State University,OK,40.76
Andy Pettitte,"San Jacinto College, North Campus",TX,40.76
Andy Sonnanstine,Kent State University,OH,61.83
Angel Pagan,Indian River Community College,FL,85.25
Anthony Bass,Wayne State University,MI,61.83
Anthony Recker,Alvernia College,PA,77.21
Anthony Slama,Santa Ana College,CA,40.76
Anthony Varvaro,St. John's University,NY,61.83
Anthony Vasquez,Texas A&M University,TX,40.76
Antoan Richardson,Vanderbilt University,TN,77.21
Aubrey Huff,University of Miami,FL,40.76
B.J. Rosenberg,University of Louisville,KY,40.76
Barret Browning,Florida State University,FL,40.76
Barry Enright,Pepperdine University,CA,78.19
Barry Zito,Los Angeles Pierce College,CA,40.76
Ben Francisco,Cypress College,CA,40.76
Ben Sheets,University of Louisiana at Monroe,LA,40.76
Ben Zobrist,Dallas Baptist University,TX,89.21
Bill Bray,College of William and Mary,VA,74.23
Billy Buckner,University of South Carolina,SC,40.76
Blake Davis,California State University Fullerton,CA,80.37
Blake Parker,University of Arkansas,AR,40.76
Blake Tekotte,University of Miami,FL,40.76
Blake Wood,Georgia Institute of Technology,GA,61.83
Bobby Korecky,University of Michigan,MI,40.76
Bobby LaFromboise,University of New Mexico,NM,40.76
Bobby Parnell,Charleston Southern University,SC,66.25
Bobby Wilson,St. Petersburg College,FL,61.83
Boone Logan,Temple College,TX,68.89
Brad Boxberger,University of Southern California,CA,40.76
Brad Brach,Monmouth University,NJ,75.37
Brad Eldred,Florida International University,FL,40.76
Brad Emaus,Tulane University,LA,40.76
Brad Hawpe,Louisiana State University,LA,40.76
Brad Lidge,University of Notre Dame,IN,70.38
Brad Lincoln,University of Houston,TX,70.38
Brad Miller,Clemson University,SC,40.76
Brad Mills,University of Arizona,AZ,40.76
Brad Snyder,Ball State University,IN,40.76
Brad Ziegler,Missouri State University,MO,61.83
Brandon Bantz,Dallas Baptist University,TX,40.76
Brandon Belt,University of Texas at Austin,TX,85.25
Brandon Boggs,Georgia Institute of Technology,GA,75.37
Brandon Crawford,"University of California, Los Angeles",CA,81.52
Brandon Cumpton,Georgia Institute of Technology,GA,40.76
Brandon Finnegan,Texas Christian University,TX,40.76
Brandon Gomes,Tulane University,LA,71.70
Brandon Guyer,University of Virginia,VA,71.70
Brandon Hicks,Texas A&M University,TX,40.76
Brandon Inge,Virginia Commonwealth University,VA,40.76
Brandon Lyon,Dixie State College of Utah,UT,77.21
Brandon McCarthy,Lamar Community College,CO,40.76
Brandon Morrow,"University of California, Berkeley",CA,61.83
Brandon Workman,University of Texas at Austin,TX,40.76
Brendan Harris,College of William and Mary,VA,40.76
Brendan Ryan,Lewis-Clark State College,ID,88.40
Brennan Boesch,"University of California, Berkeley",CA,87.83
Brent Lillibridge,University of Washington,WA,86.80
Brent Morel,"California Polytechnic State University, San Luis Obispo",CA,86.22
Brett Carroll,Middle Tennessee State University,TN,61.83
Brett Cecil,University of Maryland,MD,40.76
Brett Gardner,College of Charleston,SC,88.40
Brett Hayes,University of Nevada-Reno,NV,82.09
Brett Jackson,"University of California, Berkeley",CA,40.76
Brett Pill,California State University Fullerton,CA,83.81
Brett Tomko,Florida Southern College,FL,61.83
Brett Wallace,Arizona State University,AZ,79.79
Brian Bixler,Eastern Michigan University,MI,40.76
Brian Bogusevic,Tulane University,LA,87.49
Brian Burres,Mount Hood Community College,OR,74.23
Brian Dozier,University of Southern Mississippi,MS,40.76
Brian Duensing,University of Nebraska at Lincoln,NE,61.83
Brian Flynn,Wichita State University,KS,40.76
Brian Fuentes,Merced College,CA,71.70
Brian Matusz,University of San Diego,CA,68.89
Brian Omogrosso,Indiana State University,IN,40.76
Brian Roberts,University of South Carolina,SC,76.41
Brian Sanches,Lamar University,TX,61.83
Brian Schlitter,College of Charleston,SC,40.76
Brian Tallet,Louisiana State University,LA,61.83
Brian Wilson,Louisiana State University,LA,61.83
Brock Holt,Rice University,TX,40.76
Brooks Conrad,Arizona State University,AZ,83.12
Brooks Raley,Texas A&M University,TX,40.76
Bruce Billings,San Diego State University,CA,75.37
Bryan Augenstein,University of Florida,FL,79.05
Bryan Holaday,Texas Christian University,TX,40.76
Bryan LaHair,St. Petersburg College,FL,79.79
Bryan Petersen,"University of California, Irvine",CA,83.12
Bryan Shaw,California State University Long Beach,CA,61.83
Buck Farmer,Georgia Institute of Technology,GA,40.76
Bud Norris,"California Polytechnic State University, San Luis Obispo",CA,61.83
Burch Smith,University of Oklahoma,OK,40.76
Burke Badenhop,Bowling Green State University,OH,80.83
Buster Posey,Florida State University,FL,86.22
C.J. Fick,California State University Northridge,CA,40.76
C.J. Wilson,Loyola Marymount University,CA,76.41
Caleb Thielbar,South Dakota State University,SD,40.76
Cameron Rupp,University of Texas at Austin,TX,40.76
Carlos Pena,Northeastern University,MA,87.83
Carlos Quentin,Stanford University,CA,87.83
Carlos Torres,Kansas State University,KS,40.76
Carter Capps,Mount Olive College,NC,40.76
Casey Blake,Wichita State University,KS,85.25
Casey Coleman,Florida Gulf Coast University,FL,78.19
Casey Fien,"California Polytechnic State University, San Luis Obispo",CA,40.76
Casey Janssen,"University of California, Los Angeles",CA,40.76
Casey McGehee,California State University Fresno,CA,40.76
Casper Wells,Towson University,MD,87.14
Cesar Ramos,California State University Long Beach,CA,66.25
Chad Beck,University of Louisiana at Lafayette,LA,40.76
Chad Bettis,Texas Tech University,TX,40.76
Chad Huffman,Texas Christian University,TX,40.76
Chad Jenkins,Kennesaw State University,GA,40.76
Chad Qualls,Los Angeles Harbor College,CA,66.25
Chad Reineke,Miami University of Ohio,OH,40.76
Chad Tracy,East Carolina University,NC,40.76
Chance Ruffin,University of Texas at Austin,TX,66.25
Charles Brewer,"University of California, Los Angeles",CA,40.76
Charles Leesman,Xavier University,OH,40.76
Charlie Blackmon,Georgia Institute of Technology,GA,40.76
Charlie Furbush,Louisiana State University,LA,71.70
Chase d'Arnaud,Pepperdine University,CA,40.76
Chase Headley,University of the Pacific,CA,87.94
Chase Utley,"University of California, Los Angeles",CA,88.29
Chris Bootcheck,Auburn University,AL,40.76
Chris Capuano,Duke University,NC,40.76
Chris Carpenter,Kent State University,OH,74.23
Chris Coghlan,University of Mississippi,MS,40.76
Chris Davis,Navarro College,TX,61.83
Chris Denorfia,Wheaton College,MA,85.76
Chris Dickerson,University of Nevada-Reno,NV,81.52
Chris Dwyer,Clemson University,SC,40.76
Chris Getz,University of Michigan,MI,82.49
Chris Gimenez,University of Nevada-Reno,NV,78.19
Chris Hatcher,University of North Carolina at Wilmington,NC,71.70
Chris Heisey,Messiah College,PA,87.03
Chris Herrmann,University of Miami,FL,40.76
Chris Iannetta,University of North Carolina at Chapel Hill,NC,88.06
Chris Jakubauskas,Citrus College,CA,77.21
Chris Johnson,Stetson University,FL,40.76
Chris Leroux,Winthrop University,SC,70.38
Chris McGuiness,The Citadel,SC,40.76
