player,war,year,id,college,state,percentile
Jose Bautista,8.3,2011,bautijo02,Chipola College,FL,89.49483352468427
Jacoby Ellsbury,8.3,2011,ellsbja01,Oregon State University,OR,89.49483352468427
Dustin Pedroia,8.0,2011,pedrodu01,Arizona State University,AZ,89.32261768082664
Ryan Braun,7.7,2011,braunry02,University of Miami,FL,89.32261768082664
Ben Zobrist,7.6,2011,zobribe01,Dallas Baptist University,TX,89.20780711825488
Alex Gordon,7.3,2011,gordoal01,University of Nebraska at Lincoln,NE,89.09299655568313
Evan Longoria,7.2,2011,longoev01,Rio Hondo College,CA,89.09299655568313
Ian Kinsler,7.0,2011,kinslia01,Arizona State University,AZ,88.97818599311137
Troy Tulowitzki,6.2,2011,tulowtr01,California State University Long Beach,CA,88.8633754305396
Curtis Granderson,6.1,2011,grandcu01,University of Illinois at Chicago,IL,88.74856486796786
Hunter Pence,5.7,2011,pencehu01,Texarkana College,TX,88.6337543053961
Albert Pujols,5.3,2011,pujolal01,Maple Woods Community College,MO,88.6337543053961
Matt Wieters,5.2,2011,wietema01,Georgia Institute of Technology,GA,88.6337543053961
Alex Avila,5.1,2011,avilaal01,University of Alabama,AL,88.51894374282433
Howie Kendrick,4.6,2011,kendrho01,St. Johns River Community College,FL,88.40413318025259
Brendan Ryan,4.2,2011,ryanbr01,Lewis-Clark State College,ID,88.40413318025259
Brett Gardner,4.1,2011,gardnbr01,College of Charleston,SC,88.40413318025259
Lance Berkman,3.8,2011,berkmla01,Rice University,TX,88.28932261768082
Chase Utley,3.8,2011,utleych01,"University of California, Los Angeles",CA,88.28932261768082
Kevin Youkilis,3.8,2011,youklke01,University of Cincinnati,OH,88.28932261768082
Dustin Ackley,3.7,2011,ackledu01,University of North Carolina at Chapel Hill,NC,88.28932261768082
Clint Barmes,3.4,2011,barmecl01,Olney Central College,IL,88.28932261768082
Matthew Joyce,3.4,2011,joycema01,Florida Southern College,FL,88.28932261768082
Mark Teixeira,3.4,2011,teixema01,Georgia Institute of Technology,GA,88.17451205510908
Chris Iannetta,3.1,2011,iannech01,University of North Carolina at Chapel Hill,NC,88.05970149253731
Michael Bourn,3.0,2011,bournmi01,University of Houston,TX,87.94489092996555
Nick Hundley,3.0,2011,hundlni01,University of Arizona,AZ,87.94489092996555
Nyjer Morgan,3.0,2011,morgany01,Walla Walla Community College,WA,87.94489092996555
Rickie Weeks,3.0,2011,weeksri01,Southern University and A&M College,LA,87.94489092996555
Danny Espinosa,2.9,2011,espinda01,California State University Long Beach,CA,87.94489092996555
Jon Jay,2.8,2011,jayjo02,University of Miami,FL,87.94489092996555
Daniel Murphy,2.8,2011,murphda08,Jacksonville University,FL,87.94489092996555
Chase Headley,2.7,2011,headlch01,University of the Pacific,CA,87.94489092996555
Gaby Sanchez,2.7,2011,sanchga01,University of Miami,FL,87.8300803673938
Michael Young,2.7,2011,youngmi02,"University of California, Santa Barbara",CA,87.8300803673938
Carlos Pena,2.6,2011,penaca01,Northeastern University,MA,87.8300803673938
Brennan Boesch,2.5,2011,boescbr01,"University of California, Berkeley",CA,87.8300803673938
Coco Crisp,2.5,2011,crispco01,Los Angeles Pierce College,CA,87.8300803673938
Carlos Quentin,2.5,2011,quentca01,Stanford University,CA,87.8300803673938
Allen Craig,2.4,2011,craigal01,"University of California, Berkeley",CA,87.8300803673938
Russell Martin,2.4,2011,martiru01,Chipola College,FL,87.8300803673938
Ryan Roberts,2.4,2011,roberry01,Eastfield College,TX,87.8300803673938
Jack Hannahan,2.3,2011,hannaja01,University of Minnesota,MN,87.71526980482204
Josh Willingham,2.3,2011,willijo03,University of North Alabama,AL,87.71526980482204
Todd Helton,2.2,2011,heltoto01,University of Tennessee,TN,87.71526980482204
Nick Swisher,2.2,2011,swishni01,The Ohio State University,OH,87.71526980482204
Mark Ellis,2.1,2011,ellisma01,University of Florida,FL,87.60045924225028
Andre Ethier,2.1,2011,ethiean01,Arizona State University,AZ,87.60045924225028
Sam Fuld,2.1,2011,fuldsa01,Stanford University,CA,87.60045924225028
Brian Bogusevic,1.9,2011,bogusbr01,Tulane University,LA,87.48564867967853
Marlon Byrd,1.9,2011,byrdma01,Georgia Perimeter College,GA,87.48564867967853
Stephen Drew,1.9,2011,drewst01,Florida State University,FL,87.48564867967853
David Freese,1.9,2011,freesda01,"St. Louis Community College, Meramec Campus",MO,87.48564867967853
Placido Polanco,1.9,2011,polanpl01,"Miami-Dade College, Wolfson Campus",FL,87.48564867967853
Will Venable,1.9,2011,venabwi01,Princeton University,NJ,87.48564867967853
Ryan Zimmerman,1.9,2011,zimmery01,University of Virginia,VA,87.25602755453502
Darwin Barney,1.8,2011,barneda01,Oregon State University,OR,87.25602755453502
Ryan Hanigan,1.8,2011,hanigry01,Rollins College,FL,87.14121699196326
Drew Stubbs,1.8,2011,stubbdr01,University of Texas at Austin,TX,87.14121699196326
Casper Wells,1.8,2011,wellsca01,Towson University,MD,87.14121699196326
Chris Heisey,1.7,2011,heisech01,Messiah College,PA,87.0264064293915
Scott Sizemore,1.7,2011,sizemsc01,Virginia Commonwealth University,VA,87.0264064293915
Jemile Weeks,1.7,2011,weeksje01,University of Miami,FL,87.0264064293915
Craig Gentry,1.6,2011,gentrcr01,University of Arkansas,AR,87.0264064293915
Travis Hafner,1.6,2011,hafnetr01,Cowley County Community College,KS,86.79678530424799
Jerry Hairston,1.6,2011,hairsje02,Southern Illinois University Carbondale,IL,86.79678530424799
John Mayberry,1.6,2011,maybejo02,Stanford University,CA,86.79678530424799
Nick Punto,1.6,2011,puntoni01,Saddleback College,CA,86.79678530424799
Dan Uggla,1.6,2011,ugglada01,University of Memphis,TN,86.79678530424799
Brent Lillibridge,1.5,2011,lillibr01,University of Washington,WA,86.79678530424799
Alex Presley,1.5,2011,preslal01,University of Mississippi,MS,86.79678530424799
Kurt Suzuki,1.5,2011,suzukku01,California State University Fullerton,CA,86.79678530424799
Jim Thome,1.5,2011,thomeji01,Illinois Central College,IL,86.5097588978186
Gordon Beckham,1.4,2011,beckhgo01,University of Georgia,GA,86.5097588978186
Rod Barajas,1.3,2011,barajro01,Cerritos College,CA,86.5097588978186
Lonnie Chisenhall,1.3,2011,chiselo01,University of South Carolina,SC,86.5097588978186
Matt Downs,1.3,2011,downsma01,University of Alabama,AL,86.5097588978186
Brent Morel,1.3,2011,morelbr01,"California Polytechnic State University, San Luis Obispo",CA,86.22273249138921
Buster Posey,1.3,2011,poseybu01,Florida State University,FL,86.22273249138921
Chris Stewart,1.3,2011,stewach01,Riverside Community College,CA,86.22273249138921
Ike Davis,1.2,2011,davisik02,Arizona State University,AZ,86.22273249138921
Josh Harrison,1.2,2011,harrijo05,University of Cincinnati,OH,86.22273249138921
Ryan Howard,1.2,2011,howarry01,Missouri State University,MO,86.05051664753157
Reed Johnson,1.2,2011,johnsre02,California State University Fullerton,CA,86.05051664753157
Jack Wilson,1.2,2011,wilsoja02,Oxnard College,CA,86.05051664753157
J.P. Arencibia,1.1,2011,arencjp01,University of Tennessee,TN,86.05051664753157
Jamey Carroll,1.1,2011,carroja01,University of Evansville,IN,85.76349024110218
David DeJesus,1.1,2011,dejesda01,"Rutgers, the State University of New Jersey",NJ,85.76349024110218
Chris Denorfia,1.1,2011,denorch01,Wheaton College,MA,85.76349024110218
Jason Donald,1.1,2011,donalja01,University of Arizona,AZ,85.76349024110218
Lucas Duda,1.1,2011,dudalu01,University of Southern California,CA,85.76349024110218
Jason Giambi,1.1,2011,giambja01,California State University Long Beach,CA,85.76349024110218
David Ross,1.1,2011,rossda01,Auburn University,AL,85.76349024110218
Nate Schierholtz,1.1,2011,schiena01,Chabot College,CA,85.53386911595867
Jason Bay,1.0,2011,bayja01,Gonzaga University,WA,85.53386911595867
Pat Burrell,1.0,2011,burrepa01,University of Miami,FL,85.53386911595867
Jason Kipnis,1.0,2011,kipnija01,Arizona State University,AZ,85.53386911595867
Jonathan Lucroy,1.0,2011,lucrojo01,University of Louisiana at Lafayette,LA,85.24684270952928
Angel Pagan,1.0,2011,paganan01,Indian River Community College,FL,85.24684270952928
Nolan Reimold,1.0,2011,reimono01,Bowling Green State University,OH,85.24684270952928
Justin Smoak,1.0,2011,smoakju01,University of South Carolina,SC,85.24684270952928
Andres Torres,1.0,2011,torrean02,"Miami-Dade College, Wolfson Campus",FL,85.24684270952928
Brandon Belt,0.9,2011,beltbr01,University of Texas at Austin,TX,85.24684270952928
Casey Blake,0.9,2011,blakeca01,Wichita State University,KS,85.24684270952928
Tony Campana,0.9,2011,campato01,University of Cincinnati,OH,84.84500574052812
Todd Frazier,0.9,2011,frazito01,"Rutgers, the State University of New Jersey",NJ,84.84500574052812
John McDonald,0.9,2011,mcdonjo03,University of Connecticut at Avery Point,CT,84.84500574052812
Kyle Seager,0.9,2011,seageky01,University of North Carolina at Chapel Hill,NC,84.84500574052812
Zack Cozart,0.8,2011,cozarza01,University of Mississippi,MS,84.84500574052812
Daniel Hudson,0.8,2011,hudsoda01,Old Dominion University,VA,84.84500574052812
Mitch Maier,0.8,2011,maiermi01,University of Toledo,OH,84.50057405281287
Mike McCoy,0.8,2011,mccoymi01,University of San Diego,CA,84.50057405281287
David Murphy,0.8,2011,murphda07,Baylor University,TX,84.50057405281287
Mark Reynolds,0.8,2011,reynoma01,University of Virginia,VA,84.50057405281287
Freddy Sanchez,0.8,2011,sanchfr01,Glendale Community College,CA,84.50057405281287
Skip Schumaker,0.8,2011,schumsk01,Loyola Marymount University,CA,84.50057405281287
Chris Snyder,0.8,2011,snydech02,University of Houston,TX,84.50057405281287
Jason Varitek,0.8,2011,varitja01,Georgia Institute of Technology,GA,84.1561423650976
Daniel Descalso,0.7,2011,descada01,"University of California, Davis",CA,84.1561423650976
Logan Forsythe,0.7,2011,forsylo01,University of Arkansas,AR,84.1561423650976
Aaron Hill,0.7,2011,hillaa01,Louisiana State University,LA,83.81171067738232
Brett Pill,0.7,2011,pillbr01,California State University Fullerton,CA,83.81171067738232
Kelly Shoppach,0.7,2011,shoppke01,Baylor University,TX,83.81171067738232
Justin Christian,0.6,2011,chrisju01,Auburn University,AL,83.81171067738232
Andy Dirks,0.6,2011,dirksan01,Wichita State University,KS,83.81171067738232
Shelley Duncan,0.6,2011,duncash01,University of Arizona,AZ,83.81171067738232
Orlando Hudson,0.6,2011,hudsoor01,Spartanburg Methodist College,SC,83.81171067738232
Don Kelly,0.6,2011,kellydo01,Point Park University,PA,83.58208955223881
Jed Lowrie,0.6,2011,lowrije01,Stanford University,CA,83.12284730195178
Cliff Pennington,0.6,2011,pennicl01,Texas A&M University,TX,83.12284730195178
Bryan Petersen,0.6,2011,peterbr01,"University of California, Irvine",CA,83.12284730195178
Aaron Rowand,0.6,2011,rowanaa01,California State University Fullerton,CA,83.12284730195178
Seth Smith,0.6,2011,smithse01,University of Mississippi,MS,83.12284730195178
Mike Baxter,0.5,2011,baxtemi01,Columbia University,NY,83.12284730195178
Brooks Conrad,0.5,2011,conrabr01,Arizona State University,AZ,83.12284730195178
Collin Cowgill,0.5,2011,cowgico01,University of Kentucky,KY,83.12284730195178
A.J. Ellis,0.5,2011,ellisaj01,Austin Peay State University,TN,83.12284730195178
Chris Getz,0.5,2011,getzch01,University of Michigan,MI,82.49138920780712
George Kottaras,0.5,2011,kottage01,Connors State College,OK,82.49138920780712
Ryan Lavarnway,0.5,2011,lavarry01,Yale University,CT,82.49138920780712
Cliff Lee,0.5,2011,leecl02,University of Arkansas,AR,82.49138920780712
Justin Ruggiano,0.5,2011,ruggiju01,Texas A&M University,TX,82.49138920780712
Eric Thames,0.5,2011,thameer01,Pepperdine University,CA,82.49138920780712
Ryan Vogelsong,0.5,2011,vogelry01,Kutztown University of Pennsylvania,PA,82.49138920780712
Paul Goldschmidt,0.4,2011,goldspa01,Texas State University,TX,82.08955223880596
Scott Hairston,0.4,2011,hairssc01,Central Arizona College,AZ,82.08955223880596
J.A. Happ,0.4,2011,happja01,Northwestern University,IL,82.08955223880596
Brett Hayes,0.4,2011,hayesbr01,University of Nevada-Reno,NV,82.08955223880596
Fred Lewis,0.4,2011,lewisfr02,Mississippi Gulf Coast Community College,MS,82.08955223880596
Shaun Marcum,0.4,2011,marcush01,University of Missouri Columbia,MO,81.51549942594718
J.D. Martinez,0.4,2011,martijd02,Nova Southeastern University,FL,81.51549942594718
Mike Aviles,0.3,2011,avilemi01,Concordia College-Bronxville,NY,81.51549942594718
Travis Buck,0.3,2011,bucktr01,Arizona State University,AZ,81.51549942594718
Brandon Crawford,0.3,2011,crawfbr01,"University of California, Los Angeles",CA,81.51549942594718
Chris Dickerson,0.3,2011,dickech01,University of Nevada-Reno,NV,81.51549942594718
Mike Fontenot,0.3,2011,fontemi01,Louisiana State University,LA,81.51549942594718
Tyler Greene,0.3,2011,greenty02,Georgia Institute of Technology,GA,81.51549942594718
Wade LeBlanc,0.3,2011,leblawa01,University of Alabama,AL,81.51549942594718
Cory Luebke,0.3,2011,luebkco01,The Ohio State University,OH,81.51549942594718
Jonathan Sanchez,0.3,2011,sanchjo01,Ohio Dominican University,OH,81.51549942594718
Jerry Sands,0.3,2011,sandsje01,Catawba College,NC,81.51549942594718
Joe Saunders,0.3,2011,saundjo01,Virginia Polytechnic Institute and State University,VA,80.82663605051665
Luke Scott,0.3,2011,scottlu01,Indian River Community College,FL,80.82663605051665
Eric Sogard,0.3,2011,sogarer01,Arizona State University,AZ,80.82663605051665
Ryan Theriot,0.3,2011,theriry01,Louisiana State University,LA,80.82663605051665
Chris Valaika,0.3,2011,valaich01,"University of California, Santa Barbara",CA,80.82663605051665
Yonder Alonso,0.2,2011,alonsyo01,University of Miami,FL,80.82663605051665
Burke Badenhop,0.2,2011,badenbu01,Bowling Green State University,OH,80.82663605051665
Geoff Blum,0.2,2011,blumge01,"University of California, Berkeley",CA,80.82663605051665
Craig Counsell,0.2,2011,counscr01,University of Notre Dame,IN,80.82663605051665
Scott Cousins,0.2,2011,cousisc01,University of San Francisco,CA,80.82663605051665
Aaron Cunningham,0.2,2011,cunniaa01,Everett Community College,WA,80.36739380022962
Blake Davis,0.2,2011,davisbl01,California State University Fullerton,CA,80.36739380022962
Marco Estrada,0.2,2011,estrama01,Glendale Community College,CA,80.36739380022962
Thomas Field,0.2,2011,fieldth01,Texas State University,TX,80.36739380022962
Eric Fryer,0.2,2011,fryerer01,The Ohio State University,OH,80.36739380022962
Jonny Gomes,0.2,2011,gomesjo01,Santa Rosa Junior College,CA,80.36739380022962
