Year,state,av
2011,AK,2.75
2011,AL,3.741573033707865
2011,AR,3.75
2011,AZ,3.0277777777777777
2011,CA,3.153225806451613
2011,CN,1.0
2011,CO,3.161290322580645
2011,CT,2.0
2011,DE,0.3333333333333333
2011,FL,3.639455782312925
2011,GA,3.6923076923076925
2011,HI,2.5
2011,IA,3.2653061224489797
2011,ID,3.269230769230769
2011,IL,3.731707317073171
2011,IN,3.121212121212121
2011,KA,4.411764705882353
2011,KS,1.5714285714285714
2011,KY,3.5142857142857142
2011,LA,3.8493150684931505
2011,MA,4.212121212121212
2011,MD,3.78125
2011,ME,2.4
2011,MI,4.5064935064935066
2011,MN,1.3
2011,MO,3.5517241379310347
2011,MS,3.5535714285714284
2011,MT,1.6666666666666667
2011,MY,3.0
2011,NC,3.1492537313432836
2011,ND,3.2
2011,NE,3.4375
2011,NH,4.0
2011,NJ,2.869565217391304
2011,NM,3.0
2011,NV,3.272727272727273
2011,NY,3.2857142857142856
2011,OH,3.2083333333333335
2011,OK,3.646153846153846
2011,OR,3.44
2011,PA,3.8395061728395063
2011,RI,1.6666666666666667
2011,SC,3.9732142857142856
2011,SD,1.5
2011,TN,3.417910447761194
2011,TX,3.3233532934131738
2011,UT,3.5869565217391304
2011,VA,3.622950819672131
2011,WA,2.7058823529411766
2011,WI,2.5652173913043477
2011,WV,1.6153846153846154
2011,WY,2.8333333333333335
2011,australia,1.0
2011,canada,4.75
2012,AK,1.8181818181818181
2012,AL,3.1818181818181817
2012,AR,1.56
2012,AZ,2.0408163265306123
2012,CA,2.3625
2012,CO,2.9655172413793105
2012,CT,1.7692307692307692
2012,DE,0.0
2012,FL,3.0714285714285716
2012,GA,4.219178082191781
2012,HI,1.9230769230769231
2012,IA,2.9615384615384617
2012,ID,3.8214285714285716
2012,IL,2.9166666666666665
2012,IN,2.551282051282051
2012,KA,3.7777777777777777
2012,KS,1.7142857142857142
2012,KY,3.0454545454545454
2012,LA,3.4545454545454546
2012,MA,3.9714285714285715
2012,MD,3.1379310344827585
2012,ME,2.8
2012,MI,3.282608695652174
2012,MN,3.5
2012,MO,2.945945945945946
2012,MS,3.4655172413793105
2012,MT,1.0833333333333333
