state,year,per,war,av,per_spend_discrepancy,war_spend_discrepancy,av_spend_discrepancy,per_spend,war_spend,av_spend
AL,2011,13.26666667,1.5875,3.741573034,5231826.4,3767115,3138744.608,5231826.4,3767115,3138744.608
AK,2011,0,0,2.75,0,0,2264375,0,0,2264375
AZ,2011,12.51428571,2.186666667,3.027777778,5718933.6,1943393.478,2577546.938,5718933.6,1943393.478,2577546.938
AR,2011,10.96666667,0.933333333,3.75,3519772.5,4391500,3938725.909,3519772.5,4391500,3938725.909
CA,2011,13.58409091,1.265454545,3.153225806,3607714.769,3189959.383,2562932.482,3607714.769,3189959.383,2562932.482
CO,2011,12.6,0,3.161290323,7200000,450000,3043955.579,7200000,0,3043955.579
CT,2011,12.98888889,0.7,2,8025194.286,1186596.6,1969478,8025194.286,1186596.6,1969478
DC,2011,8.95,0,0,2536235,0,0,2536235,0,0
DE,2011,0,0,0.333333333,0,0,1210000,0,0,1210000
FL,2011,11.745,2.072,3.639455782,4067111.176,2642488.077,3235221.266,4067111.176,2642488.077,3235221.266
GA,2011,12.08888889,1.875,3.692307692,6553186.833,4063205,3800187.714,6553186.833,4063205,3800187.714
HI,2011,9.2,0,2.5,0,0,2867000,0,0,2867000
ID,2011,11.4,2.6,3.269230769,687679,6759744.667,3261053.167,687679,6759744.667,3261053.167
IL,2011,10.675,3.1,3.731707317,4673050.333,2556772.917,2789040.269,4673050.333,2556772.917,2789040.269
IN,2011,12.025,1.566666667,3.121212121,3692475.4,2550309.091,2882245.6,3692475.4,2550309.091,2882245.6
IA,2011,9.633333333,0,3.265306122,9633914,1000000,2857178.231,9633914,0,2857178.231
KS,2011,11.75,1.033333333,1.571428571,4671206.818,4648428.571,1456618,4671206.818,4648428.571,1456618
KY,2011,13.43888889,0.75,3.514285714,2932704.118,4057800,3545430.941,2932704.118,4057800,3545430.941
LA,2011,13.81538462,0.866666667,3.849315068,7334724.25,2192653.846,3280166.909,7334724.25,2192653.846,3280166.909
ME,2011,0,0,2.4,0,414000,2181250,0,0,2181250
MD,2011,12.21666667,1.8,3.78125,2798414.8,0,4251399.556,2798414.8,0,4251399.556
MA,2011,13.9,1.85,4.212121212,3274453.667,3886665.333,3325864.588,3274453.667,3886665.333,3325864.588
MI,2011,12.04375,0.5,4.506493506,4631849.417,1460133.333,4065478.468,4631849.417,1460133.333,4065478.468
MN,2011,11.05,2.3,1.3,2908301.333,600000,2277777.667,2908301.333,600000,2277777.667
MS,2011,9.675,0.76,3.553571429,914204,3405986.667,4032209,914204,3405986.667,4032209
MO,2011,0,2.4,3.551724138,0,6779100,3342864.25,0,6779100,3342864.25
MT,2011,0,0,1.666666667,0,0,1293093.5,0,0,1293093.5
NE,2011,13.15,7.3,3.4375,3525000,954166.6667,2999437.737,3525000,954166.6667,2999437.737
NV,2011,11.42857143,0.266666667,3.272727273,4022324.2,3142333.333,3778627.333,4022324.2,3142333.333,3778627.333
NH,2011,0,0,4,0,0,1300000,0,0,1300000
NJ,2011,9.7,1.466666667,2.869565217,7000000,2392350,2244631.286,7000000,2392350,2244631.286
NM,2011,17.8,0,3,12015904,0,2877500,12015904,0,2877500
NY,2011,10.25555556,0.4,3.285714286,8841551.333,2342371.429,3587403.846,8841551.333,2342371.429,3587403.846
NC,2011,13.61111111,1.2,3.149253731,7873795.933,1788595.214,3313931.294,7873795.933,1788595.214,3313931.294
ND,2011,0,0,3.2,0,0,3257583,0,0,3257583
OH,2011,11.45833333,1.227272727,3.208333333,4934430.111,4013278.286,2982135.851,4934430.111,4013278.286,2982135.851
OK,2011,11.44444444,0.316666667,3.646153846,2632442.8,3159375,3772798.889,2632442.8,3159375,3772798.889
OR,2011,11.46,2.575,3.44,3510779,1972333.333,3185406.815,3510779,1972333.333,3185406.815
PA,2011,12.24444444,0.6,3.839506173,3557455.571,1801200,3311516.977,3557455.571,1801200,3311516.977
RI,2011,14.33333333,0.9,1.666666667,4933333.333,540983,916667,4933333.333,540983,916667
SC,2011,13.2,1.42,3.973214286,2682068,1528153.333,3745805.59,2682068,1528153.333,3745805.59
SD,2011,0,0,1.5,0,0,1687500,0,0,1687500
TN,2011,12.37142857,0.9,3.417910448,2518469,2622986.083,3527888.394,2518469,2622986.083,3527888.394
TX,2011,9.965217391,1.503571429,3.323353293,4438461.714,2722668.962,2559265.759,4438461.714,2722668.962,2559265.759
UT,2011,11.1,0.1,3.586956522,6427194.5,2958500,4015533.52,6427194.5,2958500,4015533.52
VT,2011,0,0,0,0,0,0,0,0,0
VA,2011,10.87142857,0.933333333,3.62295082,1876400,3497999.929,3705616.433,1876400,3497999.929,3705616.433
WA,2011,12.34444444,1.425,2.705882353,2537207.857,6713300,2750359.286,2537207.857,6713300,2750359.286
WV,2011,0.75,0,1.615384615,762195,0,1150000,762195,0,1150000
WI,2011,17.38,0.2,2.565217391,6371851,415000,3726102,6371851,415000,3726102
WY,2011,4.4,0,2.833333333,0,0,1251111,0,0,1251111
AL,2012,11.72857143,1.53,3.181818182,6476814.8,2772071.429,3057213.158,6476814.8,2772071.429,3057213.158
AK,2012,0,0,1.818181818,0,0,2737437.5,0,0,2737437.5
AZ,2012,12.25,1.927272727,2.040816327,6158794.333,2555071.667,2858379.889,6158794.333,2555071.667,2858379.889
AR,2012,10.95,1.8,1.56,388663.3333,4909140,3949634.538,388663.3333,4909140,3949634.538
CA,2012,13.4893617,1.115,2.3625,4168785.892,3265647.981,3190695.73,4168785.892,3265647.981,3190695.73
CO,2012,13.825,0.5,2.965517241,6437053.333,1575000,3399720.438,6437053.333,1575000,3399720.438
CT,2012,13.6,0.95,1.769230769,8157986.75,2636250,1262590.833,8157986.75,2636250,1262590.833
DC,2012,15.675,0,0,4891066.5,0,0,4891066.5,0,0
DE,2012,0,0,0,0,0,0,0,0,0
FL,2012,12.94285714,1.907407407,3.071428571,4674489.154,2672777.974,3368594.933,4674489.154,2672777.974,3368594.933
GA,2012,15.14444444,2.3,4.219178082,5614465.625,4105900,3719530.563,5614465.625,4105900,3719530.563
HI,2012,8.7,0,1.923076923,0,0,2318434,0,0,2318434
ID,2012,6.9,3.4,3.821428571,854389,7875000,3677435.25,854389,7875000,3677435.25
IL,2012,8.96,1.9,2.916666667,5306503.5,3179318.75,2731403.5,5306503.5,3179318.75,2731403.5
IN,2012,12.07142857,1.5,2.551282051,4902361.5,1608833.333,2869983.231,4902361.5,1608833.333,2869983.231
IA,2012,10.7,0.5,2.961538462,7575814.333,900000,3183341.15,7575814.333,900000,3183341.15
KS,2012,13.08181818,1.46,1.714285714,4972114.6,6034500,1451263.25,4972114.6,6034500,1451263.25
KY,2012,12.2,1.466666667,3.045454545,2742183.043,3412254.167,3806037.111,2742183.043,3412254.167,3806037.111
LA,2012,14.5,1.716666667,3.454545455,4837495,2527638.235,3940166.575,4837495,2527638.235,3940166.575
ME,2012,0,0,2.8,0,0,2059875,0,0,2059875
MD,2012,11.86,1.55,3.137931034,1730003.6,484100,4148887.643,1730003.6,484100,4148887.643
MA,2012,14.5,1.066666667,3.971428571,3984676.8,4207500,3505503.45,3984676.8,4207500,3505503.45
MI,2012,10.4,0.466666667,3.282608696,4058620.538,1996100,3745776.846,4058620.538,1996100,3745776.846
