year,state,war
2011,FL,8.3
2011,OR,8.3
2011,AZ,8.0
2011,FL,7.7
2011,TX,7.6
2011,IL,7.6
2011,NE,7.3
2011,CA,7.2
2011,CA,7.2
2011,AZ,7.0
2011,AZ,7.0
2011,MO,7.0
2011,CA,6.2
2011,IL,6.1
2011,TX,5.7
2011,TX,5.7
2011,MO,5.3
2011,GA,5.2
2011,AL,5.1
2011,FL,4.6
2011,ID,4.2
2011,SC,4.1
2011,TX,3.8
2011,CA,3.8
2011,OH,3.8
2011,NC,3.7
2011,IL,3.4
2011,IN,3.4
2011,FL,3.4
2011,GA,3.4
2011,NC,3.1
2011,TX,3.0
2011,AZ,3.0
2011,WA,3.0
2011,LA,3.0
2011,CA,2.9
2011,FL,2.8
2011,FL,2.8
2011,CA,2.7
2011,TN,2.7
2011,FL,2.7
2011,CA,2.7
2011,MA,2.6
2011,OH,2.6
2011,CA,2.5
2011,CA,2.5
2011,CA,2.5
2011,CA,2.4
2011,FL,2.4
2011,TX,2.4
2011,TX,2.4
2011,TX,2.4
2011,MN,2.3
2011,AL,2.3
2011,TN,2.2
2011,OH,2.2
2011,FL,2.1
2011,AZ,2.1
2011,CA,2.1
2011,LA,1.9
2011,GA,1.9
2011,GA,1.9
2011,FL,1.9
2011,MO,1.9
2011,AL,1.9
2011,FL,1.9
2011,NJ,1.9
2011,VA,1.9
2011,OR,1.8
2011,FL,1.8
2011,TX,1.8
2011,MD,1.8
2011,PA,1.7
2011,VA,1.7
2011,FL,1.7
2011,AR,1.6
2011,KS,1.6
2011,IL,1.6
2011,CA,1.6
2011,CA,1.6
2011,TN,1.6
2011,WA,1.5
2011,MS,1.5
2011,CA,1.5
2011,IL,1.5
2011,GA,1.4
2011,CA,1.3
2011,SC,1.3
2011,AL,1.3
2011,CA,1.3
2011,FL,1.3
2011,CA,1.3
2011,AZ,1.2
2011,OH,1.2
2011,MO,1.2
2011,CA,1.2
2011,CA,1.2
2011,TN,1.1
2011,IN,1.1
2011,IL,1.1
2011,NJ,1.1
2011,MA,1.1
2011,AZ,1.1
2011,CA,1.1
2011,CA,1.1
2011,AL,1.1
2011,FL,1.1
2011,CA,1.1
2011,WA,1.0
2011,ID,1.0
2011,FL,1.0
2011,AZ,1.0
2011,KY,1.0
2011,LA,1.0
2011,FL,1.0
2011,OH,1.0
2011,SC,1.0
2011,FL,1.0
2011,FL,1.0
2011,TX,0.9
2011,KS,0.9
2011,OH,0.9
2011,NC,0.9
2011,NJ,0.9
2011,CT,0.9
2011,RI,0.9
2011,NC,0.9
2011,MS,0.8
2011,VA,0.8
2011,OH,0.8
2011,CA,0.8
2011,TX,0.8
2011,VA,0.8
2011,CA,0.8
2011,TX,0.8
2011,OK,0.8
2011,CA,0.8
2011,CA,0.8
2011,TX,0.8
2011,GA,0.8
2011,CA,0.7
2011,AR,0.7
2011,LA,0.7
2011,CA,0.7
2011,TX,0.7
2011,AL,0.6
2011,MO,0.6
2011,KS,0.6
2011,AZ,0.6
2011,SC,0.6
2011,PA,0.6
2011,CA,0.6
2011,TX,0.6
2011,CA,0.6
2011,CA,0.6
2011,MS,0.6
2011,NY,0.5
2011,TN,0.5
2011,AZ,0.5
2011,KY,0.5
2011,TN,0.5
2011,MI,0.5
2011,NC,0.5
2011,OK,0.5
2011,CT,0.5
2011,AR,0.5
2011,MS,0.5
2011,TX,0.5
2011,TX,0.5
